,EPS Estimate,Reported EPS,Surprise(%)
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,3.86,nan,nan
2024-10-30 20:00:00-04:00,3.39,3.49,2.87
2024-07-31 20:00:00-04:00,3.33,3.42,2.62
2024-05-01 20:00:00-04:00,3.07,3.21,4.51
2024-02-21 19:00:00-05:00,3.26,3.38,3.54
2023-11-01 20:00:00-04:00,3.27,3.64,11.35
2023-08-02 20:00:00-04:00,3.21,3.41,6.32
2023-05-03 20:00:00-04:00,2.97,3.09,4.06
2023-02-22 19:00:00-05:00,3.44,3.52,2.29
