,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,5.94,6.1,2.71
2024-10-22 20:00:00-04:00,5.25,5.28,0.66
2024-07-23 20:00:00-04:00,5.12,5.37,4.78
2024-04-23 20:00:00-04:00,4.71,5.11,8.5
2024-01-30 19:00:00-05:00,5.64,5.67,0.46
2023-10-24 20:00:00-04:00,5.61,5.69,1.43
2023-07-25 20:00:00-04:00,5.43,5.15,-5.08
2023-04-25 20:00:00-04:00,5.03,5.03,0.07
