,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,320.38,322.27,316.69,319.29,2638300,0.0,0.0
2020-02-25,320.9,323.08,303.7,305.93,2378300,0.0,0.0
2020-02-26,305.05,314.83,304.63,305.47,1944800,0.0,0.0
2020-02-27,300.37,307.98,293.46,293.53,2231900,0.0,0.0
2020-02-28,285.16,292.26,281.43,287.32,3961600,0.0,0.0
2020-03-02,287.55,301.32,285.41,301.32,2741000,0.0,0.0
2020-03-03,311.86,321.11,303.78,306.65,3895900,0.0,0.0
2020-03-04,314.73,323.97,311.07,322.74,3043500,0.0,0.0
2020-03-05,314.86,319.82,306.39,309.15,2192400,0.0,0.0
2020-03-06,301.41,308.98,299.11,307.45,1922800,0.0,0.0
2020-03-09,290.37,294.86,284.59,291.82,2520100,0.0,0.0
2020-03-10,302.11,304.29,289.58,304.02,2707500,0.0,0.0
2020-03-11,295.83,296.64,281.85,285.92,2566400,0.0,0.0
2020-03-12,270.99,292.24,265.34,280.92,4519200,0.0,0.0
2020-03-13,294.32,297.78,269.16,296.76,4534400,0.22,0.0
2020-03-16,268.49,290.21,262.27,276.22,3766500,0.0,0.0
2020-03-17,294.65,310.65,283.37,293.0,5253500,0.0,0.0
2020-03-18,281.18,299.61,277.12,299.59,4570700,0.0,0.0
2020-03-19,294.69,296.62,274.62,277.7,3511100,0.0,0.0
2020-03-20,274.36,282.26,265.15,275.26,3715600,0.0,0.0
2020-03-23,269.19,271.92,247.41,252.44,3477200,0.0,0.0
2020-03-24,260.6,280.82,258.38,278.87,2691600,0.0,0.0
2020-03-25,274.9,282.55,267.11,268.64,3075700,0.0,0.0
2020-03-26,271.69,281.92,267.28,279.98,2856100,0.0,0.0
2020-03-27,270.57,280.0,269.06,271.27,2314600,0.0,0.0
2020-03-30,275.18,282.98,273.35,281.77,1990000,0.0,0.0
2020-03-31,280.63,283.13,277.17,280.43,3275100,0.0,0.0
2020-04-01,273.42,279.82,267.37,272.12,1927400,0.0,0.0
2020-04-02,269.0,284.77,268.99,284.33,1666600,0.0,0.0
2020-04-03,279.78,284.28,275.67,279.05,1320400,0.0,0.0
2020-04-06,291.31,303.3,288.89,300.6,2437800,0.0,0.0
2020-04-07,308.65,313.99,292.76,293.26,2126500,0.0,0.0
2020-04-08,294.32,305.62,287.27,303.71,1997900,0.0,0.0
2020-04-09,304.11,314.64,301.64,313.83,2445300,0.0,0.0
2020-04-13,310.86,313.34,305.72,311.79,1547900,0.0,0.0
2020-04-14,317.95,323.75,316.25,322.72,1513100,0.0,0.0
2020-04-15,319.01,323.49,317.13,322.19,1652300,0.0,0.0
2020-04-16,324.83,327.04,320.56,325.16,1830000,0.0,0.0
2020-04-17,330.48,330.58,323.45,327.87,2057200,0.0,0.0
2020-04-20,325.64,328.04,321.91,323.5,1717900,0.0,0.0
2020-04-21,321.18,321.18,312.82,316.04,2183500,0.0,0.0
2020-04-22,319.93,333.76,317.83,331.84,2321700,0.0,0.0
2020-04-23,331.65,333.54,316.29,316.92,2668100,0.0,0.0
2020-04-24,319.0,326.26,316.66,325.02,1987900,0.0,0.0
2020-04-27,326.79,339.6,326.38,338.88,1878500,0.0,0.0
2020-04-28,338.88,343.01,324.43,328.74,2361400,0.0,0.0
2020-04-29,329.74,333.61,325.0,331.87,1936600,0.0,0.0
2020-04-30,328.06,334.02,327.69,330.94,2215000,0.0,0.0
2020-05-01,326.68,330.7,322.9,326.12,1603100,0.0,0.0
2020-05-04,325.48,327.2,321.69,323.07,1189000,0.0,0.0
2020-05-05,328.23,336.18,325.26,332.56,1139900,0.0,0.0
2020-05-06,333.75,335.2,331.34,331.4,1215600,0.0,0.0
2020-05-07,335.51,338.49,331.51,335.29,1795100,0.0,0.0
2020-05-08,340.01,340.01,326.66,329.29,1616000,0.0,0.0
2020-05-11,327.63,337.53,327.4,336.58,1313900,0.0,0.0
2020-05-12,336.57,337.79,328.01,328.01,1510000,0.0,0.0
2020-05-13,331.43,336.4,327.12,330.35,1791200,0.0,0.0
2020-05-14,326.88,334.02,324.71,333.52,1147600,0.0,0.0
2020-05-15,333.73,339.36,331.62,339.08,1614500,0.0,0.0
2020-05-18,344.11,347.92,342.85,343.09,1396000,0.0,0.0
2020-05-19,342.13,343.37,337.59,338.95,1201200,0.0,0.0
2020-05-20,341.18,341.99,337.0,337.33,1352300,0.0,0.0
2020-05-21,336.46,338.15,331.01,331.99,1175900,0.0,0.0
2020-05-22,333.65,337.0,331.77,336.45,1098200,0.0,0.0
2020-05-26,342.38,343.34,328.3,328.85,1647700,0.0,0.0
2020-05-27,332.75,333.68,320.72,333.58,1744400,0.0,0.0
2020-05-28,337.13,342.01,335.89,338.91,1290400,0.0,0.0
2020-05-29,341.23,345.84,336.75,345.28,1548800,0.0,0.0
2020-06-01,344.11,347.21,343.71,345.42,845700,0.0,0.0
2020-06-02,345.41,346.88,342.8,346.17,1166500,0.0,0.0
2020-06-03,347.49,348.65,341.53,343.31,1209700,0.0,0.0
2020-06-04,340.07,345.88,340.07,344.26,1763500,0.0,0.0
2020-06-05,344.26,352.43,341.71,350.24,1712100,0.0,0.0
2020-06-08,346.45,349.84,344.18,345.97,1314800,0.0,0.0
2020-06-09,346.16,348.26,342.94,343.76,1672300,0.0,0.0
2020-06-10,345.47,350.64,343.96,348.85,1140600,0.0,0.0
2020-06-11,348.02,348.64,331.92,332.68,1647700,0.0,0.0
2020-06-12,338.91,341.7,327.09,336.18,1523100,0.22,0.0
2020-06-15,330.33,339.2,330.33,337.23,1632100,0.0,0.0
2020-06-16,343.22,344.94,337.86,343.56,1549100,0.0,0.0
2020-06-17,346.31,349.26,343.59,346.16,1302600,0.0,0.0
2020-06-18,345.08,348.38,343.34,343.78,1129900,0.0,0.0
2020-06-19,350.74,351.26,344.49,349.01,2328500,0.0,0.0
2020-06-22,348.85,349.84,344.92,348.45,1138100,0.0,0.0
2020-06-23,351.26,354.23,349.31,353.06,1680600,0.0,0.0
2020-06-24,351.73,351.96,342.6,344.29,1892700,0.0,0.0
2020-06-25,344.12,348.47,339.57,348.05,1294900,0.0,0.0
2020-06-26,348.79,351.95,344.59,347.25,1656400,0.0,0.0
2020-06-29,349.72,349.72,345.36,347.1,957300,0.0,0.0
2020-06-30,346.77,360.14,345.91,358.52,1710300,0.0,0.0
2020-07-01,359.93,359.93,353.24,355.98,1600200,0.0,0.0
2020-07-02,358.24,365.92,358.19,362.03,1127800,0.0,0.0
2020-07-06,366.36,382.5,366.11,378.24,1859200,0.0,0.0
2020-07-07,377.11,381.68,375.68,376.24,1368300,0.0,0.0
2020-07-08,380.49,390.84,378.5,382.56,1456800,0.0,0.0
2020-07-09,381.51,387.26,379.51,383.59,920200,0.0,0.0
2020-07-10,384.67,387.45,377.72,378.54,983600,0.0,0.0
2020-07-13,380.61,386.3,374.48,374.94,1052800,0.0,0.0
2020-07-14,374.94,384.25,371.19,383.38,869200,0.0,0.0
2020-07-15,388.56,390.09,383.76,388.56,1137200,0.0,0.0
2020-07-16,388.79,389.36,383.84,388.29,1002600,0.0,0.0
2020-07-17,389.67,394.3,386.59,391.23,1206700,0.0,0.0
2020-07-20,393.71,400.94,393.01,398.72,1511200,0.0,0.0
2020-07-21,401.16,405.37,397.85,398.84,1486900,0.0,0.0
2020-07-22,405.52,416.56,402.22,406.43,2283900,0.0,0.0
2020-07-23,413.74,415.52,404.8,406.16,1522300,0.0,0.0
2020-07-24,399.12,403.0,394.95,402.1,1323400,0.0,0.0
