,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,2.29,2.57,12.23
2024-10-22 20:00:00-04:00,2.42,2.61,7.77
2024-07-30 20:00:00-04:00,2.28,2.49,9.4
2024-04-24 20:00:00-04:00,1.87,2.0,7.16
2024-01-24 19:00:00-05:00,1.9,1.67,-12.12
2023-10-24 20:00:00-04:00,1.74,1.82,4.66
2023-07-26 20:00:00-04:00,1.69,1.86,10.13
2023-04-26 20:00:00-04:00,1.48,1.58,6.93
