,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,94.32,95.47,94.07,94.55,4700900,0.0,0.0
2020-02-25,94.74,95.17,92.67,92.79,5117500,0.0,0.0
2020-02-26,92.89,93.85,91.68,91.88,4371300,0.0,0.0
2020-02-27,91.08,91.56,89.44,89.52,5856400,0.0,0.0
2020-02-28,87.75,88.79,85.83,88.46,6957600,0.0,0.0
2020-03-02,88.58,91.6,87.3,91.53,5160600,0.0,0.0
2020-03-03,90.88,92.15,87.09,87.68,5702000,0.0,0.0
2020-03-04,88.72,92.19,88.55,92.04,5222200,0.0,0.0
2020-03-05,89.88,91.4,87.51,88.16,4941300,0.0,0.0
2020-03-06,84.47,86.61,83.81,86.2,5978500,0.0,0.0
2020-03-09,81.7,83.29,78.08,78.24,7946600,0.0,0.0
2020-03-10,80.43,83.41,78.7,83.38,6713600,0.0,0.0
2020-03-11,81.3,86.17,81.29,84.82,8840300,0.0,0.0
2020-03-12,80.47,83.4,74.97,75.31,9075300,0.0,0.0
2020-03-13,78.64,83.91,75.16,83.78,7401700,0.0,0.0
2020-03-16,76.86,79.03,73.43,75.08,6787700,0.0,0.0
2020-03-17,76.13,78.88,74.02,76.87,7609100,0.0,0.0
2020-03-18,73.19,74.66,62.3,72.92,11114200,0.0,0.0
2020-03-19,73.36,80.44,72.22,77.95,8906200,0.0,0.0
2020-03-20,78.49,80.45,71.78,73.14,6836600,0.0,0.0
2020-03-23,73.56,75.21,69.49,74.27,8328800,0.0,0.0
2020-03-24,77.02,78.2,74.4,77.16,5929100,0.0,0.0
2020-03-25,76.3,83.86,76.28,77.67,6252700,0.0,0.0
2020-03-26,78.49,83.39,78.22,83.03,4821300,0.0,0.0
2020-03-27,80.98,82.32,79.49,80.18,4309600,0.0,0.0
2020-03-30,80.74,82.28,79.71,81.55,5625200,0.0,0.0
2020-03-31,81.47,83.15,80.43,82.32,6920600,0.0,0.0
2020-04-01,81.42,85.07,81.14,83.52,11018800,0.0,0.0
2020-04-02,83.44,86.85,82.43,82.82,22956100,0.0,0.0
2020-04-03,82.96,83.39,79.51,80.43,8378500,0.0,0.0
2020-04-06,82.89,84.86,81.42,84.46,5256300,0.0,0.0
2020-04-07,86.01,86.25,83.56,84.88,4410100,0.0,0.0
2020-04-08,84.97,85.99,84.38,85.21,3831600,0.0,0.0
2020-04-09,85.24,86.09,83.33,84.28,5770900,0.0,0.0
2020-04-13,82.99,85.63,82.88,84.54,3955700,0.0,0.0
2020-04-14,85.54,88.24,84.77,87.93,4787100,0.0,0.0
2020-04-15,86.26,87.7,85.46,86.87,5804000,0.0,0.0
2020-04-16,87.43,88.87,86.41,88.57,4796400,0.0,0.0
2020-04-17,91.0,91.54,88.16,89.27,3847500,0.0,0.0
2020-04-20,87.89,90.0,87.37,88.24,3508700,0.0,0.0
2020-04-21,87.57,88.19,84.47,85.57,3946400,0.0,0.0
2020-04-22,88.18,88.94,86.61,88.46,4261100,0.0,0.0
2020-04-23,88.97,90.15,87.6,88.63,4537100,0.0,0.0
2020-04-24,88.68,89.28,87.33,89.09,3564100,0.0,0.0
2020-04-27,89.6,89.66,87.34,89.19,3726300,0.0,0.0
2020-04-28,89.52,89.68,86.23,86.28,3356500,0.0,0.0
2020-04-29,87.36,88.33,86.31,87.62,3110700,0.0,0.0
2020-04-30,87.22,87.34,85.65,86.14,3938100,0.0,0.0
2020-05-01,86.08,86.45,84.19,84.57,3162000,0.0,0.0
2020-05-04,85.13,87.29,84.44,87.28,4212200,0.0,0.0
2020-05-05,87.1,88.08,86.77,87.29,3020100,0.0,0.0
2020-05-06,87.54,88.04,84.78,84.96,3840900,0.0,0.0
2020-05-07,88.64,93.6,88.53,93.49,10442000,0.0,0.0
2020-05-08,94.82,96.91,93.24,96.66,4851100,0.0,0.0
2020-05-11,94.66,95.62,94.17,94.89,3732800,0.0,0.0
2020-05-12,94.36,94.85,92.77,92.82,3773600,0.0,0.0
2020-05-13,92.61,92.75,89.77,91.03,3256900,0.0,0.0
2020-05-14,90.79,93.28,90.42,93.12,3990100,0.0,0.0
2020-05-15,93.23,95.83,91.96,95.48,6715500,0.0,0.0
2020-05-18,96.31,100.79,96.22,99.98,6383600,0.0,0.0
2020-05-19,96.55,97.88,94.34,96.74,21394500,0.0,0.0
2020-05-20,97.27,97.92,95.95,96.29,5978700,0.0,0.0
2020-05-21,96.89,96.89,91.24,92.61,5586900,0.0,0.0
2020-05-22,92.76,94.89,92.57,93.99,4849300,0.0,0.0
2020-05-26,95.09,95.4,92.68,93.77,5007200,0.0,0.0
2020-05-27,93.85,96.32,93.27,95.37,4540400,0.0,0.0
2020-05-28,95.68,97.95,95.32,97.35,5457700,0.0,0.0
2020-05-29,97.4,98.51,95.48,98.15,9777300,0.0,0.0
2020-06-01,98.07,99.09,97.45,97.82,2903300,0.0,0.0
2020-06-02,96.8,98.6,96.65,98.52,4720200,0.0,0.0
2020-06-03,99.01,100.42,98.54,99.3,3756300,0.0,0.0
2020-06-04,99.62,99.77,97.91,98.28,2534100,0.0,0.0
2020-06-05,99.39,101.03,98.6,99.22,3957900,0.0,0.0
2020-06-08,98.84,103.13,98.54,102.49,5043500,0.0,0.0
2020-06-09,100.25,101.59,99.85,101.24,5037000,0.0,0.0
2020-06-10,100.87,104.71,100.87,103.79,6273500,0.0,0.0
2020-06-11,102.54,103.32,98.84,98.99,7689300,0.0,0.0
2020-06-12,102.28,103.07,98.37,100.38,5289300,0.0,0.0
2020-06-15,99.41,103.21,98.83,102.7,3842000,0.0,0.0
2020-06-16,102.04,102.04,98.22,100.95,5766100,0.0,0.0
2020-06-17,101.06,102.82,100.41,100.69,3757400,0.0,0.0
2020-06-18,101.86,104.82,101.3,104.38,4698900,0.0,0.0
2020-06-19,105.31,106.94,104.38,104.88,9268300,0.0,0.0
2020-06-22,104.84,106.65,104.03,104.59,5090500,0.0,0.0
2020-06-23,101.74,108.38,101.55,105.14,22929100,0.0,0.0
2020-06-24,103.47,107.08,102.6,106.38,66903100,0.0,0.0
2020-06-25,107.71,109.47,106.46,108.11,55407300,0.0,0.0
2020-06-26,107.09,107.78,102.75,103.22,25367800,0.0,0.0
2020-06-29,103.79,104.26,101.99,103.96,9096800,0.0,0.0
2020-06-30,103.9,104.2,102.04,102.18,10833800,0.0,0.0
2020-07-01,103.69,104.25,101.89,104.13,9599900,0.0,0.0
2020-07-02,104.93,105.31,103.36,104.01,6411900,0.0,0.0
2020-07-06,104.59,105.65,104.2,104.77,5256500,0.0,0.0
2020-07-07,104.43,105.56,103.56,103.8,5572500,0.0,0.0
2020-07-08,104.25,104.62,103.38,104.6,4300400,0.0,0.0
2020-07-09,104.65,104.71,103.07,104.17,3956600,0.0,0.0
2020-07-10,103.82,105.17,103.3,105.03,4557900,0.0,0.0
2020-07-13,104.87,105.52,102.26,102.55,5752500,0.0,0.0
2020-07-14,101.62,104.53,101.62,103.4,7881900,0.0,0.0
2020-07-15,103.52,104.08,102.56,102.94,4476300,0.0,0.0
2020-07-16,102.53,102.88,101.48,102.52,5751200,0.0,0.0
2020-07-17,102.89,103.74,102.13,103.36,4009300,0.0,0.0
2020-07-20,103.41,104.27,103.05,104.14,3632400,0.0,0.0
2020-07-21,104.34,104.47,103.26,103.59,3602400,0.0,0.0
2020-07-22,103.67,104.33,102.76,102.95,4655300,0.0,0.0
2020-07-23,103.22,103.29,102.39,102.54,6640800,0.0,0.0
2020-07-24,102.55,103.24,102.26,102.95,4990000,0.0,0.0
2020-07-27,102.56,104.26,102.38,103.63,7958900,0.0,0.0
2020-07-28,103.02,103.51,102.04,102.55,3670000,0.0,0.0
2020-07-29,103.23,104.36,102.57,103.78,3606200,0.0,0.0
2020-07-30,102.74,103.95,102.62,103.49,2689400,0.0,0.0
2020-07-31,103.64,105.39,103.07,105.35,4119200,0.0,0.0
2020-08-03,105.94,106.69,104.8,104.86,4548000,0.0,0.0
2020-08-04,104.62,106.37,104.37,106.34,2991200,0.0,0.0
2020-08-05,106.69,107.1,105.24,105.86,3112500,0.0,0.0
2020-08-06,105.3,106.26,105.16,106.06,4016600,0.0,0.0
2020-08-07,111.1,115.77,110.96,112.92,13771200,0.0,0.0
2020-08-10,112.89,114.45,111.46,113.88,4812500,0.0,0.0
2020-08-11,113.89,114.01,111.14,111.45,4763100,0.0,0.0
2020-08-12,112.11,114.05,111.92,113.08,3512200,0.0,0.0
2020-08-13,112.98,114.94,112.72,113.19,3030500,0.0,0.0
2020-08-14,113.52,113.9,112.17,113.31,2027600,0.0,0.0
2020-08-17,113.79,115.11,113.64,114.67,3308700,0.0,0.0
2020-08-18,115.46,115.51,113.67,113.83,2363300,0.0,0.0
2020-08-19,114.49,114.72,112.75,112.97,2700400,0.0,0.0
2020-08-20,112.4,113.67,112.35,113.22,2268800,0.0,0.0
2020-08-21,112.18,113.08,111.24,112.84,2841000,0.0,0.0
2020-08-24,112.86,113.9,112.6,113.09,2713500,0.0,0.0
2020-08-25,113.38,113.38,112.44,113.23,2322300,0.0,0.0
2020-08-26,112.94,114.05,112.58,114.0,2953400,0.0,0.0
2020-08-27,114.42,114.42,112.83,113.07,2464800,0.0,0.0
2020-08-28,113.08,114.16,112.71,114.07,2797900,0.0,0.0
2020-08-31,113.31,114.9,113.23,114.48,3926100,0.0,0.0
2020-09-01,114.43,115.12,113.76,114.69,2938100,0.0,0.0
2020-09-02,115.61,116.95,114.93,116.64,3600400,0.0,0.0
2020-09-03,116.46,116.9,111.78,112.67,4411900,0.0,0.0
2020-09-04,113.31,113.81,110.09,112.13,4691000,0.0,0.0
2020-09-08,110.51,111.7,108.98,109.47,5686500,0.0,0.0
2020-09-09,109.53,112.4,109.53,111.06,4024200,0.0,0.0
2020-09-10,110.98,112.78,109.16,109.61,3862000,0.0,0.0
2020-09-11,110.16,111.28,108.37,109.47,3098100,0.0,0.0
2020-09-14,110.82,111.35,109.53,110.15,3939000,0.0,0.0
2020-09-15,110.99,113.96,110.36,113.74,4821500,0.0,0.0
2020-09-16,114.21,115.21,111.35,111.61,5758900,0.0,0.0
2020-09-17,108.85,110.66,108.03,109.8,5859000,0.0,0.0
2020-09-18,110.09,110.52,105.76,108.63,8822900,0.0,0.0
2020-09-21,107.85,108.58,106.85,108.48,4562600,0.0,0.0
2020-09-22,109.53,110.49,108.55,110.27,4332100,0.0,0.0
2020-09-23,110.67,110.7,106.61,106.94,3542000,0.0,0.0
2020-09-24,106.17,110.03,106.11,108.46,4184700,0.0,0.0
2020-09-25,108.17,110.44,107.64,109.91,5134700,0.0,0.0
2020-09-28,110.74,112.32,110.37,112.08,5850900,0.0,0.0
2020-09-29,112.19,112.67,111.15,111.38,3221100,0.0,0.0
2020-09-30,111.22,112.92,109.9,112.2,5174400,0.0,0.0
2020-10-01,112.83,114.23,111.74,113.55,4306500,0.0,0.0
2020-10-02,112.25,113.52,110.87,111.27,4014900,0.0,0.0
2020-10-05,111.32,112.82,111.28,112.63,2657000,0.0,0.0
2020-10-06,111.47,112.31,109.69,110.33,3335500,0.0,0.0
2020-10-07,110.89,112.36,110.5,112.07,3367400,0.0,0.0
2020-10-08,112.72,113.42,112.12,113.31,2254800,0.0,0.0
2020-10-09,113.4,115.3,113.34,115.02,3340100,0.0,0.0
2020-10-12,115.83,119.07,115.19,117.81,6498700,0.0,0.0
2020-10-13,118.52,121.09,117.81,119.28,5326500,0.0,0.0
2020-10-14,119.75,119.93,114.25,114.47,6618700,0.0,0.0
2020-10-15,113.63,114.74,111.92,113.12,3287400,0.0,0.0
2020-10-16,113.63,114.58,112.68,112.79,3761400,0.0,0.0
2020-10-19,113.29,113.37,109.9,110.62,3037500,0.0,0.0
2020-10-20,111.75,112.06,110.57,110.94,2745000,0.0,0.0
2020-10-21,110.54,111.64,110.09,110.3,3029700,0.0,0.0
2020-10-22,110.64,111.61,108.79,109.53,3604500,0.0,0.0
2020-10-23,110.38,110.5,108.81,110.26,2269300,0.0,0.0
2020-10-26,109.08,109.93,107.94,109.67,2764700,0.0,0.0
2020-10-27,109.67,111.42,109.03,110.69,2628900,0.0,0.0
2020-10-28,109.2,109.82,107.59,107.73,3661800,0.0,0.0
2020-10-29,107.22,108.95,106.85,107.44,2895900,0.0,0.0
2020-10-30,106.81,107.69,105.53,107.5,4040500,0.0,0.0
2020-11-02,109.04,109.04,106.7,108.31,3145000,0.0,0.0
2020-11-03,109.15,110.27,108.62,109.02,3341400,0.0,0.0
2020-11-04,111.76,114.68,110.68,113.83,5025900,0.0,0.0
2020-11-05,115.35,117.06,114.09,115.05,7669700,0.0,0.0
2020-11-06,124.6,124.63,120.4,121.23,8931300,0.0,0.0
2020-11-09,123.11,124.57,120.26,120.46,6190600,0.0,0.0
2020-11-10,116.78,120.92,116.36,119.42,4454400,0.0,0.0
2020-11-11,120.32,123.65,119.74,122.79,3931600,0.0,0.0
2020-11-12,123.04,125.39,122.38,124.42,3557800,0.0,0.0
2020-11-13,124.93,126.1,123.93,125.81,3397600,0.0,0.0
2020-11-16,127.37,127.66,125.15,126.22,3444500,0.0,0.0
2020-11-17,128.14,129.83,126.29,126.57,3648500,0.0,0.0
2020-11-18,127.19,128.05,125.43,125.44,3222900,0.0,0.0
2020-11-19,124.9,127.77,124.71,126.75,2427000,0.0,0.0
2020-11-20,127.21,127.88,125.94,127.23,4387800,0.0,0.0
2020-11-23,127.42,127.7,124.52,125.47,4177200,0.0,0.0
2020-11-24,125.07,126.59,123.39,125.64,4692200,0.0,0.0
2020-11-25,126.36,127.19,125.35,126.31,3562700,0.0,0.0
2020-11-27,126.68,129.97,126.44,129.41,2278400,0.0,0.0
2020-11-30,129.41,130.54,127.68,130.43,5746000,0.0,0.0
2020-12-01,130.41,131.41,129.75,131.21,3967100,0.0,0.0
2020-12-02,131.12,131.71,129.91,130.63,2926700,0.0,0.0
2020-12-03,129.17,130.46,128.62,128.72,3587800,0.0,0.0
2020-12-04,129.15,129.49,128.22,129.31,2029200,0.0,0.0
2020-12-07,129.59,130.57,129.43,130.45,2637400,0.0,0.0
2020-12-08,130.32,130.91,129.33,130.64,2442900,0.0,0.0
2020-12-09,131.36,131.36,128.11,128.65,3660500,0.0,0.0
2020-12-10,128.26,129.39,127.59,128.1,4164500,0.0,0.0
2020-12-11,128.11,129.15,127.24,128.76,2405300,0.0,0.0
2020-12-14,128.55,130.46,126.79,126.92,5296700,0.0,0.0
2020-12-15,127.25,128.24,126.35,127.55,2896000,0.0,0.0
2020-12-16,128.19,128.19,126.67,127.36,3262000,0.0,0.0
2020-12-17,127.86,128.29,127.2,127.56,4132200,0.0,0.0
2020-12-18,127.84,129.65,127.07,129.43,8782600,0.0,0.0
2020-12-21,127.55,128.76,125.22,127.76,3259400,0.0,0.0
2020-12-22,129.44,129.92,127.8,129.76,3061300,0.0,0.0
2020-12-23,129.76,130.36,128.48,129.74,2152300,0.0,0.0
2020-12-24,130.28,131.31,130.09,130.41,901100,0.0,0.0
2020-12-28,131.7,132.22,128.92,130.49,2569100,0.0,0.0
2020-12-29,131.0,131.44,129.17,130.63,1672500,0.0,0.0
2020-12-30,131.0,131.31,130.01,130.77,1673100,0.0,0.0
2020-12-31,130.64,132.45,130.59,132.31,2080600,0.0,0.0
2021-01-04,131.77,132.43,128.0,129.93,3433100,0.0,0.0
2021-01-05,129.46,129.75,128.0,129.36,2544200,0.0,0.0
2021-01-06,128.25,129.49,127.17,129.05,4486000,0.0,0.0
2021-01-07,131.29,132.9,130.65,130.68,4928100,0.0,0.0
2021-01-08,130.75,132.65,129.74,132.51,2951200,0.0,0.0
2021-01-11,131.47,132.98,130.25,130.42,3074800,0.0,0.0
2021-01-12,130.37,130.95,125.26,126.26,5374600,0.0,0.0
2021-01-13,126.7,127.45,126.03,126.08,2917300,0.0,0.0
2021-01-14,126.6,127.96,121.56,122.34,6359700,0.0,0.0
2021-01-15,122.4,125.49,122.4,124.88,4741000,0.0,0.0
2021-01-19,126.26,127.97,124.72,127.4,4033800,0.0,0.0
2021-01-20,127.67,129.92,127.06,129.8,4230400,0.0,0.0
2021-01-21,130.21,130.21,127.4,127.94,2687200,0.0,0.0
2021-01-22,127.98,128.84,126.68,127.9,2501600,0.0,0.0
2021-01-25,128.28,129.9,127.22,128.63,2892600,0.0,0.0
2021-01-26,127.57,130.21,127.55,128.93,3219000,0.0,0.0
2021-01-27,127.24,127.55,120.14,120.94,7023100,0.0,0.0
2021-01-28,123.42,127.16,122.15,125.36,5000200,0.0,0.0
2021-01-29,124.17,126.79,123.01,123.7,4597400,0.0,0.0
2021-02-01,123.91,126.91,122.85,126.0,4070200,0.0,0.0
2021-02-02,126.2,129.91,125.65,129.4,3456000,0.0,0.0
2021-02-03,129.36,130.15,126.32,126.93,3918400,0.0,0.0
2021-02-04,127.85,128.38,126.93,128.14,7396000,0.0,0.0
2021-02-05,126.59,127.15,122.2,122.92,10319100,0.0,0.0
2021-02-08,123.82,123.88,120.23,123.72,5742600,0.0,0.0
2021-02-09,123.55,123.61,121.71,122.1,3342900,0.0,0.0
2021-02-10,122.75,123.29,121.98,122.14,2880000,0.0,0.0
2021-02-11,123.06,123.08,121.13,122.05,3085300,0.0,0.0
2021-02-12,121.47,121.71,120.37,121.35,2713000,0.0,0.0
2021-02-16,120.66,121.05,119.09,119.7,4247500,0.0,0.0
2021-02-17,119.59,120.63,118.55,119.01,6105200,0.0,0.0
2021-02-18,118.57,120.92,117.34,120.72,6125900,0.0,0.0
2021-02-19,120.78,121.39,117.15,117.83,4961100,0.0,0.0
2021-02-22,116.9,117.59,115.19,115.69,5138500,0.0,0.0
2021-02-23,115.66,117.39,113.7,116.97,6390200,0.0,0.0
2021-02-24,115.5,117.26,114.57,117.13,4425000,0.0,0.0
2021-02-25,122.14,122.98,117.48,118.61,11337300,0.0,0.0
2021-02-26,117.49,119.37,116.64,117.71,5118000,0.0,0.0
2021-03-01,118.04,121.59,118.0,121.24,5812900,0.0,0.0
2021-03-02,121.56,122.21,120.11,120.14,4797700,0.0,0.0
2021-03-03,119.15,119.64,116.38,116.6,5390200,0.0,0.0
2021-03-04,116.94,119.23,115.2,116.37,4884200,0.0,0.0
2021-03-05,117.76,122.99,116.3,122.33,7944300,0.0,0.0
2021-03-08,121.75,126.04,121.51,124.66,7416000,0.0,0.0
2021-03-09,126.59,127.39,123.09,123.93,6409500,0.0,0.0
2021-03-10,126.01,126.68,123.68,125.01,4027800,0.0,0.0
2021-03-11,125.45,127.74,121.54,123.61,8824500,0.0,0.0
2021-03-12,124.18,125.26,122.33,124.72,6122500,0.0,0.0
2021-03-15,125.9,126.15,121.74,123.26,5599600,0.0,0.0
2021-03-16,123.43,126.38,122.49,125.37,4433200,0.0,0.0
2021-03-17,123.95,125.61,123.15,124.9,3471800,0.0,0.0
2021-03-18,123.02,124.15,122.47,122.55,3835000,0.0,0.0
2021-03-19,122.38,123.34,120.64,121.85,8848300,0.0,0.0
