,EPS Estimate,Reported EPS,Surprise(%)
2026-02-16 19:00:00-05:00,nan,nan,nan
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-05-05 20:00:00-04:00,nan,nan,nan
2025-02-18 19:00:00-05:00,nan,4.93,nan
2024-11-05 19:00:00-05:00,nan,nan,nan
2024-08-06 20:00:00-04:00,5.36,4.98,-7.11
2024-05-07 20:00:00-04:00,4.82,4.97,3.09
2024-02-20 19:00:00-05:00,12.46,14.73,18.25
2023-10-31 20:00:00-04:00,14.97,13.74,-8.23
2023-08-01 20:00:00-04:00,11.22,13.05,16.31
2023-05-02 20:00:00-04:00,13.2,11.25,-14.83
