,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,35.57,36.0,35.05,35.37,3776600,0.0,0.0
2020-02-24,33.97,34.45,33.01,34.12,2506800,0.0,0.0
2020-02-25,34.34,34.56,32.09,32.23,2457000,0.0,0.0
2020-02-26,32.53,32.88,31.1,31.39,3200100,0.0,0.0
2020-02-27,30.49,30.81,28.7,29.16,4686900,0.0,0.0
2020-02-28,27.88,29.29,27.07,29.28,3736300,0.0,0.0
2020-03-02,29.8,30.71,29.0,30.64,2976300,0.0,0.0
2020-03-03,30.97,31.67,29.27,29.88,2998200,0.0,0.0
2020-03-04,30.76,30.89,29.68,30.69,2388200,0.0,0.0
2020-03-05,29.63,30.15,28.88,29.37,2258300,0.0,0.0
2020-03-06,28.17,28.2,24.85,25.17,4463000,0.0,0.0
2020-03-09,19.29,19.29,11.54,11.85,14856900,0.0,0.0
2020-03-10,14.45,14.5,10.1,12.78,11968000,0.0,0.0
2020-03-11,12.29,13.58,11.45,13.05,6876700,0.0,0.0
2020-03-12,11.82,11.84,9.59,10.04,6777500,0.0,0.0
2020-03-13,11.17,11.4,8.99,11.27,8029200,0.0,0.0
2020-03-16,9.78,10.79,8.61,8.88,5371000,0.0,0.0
2020-03-17,8.91,9.0,6.26,6.51,8110100,0.0,0.0
2020-03-18,5.78,5.85,3.3,4.27,12363700,0.0,0.0
2020-03-19,4.31,6.28,4.12,5.77,12669700,0.0,0.0
2020-03-20,5.95,6.92,5.87,6.59,10565100,0.0,0.0
2020-03-23,6.53,6.77,4.97,6.41,6707500,0.0,0.0
2020-03-24,7.06,7.32,6.19,7.24,6001900,0.0,0.0
2020-03-25,7.36,8.58,6.39,7.39,6051700,0.0,0.0
2020-03-26,7.38,7.81,6.79,6.91,6119200,0.0,0.0
2020-03-27,6.59,6.68,5.88,6.31,7465700,0.0,0.0
2020-03-30,6.09,6.09,4.74,5.85,12807700,0.0,0.0
2020-03-31,6.08,6.4,5.61,6.24,10280900,0.0,0.0
2020-04-01,5.8,5.82,4.97,5.32,7578000,0.0,0.0
2020-04-02,5.43,6.43,5.41,5.71,8426900,0.0,0.0
2020-04-03,6.1,6.25,5.11,5.72,6516500,0.0,0.0
2020-04-06,6.06,7.07,5.68,6.51,6954400,0.0,0.0
2020-04-07,7.13,8.07,6.91,7.1,8605600,0.0,0.0
2020-04-08,7.28,7.67,6.98,7.22,8020300,0.0,0.0
2020-04-09,7.91,8.73,7.32,7.78,8643400,0.0,0.0
2020-04-13,8.27,8.35,7.41,7.72,6772800,0.0,0.0
2020-04-14,7.42,8.04,7.28,7.84,5382100,0.0,0.0
2020-04-15,7.36,7.51,6.91,7.22,4751600,0.0,0.0
2020-04-16,7.18,7.19,6.79,6.94,3675000,0.0,0.0
2020-04-17,7.13,7.42,6.94,7.16,9190200,0.0,0.0
2020-04-20,6.62,7.5,6.5,7.12,8343100,0.0,0.0
2020-04-21,6.66,7.18,6.56,7.08,8309100,0.0,0.0
2020-04-22,7.52,7.61,6.94,7.5,7614400,0.0,0.0
2020-04-23,7.84,8.44,7.77,8.36,7322000,0.0,0.0
2020-04-24,8.51,8.99,8.26,8.78,6222700,0.0,0.0
2020-04-27,8.6,9.1,8.21,9.07,5171300,0.0,0.0
2020-04-28,9.43,9.85,8.98,9.55,5994000,0.0,0.0
2020-04-29,10.09,11.11,9.83,11.04,5356300,0.0,0.0
2020-04-30,11.4,11.93,10.5,11.8,6994600,0.1,0.0
2020-05-01,11.38,11.58,10.47,10.76,4932200,0.0,0.0
2020-05-04,10.05,11.34,10.03,10.89,4565200,0.0,0.0
2020-05-05,11.73,11.73,11.08,11.34,4276400,0.0,0.0
2020-05-06,11.21,11.55,10.56,10.62,3580800,0.0,0.0
2020-05-07,11.32,12.7,11.01,12.22,6504700,0.0,0.0
2020-05-08,12.58,12.84,12.15,12.57,6399500,0.0,0.0
2020-05-11,12.44,12.57,11.97,12.19,5590300,0.0,0.0
2020-05-12,12.37,13.87,12.28,13.13,6122000,0.0,0.0
2020-05-13,12.86,13.25,12.22,12.82,6336100,0.0,0.0
2020-05-14,12.5,13.59,11.92,12.92,5232200,0.0,0.0
2020-05-15,12.92,13.95,12.76,13.69,3867800,0.0,0.0
2020-05-18,15.06,16.18,14.88,15.89,5714900,0.0,0.0
2020-05-19,15.91,16.15,15.03,15.23,5763900,0.0,0.0
2020-05-20,15.71,16.37,15.55,15.81,4907200,0.0,0.0
2020-05-21,15.96,16.19,15.51,15.77,4452900,0.0,0.0
2020-05-22,15.56,16.48,15.16,16.43,3416300,0.0,0.0
2020-05-26,17.5,17.71,16.55,16.65,3669600,0.0,0.0
2020-05-27,16.67,17.05,15.99,16.78,4479900,0.0,0.0
2020-05-28,16.9,17.18,16.06,16.69,4370300,0.0,0.0
2020-05-29,16.32,16.7,15.79,16.3,16923000,0.0,0.0
2020-06-01,16.22,16.83,15.9,16.66,4885900,0.0,0.0
2020-06-02,16.95,17.67,16.7,17.64,4336500,0.0,0.0
2020-06-03,18.22,18.83,17.89,18.65,5412400,0.0,0.0
2020-06-04,18.91,20.17,18.73,19.96,5261500,0.0,0.0
2020-06-05,21.74,22.23,21.08,21.33,4203100,0.0,0.0
2020-06-08,22.63,23.84,22.22,23.82,4715100,0.0,0.0
2020-06-09,22.69,22.86,21.89,22.07,4973700,0.0,0.0
2020-06-10,21.6,21.74,20.27,20.88,4292500,0.0,0.0
2020-06-11,18.79,19.13,16.95,17.79,4633700,0.0,0.0
2020-06-12,19.38,19.39,17.13,17.88,5819100,0.0,0.0
2020-06-15,16.37,20.21,16.07,20.0,3841500,0.0,0.0
2020-06-16,21.42,21.45,19.59,20.8,3932500,0.0,0.0
2020-06-17,20.59,20.67,19.3,19.35,2549800,0.0,0.0
2020-06-18,19.09,20.02,18.88,19.79,2302100,0.0,0.0
2020-06-19,20.53,20.64,18.73,18.77,4963400,0.0,0.0
2020-06-22,18.68,19.03,17.99,19.0,2884500,0.0,0.0
2020-06-23,19.57,19.6,18.61,18.71,2670800,0.0,0.0
2020-06-24,18.23,18.57,16.77,17.42,3057700,0.0,0.0
2020-06-25,17.13,18.18,16.82,17.8,2185300,0.0,0.0
2020-06-26,17.18,17.54,16.14,16.56,4622300,0.0,0.0
2020-06-29,16.64,17.26,16.31,17.11,2427900,0.0,0.0
2020-06-30,16.92,18.32,16.77,18.28,4051000,0.0,0.0
2020-07-01,18.32,18.87,17.16,17.48,2977900,0.0,0.0
2020-07-02,17.95,18.11,17.17,17.37,2074300,0.0,0.0
2020-07-06,17.76,18.64,16.82,17.42,4795800,0.0,0.0
2020-07-07,17.09,17.87,16.72,17.19,4258700,0.0,0.0
2020-07-08,17.29,17.63,16.67,16.81,3807900,0.0,0.0
2020-07-09,16.87,16.87,15.66,15.73,2320400,0.0,0.0
2020-07-10,15.54,16.29,15.1,16.27,3051300,0.0,0.0
2020-07-13,16.37,16.67,15.43,15.58,2911800,0.0,0.0
2020-07-14,15.44,16.37,15.19,16.26,3085900,0.0,0.0
2020-07-15,16.82,17.44,16.37,17.37,2794800,0.0,0.0
2020-07-16,17.13,17.74,16.67,17.42,2319700,0.0,0.0
2020-07-17,17.41,17.98,16.89,16.91,2266500,0.0,0.0
2020-07-20,16.82,17.35,16.64,16.64,1371500,0.0,0.0
2020-07-21,17.03,18.12,17.03,17.9,2893800,0.0,0.0
2020-07-22,17.54,17.54,17.13,17.44,1836800,0.0,0.0
2020-07-23,17.18,17.55,16.87,17.35,1910500,0.0,0.0
2020-07-24,17.3,17.56,17.03,17.11,1283600,0.0,0.0
2020-07-27,16.64,16.95,16.43,16.51,1717400,0.0,0.0
2020-07-28,16.37,16.77,16.27,16.31,1753300,0.0,0.0
