,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,45.9,46.13,45.11,45.38,815800,0.0,0.0
2020-02-24,43.7,44.68,43.45,44.27,1001800,0.0,0.0
2020-02-25,44.56,44.95,42.75,42.84,915900,0.0,0.0
2020-02-26,43.15,44.2,42.47,42.72,919800,0.0,0.0
2020-02-27,41.7,42.31,40.06,40.16,1842200,0.0,0.0
2020-02-28,38.81,40.11,38.31,39.47,3008900,0.0,0.0
2020-03-02,39.88,41.04,39.0,41.0,1492400,0.0,0.0
2020-03-03,40.81,41.61,39.54,39.79,1050800,0.0,0.0
2020-03-04,40.41,40.65,39.11,40.56,1610000,0.0,0.0
2020-03-05,39.54,40.43,39.5,40.27,3363700,0.0,0.0
2020-03-06,38.77,40.43,38.4,40.0,4489700,0.0,0.0
2020-03-09,37.31,38.79,36.0,36.13,2494000,0.0,0.0
2020-03-10,37.52,37.97,34.9,35.66,3315000,0.0,0.0
2020-03-11,34.61,34.61,32.54,33.22,2673000,0.0,0.0
2020-03-12,30.71,32.25,26.54,27.04,2264300,0.0,0.0
2020-03-13,29.31,30.45,27.37,28.35,4248800,0.0,0.0
2020-03-16,24.37,26.85,23.14,24.21,2096400,0.0,0.0
2020-03-17,24.59,24.8,20.79,22.09,4213500,0.0,0.0
2020-03-18,20.64,22.69,20.01,21.31,2724800,0.0,0.0
2020-03-19,21.06,25.62,20.95,25.32,6784200,0.0,0.0
2020-03-20,25.68,28.4,25.03,26.0,5847100,0.0,0.0
2020-03-23,25.28,27.9,23.79,26.54,4605100,0.0,0.0
2020-03-24,27.72,29.01,27.68,28.52,1655800,0.0,0.0
2020-03-25,29.28,29.72,27.29,28.79,1811700,0.0,0.0
2020-03-26,28.86,30.7,28.43,30.63,1723000,0.0,0.0
2020-03-27,29.76,30.34,29.03,29.85,2341100,0.0,0.0
2020-03-30,30.04,31.18,29.36,31.03,1380200,0.0,0.0
2020-03-31,31.29,32.74,30.71,31.82,1901800,0.0,0.0
2020-04-01,30.62,31.23,28.81,29.1,4082000,0.0,0.0
2020-04-02,28.79,30.26,28.63,29.88,1960700,0.0,0.0
2020-04-03,29.6,30.06,27.79,28.45,1772100,0.0,0.0
2020-04-06,29.89,31.54,29.79,31.13,1835600,0.0,0.0
2020-04-07,32.68,33.47,31.87,32.0,1170200,0.0,0.0
2020-04-08,32.49,33.68,31.84,33.24,867100,0.0,0.0
2020-04-09,34.0,34.7,33.5,34.45,1271800,0.0,0.0
2020-04-13,34.2,34.2,32.0,32.18,775500,0.0,0.0
2020-04-14,32.02,33.06,32.02,32.56,1879200,0.0,0.0
2020-04-15,31.64,32.34,30.87,32.18,975100,0.0,0.0
2020-04-16,32.36,32.65,31.14,31.34,2402700,0.0,0.0
2020-04-17,32.22,32.77,31.47,32.45,1450300,0.0,0.0
2020-04-20,32.08,33.13,30.93,32.31,1154100,0.0,0.0
2020-04-21,31.77,32.06,31.38,31.68,766400,0.0,0.0
2020-04-22,32.34,32.49,31.75,32.18,561600,0.0,0.0
2020-04-23,32.54,33.36,32.43,32.9,949800,0.0,0.0
2020-04-24,33.2,33.34,32.0,32.63,826000,0.0,0.0
2020-04-27,32.97,34.54,32.79,34.34,792300,0.0,0.0
2020-04-28,35.4,35.72,34.22,34.22,875500,0.0,0.0
2020-04-29,34.83,36.04,34.79,35.7,968600,0.0,0.0
2020-04-30,35.13,35.47,34.45,34.63,1298100,0.0,0.0
2020-05-01,33.93,33.97,32.63,32.86,834400,0.0,0.0
2020-05-04,32.49,32.95,31.64,32.11,2009300,0.0,0.0
2020-05-05,32.63,33.41,32.25,32.83,1440900,0.0,0.0
2020-05-06,33.5,33.52,31.67,31.86,1339800,0.0,0.0
2020-05-07,33.45,36.97,32.49,36.45,1751200,0.0,0.0
2020-05-08,37.38,37.63,36.08,37.0,1039900,0.0,0.0
2020-05-11,35.97,37.45,35.25,37.11,1424500,0.0,0.0
2020-05-12,37.36,37.36,35.45,35.5,806600,0.0,0.0
2020-05-13,35.15,36.08,33.84,34.36,740200,0.0,0.0
2020-05-14,33.84,34.95,33.11,34.88,1778500,0.0,0.0
2020-05-15,34.65,35.41,34.38,35.4,884100,0.0,0.0
2020-05-18,36.63,38.79,35.88,38.63,1367700,0.0,0.0
2020-05-19,38.61,40.15,38.2,39.24,2278100,0.0,0.0
2020-05-20,39.81,40.86,38.52,39.52,1373400,0.0,0.0
2020-05-21,39.4,39.86,38.9,39.38,972800,0.0,0.0
2020-05-22,39.36,39.68,38.72,39.33,514200,0.0,0.0
2020-05-26,40.59,41.84,39.59,41.22,1730800,0.0,0.0
2020-05-27,41.84,42.65,41.31,42.54,996200,0.0,0.0
2020-05-28,42.59,43.56,41.74,41.99,1407700,0.0,0.0
2020-05-29,40.56,40.77,38.75,39.11,2349900,0.0,0.0
2020-06-01,39.33,40.29,38.86,40.06,944600,0.0,0.0
2020-06-02,40.31,40.95,39.88,40.38,891800,0.0,0.0
2020-06-03,40.88,42.34,40.54,42.22,2012500,0.0,0.0
2020-06-04,42.04,43.15,41.81,43.06,1648600,0.0,0.0
2020-06-05,44.66,45.33,43.59,45.11,2172800,0.0,0.0
2020-06-08,44.79,45.25,44.16,45.18,1356800,0.0,0.0
2020-06-09,44.09,44.97,43.25,43.93,1576000,0.0,0.0
2020-06-10,44.09,44.72,43.13,43.99,1264800,0.0,0.0
2020-06-11,42.22,42.79,40.84,40.97,2070200,0.0,0.0
2020-06-12,42.66,42.68,40.25,41.13,1991300,0.0,0.0
2020-06-15,40.11,42.36,39.7,42.22,952600,0.0,0.0
2020-06-16,43.91,43.91,42.02,43.0,1104000,0.0,0.0
2020-06-17,43.25,43.56,42.65,43.02,808000,0.0,0.0
2020-06-18,42.79,43.27,42.0,43.0,808200,0.0,0.0
2020-06-19,43.58,44.04,42.52,43.0,1599200,0.0,0.0
2020-06-22,43.0,43.49,42.31,43.29,563400,0.0,0.0
2020-06-23,43.88,43.88,43.29,43.65,1714200,0.0,0.0
2020-06-24,43.68,43.68,42.24,42.66,844300,0.0,0.0
2020-06-25,42.41,43.18,41.79,43.16,633900,0.0,0.0
2020-06-26,42.95,43.15,42.04,42.36,1915200,0.0,0.0
2020-06-29,42.91,43.22,42.13,42.63,1115400,0.0,0.0
2020-06-30,42.56,43.43,42.4,43.18,775600,0.0,0.0
2020-07-01,43.16,43.5,42.68,42.75,679100,0.0,0.0
2020-07-02,43.54,44.15,42.31,42.52,989300,0.0,0.0
2020-07-06,43.54,43.88,42.99,43.43,823900,0.0,0.0
2020-07-07,43.02,43.75,41.97,42.04,854300,0.0,0.0
2020-07-08,42.16,43.29,41.7,42.4,811400,0.0,0.0
2020-07-09,42.56,42.7,41.68,42.38,923100,0.0,0.0
2020-07-10,42.54,42.75,42.08,42.54,550400,0.0,0.0
2020-07-13,42.88,43.2,41.65,41.65,926600,0.0,0.0
2020-07-14,41.52,43.06,41.34,42.99,880400,0.0,0.0
2020-07-15,43.81,44.45,43.43,44.31,872100,0.0,0.0
2020-07-16,44.13,44.13,43.22,43.5,451500,0.0,0.0
2020-07-17,43.72,44.38,43.59,43.95,431800,0.0,0.0
2020-07-20,43.93,44.45,43.77,44.36,569400,0.0,0.0
2020-07-21,44.86,45.45,44.43,44.84,1089700,0.0,0.0
2020-07-22,44.66,45.09,44.16,44.43,865900,0.0,0.0
2020-07-23,44.43,45.77,44.43,45.31,1313600,0.0,0.0
2020-07-24,44.95,45.04,43.93,44.02,790300,0.0,0.0
2020-07-27,44.02,45.2,43.91,45.06,588200,0.0,0.0
2020-07-28,45.06,45.49,44.68,44.72,674500,0.0,0.0
2020-07-29,44.75,45.75,44.75,45.56,713400,0.0,0.0
2020-07-30,44.88,45.63,44.5,45.54,558400,0.0,0.0
2020-07-31,45.68,45.79,44.34,44.5,1559500,0.0,0.0
2020-08-03,45.11,45.63,44.86,45.54,1075300,0.0,0.0
2020-08-04,45.45,45.63,44.77,45.13,842000,0.0,0.0
2020-08-05,45.81,46.15,45.27,45.91,1918500,0.0,0.0
2020-08-06,47.41,50.29,47.2,49.04,2554300,0.0,0.0
2020-08-07,48.86,49.38,48.45,49.16,1167700,0.0,0.0
2020-08-10,49.27,49.47,48.22,48.4,1035400,0.0,0.0
2020-08-11,48.54,48.93,47.86,47.95,1257200,0.0,0.0
2020-08-12,48.22,49.59,47.95,49.5,1070500,0.0,0.0
2020-08-13,49.15,50.49,49.09,50.06,1200200,0.0,0.0
2020-08-14,49.75,50.77,48.72,50.38,986200,0.0,0.0
2020-08-17,50.61,51.31,50.4,50.83,784900,0.0,0.0
2020-08-18,51.0,51.95,50.9,51.75,1384000,0.0,0.0
2020-08-19,51.65,51.65,50.59,50.65,1175400,0.0,0.0
2020-08-20,50.11,50.81,50.0,50.63,681900,0.0,0.0
2020-08-21,50.34,51.04,50.27,50.7,1087800,0.0,0.0
2020-08-24,51.02,52.22,50.7,52.18,1800900,0.0,0.0
2020-08-25,52.09,52.61,51.79,52.56,712900,0.0,0.0
2020-08-26,53.06,53.72,52.5,52.59,666600,0.0,0.0
2020-08-27,52.75,52.75,51.54,52.04,702300,0.0,0.0
2020-08-28,52.0,52.18,51.59,52.02,617700,0.0,0.0
2020-08-31,52.38,52.75,51.93,52.4,902000,0.0,0.0
2020-09-01,52.66,53.47,52.09,53.4,542300,0.0,0.0
2020-09-02,53.77,54.5,52.95,54.31,728800,0.0,0.0
2020-09-03,54.13,54.13,50.65,50.9,1220300,0.0,0.0
