,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,112.89,112.89,110.59,111.77,1059000,0.0,0.0
2020-02-24,108.56,109.27,107.37,108.06,1288800,0.0,0.0
2020-02-25,108.87,109.25,103.33,103.79,1866000,0.0,0.0
2020-02-26,104.33,106.09,103.82,103.84,1697200,0.0,0.0
2020-02-27,101.59,102.77,98.23,98.29,2036100,0.0,0.0
2020-02-28,95.08,96.87,93.25,96.79,3329700,0.0,0.0
2020-03-02,97.69,103.07,96.59,102.92,2737000,0.0,0.0
2020-03-03,102.06,103.83,99.32,101.29,2985900,0.0,0.0
2020-03-04,102.82,105.76,101.74,105.61,2005900,0.0,0.0
2020-03-05,102.56,102.71,98.39,100.07,2083500,0.0,0.0
2020-03-06,95.78,97.09,93.41,95.76,2228700,0.0,0.0
2020-03-09,87.06,90.88,84.89,85.0,3009100,0.0,0.0
2020-03-10,88.69,93.28,87.1,92.51,2795300,0.0,0.0
2020-03-11,89.47,90.34,85.27,86.55,2359200,0.0,0.0
2020-03-12,79.62,82.68,75.19,75.23,3494000,0.0,0.0
2020-03-13,80.64,88.93,78.7,88.9,3063400,0.9,0.0
2020-03-16,76.07,89.91,73.14,80.8,3687200,0.0,0.0
2020-03-17,82.25,90.25,80.43,89.55,3420600,0.0,0.0
2020-03-18,84.11,90.73,81.68,89.8,3937200,0.0,0.0
2020-03-19,88.73,90.42,83.34,84.99,3098100,0.0,0.0
2020-03-20,84.82,84.82,74.55,74.83,3946300,0.0,0.0
2020-03-23,74.53,75.0,68.34,70.75,3411500,0.0,0.0
2020-03-24,74.67,77.06,72.47,74.13,3037100,0.0,0.0
2020-03-25,75.03,79.24,73.59,77.02,4559500,0.0,0.0
2020-03-26,78.46,84.51,77.04,83.94,2229900,0.0,0.0
2020-03-27,82.18,84.4,79.24,81.53,1625900,0.0,0.0
2020-03-30,81.04,83.1,79.29,81.86,1966400,0.0,0.0
2020-03-31,80.92,82.03,79.52,80.88,1796900,0.0,0.0
2020-04-01,77.57,79.58,76.5,77.75,2337500,0.0,0.0
2020-04-02,77.02,81.13,76.86,80.46,1421600,0.0,0.0
2020-04-03,79.67,81.55,77.91,78.85,1159100,0.0,0.0
2020-04-06,83.06,85.68,81.0,85.07,1623900,0.0,0.0
2020-04-07,88.16,88.63,84.15,84.4,1419000,0.0,0.0
2020-04-08,84.55,87.8,83.3,87.39,1278000,0.0,0.0
2020-04-09,88.19,90.05,86.4,87.11,1772800,0.0,0.0
2020-04-13,88.55,88.55,82.95,84.69,1192000,0.0,0.0
2020-04-14,87.78,88.13,84.29,84.43,2505900,0.0,0.0
2020-04-15,83.58,83.58,81.17,81.99,1228800,0.0,0.0
2020-04-16,81.87,82.78,79.87,82.45,1904600,0.0,0.0
2020-04-17,85.47,86.39,84.5,85.72,2300100,0.0,0.0
2020-04-20,83.9,85.04,82.67,83.78,1200000,0.0,0.0
2020-04-21,82.18,83.25,81.42,81.88,909900,0.0,0.0
2020-04-22,83.75,84.02,82.09,83.35,746900,0.0,0.0
2020-04-23,83.49,84.41,82.02,82.13,792300,0.0,0.0
2020-04-24,82.75,83.59,81.6,83.11,756100,0.0,0.0
2020-04-27,84.45,88.43,83.96,88.22,1436700,0.0,0.0
2020-04-28,91.11,95.3,90.48,94.34,2025400,0.0,0.0
2020-04-29,96.65,98.98,95.5,96.85,1531400,0.0,0.0
2020-04-30,94.71,97.33,94.71,95.78,1543000,0.0,0.0
2020-05-01,93.62,93.62,91.11,91.48,1110400,0.0,0.0
2020-05-04,91.2,91.72,90.01,90.69,972100,0.0,0.0
2020-05-05,90.78,92.37,90.73,90.84,909500,0.0,0.0
2020-05-06,90.19,91.38,89.28,89.62,844000,0.0,0.0
2020-05-07,90.84,92.82,90.63,92.22,993000,0.0,0.0
2020-05-08,94.44,94.84,93.21,94.48,666600,0.0,0.0
2020-05-11,92.86,94.71,92.22,93.33,889500,0.0,0.0
2020-05-12,94.95,97.68,93.02,93.39,2219600,0.0,0.0
2020-05-13,93.83,94.45,88.45,89.41,2819600,0.0,0.0
