,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-11-09 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-02 19:00:00-05:00,0.88,1.14,29.99
2024-11-11 19:00:00-05:00,0.69,0.92,33.62
2024-08-04 20:00:00-04:00,0.65,0.87,33.64
2024-05-05 20:00:00-04:00,0.39,0.62,59.61
2024-02-04 19:00:00-05:00,0.41,0.69,69.67
2023-11-12 19:00:00-05:00,0.29,0.37,27.59
2023-08-06 20:00:00-04:00,0.26,0.15,-42.31
2023-05-07 20:00:00-04:00,0.8,-0.04,-105.01
