,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,68.22,68.53,67.29,67.49,2197600,0.0,0.0
2020-02-24,66.16,66.79,65.35,65.54,2612600,0.0,0.0
2020-02-25,65.72,66.23,61.87,62.18,4152800,0.0,0.0
2020-02-26,63.34,63.53,61.63,61.64,3479400,0.0,0.0
2020-02-27,60.89,62.54,60.23,60.35,4438600,0.42,0.0
2020-02-28,58.49,59.5,57.32,59.16,4495700,0.0,0.0
2020-03-02,59.59,61.55,59.07,61.53,3780600,0.0,0.0
2020-03-03,61.21,62.38,59.0,59.75,3953200,0.0,0.0
2020-03-04,60.71,61.58,60.1,61.4,3904300,0.0,0.0
2020-03-05,60.18,60.19,57.77,58.45,3365100,0.0,0.0
2020-03-06,56.82,57.38,55.24,56.39,4823100,0.0,0.0
2020-03-09,52.33,55.19,52.33,53.1,3992600,0.0,0.0
2020-03-10,54.47,55.53,52.08,54.74,3535300,0.0,0.0
2020-03-11,53.4,53.53,50.28,51.07,3764700,0.0,0.0
2020-03-12,47.0,47.57,43.56,45.18,4591300,0.0,0.0
2020-03-13,47.45,47.54,42.94,45.8,4585500,0.0,0.0
2020-03-16,40.62,41.84,38.49,39.29,5660900,0.0,0.0
2020-03-17,40.02,43.33,39.1,41.74,7030700,0.0,0.0
2020-03-18,39.25,42.19,37.13,38.53,5831000,0.0,0.0
2020-03-19,38.38,49.98,37.23,47.28,6611100,0.0,0.0
2020-03-20,49.86,53.21,46.38,46.77,8209500,0.0,0.0
2020-03-23,46.52,51.31,46.23,50.24,5383300,0.0,0.0
2020-03-24,54.1,56.43,50.34,52.32,5800900,0.0,0.0
2020-03-25,52.33,57.28,52.12,55.12,5593400,0.0,0.0
2020-03-26,55.36,57.42,52.79,53.41,4810500,0.0,0.0
2020-03-27,51.85,52.22,50.15,51.1,4273900,0.0,0.0
2020-03-30,51.41,51.92,49.97,51.59,3884600,0.0,0.0
2020-03-31,51.76,51.76,50.03,50.48,3815700,0.0,0.0
2020-04-01,49.19,50.22,48.02,48.27,2965500,0.0,0.0
2020-04-02,47.68,48.82,45.94,47.23,2875700,0.0,0.0
2020-04-03,46.31,47.2,45.64,46.94,2874700,0.0,0.0
2020-04-06,49.06,49.64,47.94,49.24,2765600,0.0,0.0
2020-04-07,50.97,51.99,49.46,50.04,2889000,0.0,0.0
2020-04-08,50.31,51.68,49.81,50.95,3366700,0.0,0.0
2020-04-09,51.46,53.76,51.46,53.15,2866000,0.0,0.0
2020-04-13,53.79,54.68,53.22,54.24,3072200,0.0,0.0
2020-04-14,54.92,55.37,53.35,53.56,3332300,0.0,0.0
2020-04-15,52.9,53.01,51.28,52.46,3050900,0.0,0.0
2020-04-16,52.46,53.23,51.35,53.1,3110800,0.0,0.0
2020-04-17,54.2,54.92,53.58,54.37,2884600,0.0,0.0
2020-04-20,53.97,56.67,53.71,55.7,3442500,0.0,0.0
2020-04-21,54.77,55.19,53.62,54.0,2811600,0.0,0.0
2020-04-22,54.24,54.86,51.98,52.26,3986600,0.0,0.0
2020-04-23,51.46,53.6,51.41,53.12,2910300,0.0,0.0
2020-04-24,53.14,53.17,51.16,51.44,4385800,0.0,0.0
2020-04-27,51.96,52.51,51.43,52.05,3546700,0.0,0.0
2020-04-28,53.17,55.57,52.44,54.78,3887900,0.0,0.0
