,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,333.94,334.94,329.0,330.14,347100,0.0,0.0
2020-02-24,321.04,328.75,318.45,326.44,252300,0.0,0.0
2020-02-25,329.16,329.72,320.22,322.02,264000,0.0,0.0
2020-02-26,322.6,329.04,321.48,324.32,191500,0.0,0.0
2020-02-27,319.32,326.76,315.39,315.64,279700,0.0,0.0
2020-02-28,309.27,314.02,302.38,313.35,571500,0.0,0.0
2020-03-02,314.45,332.64,313.0,331.66,567200,0.0,0.0
2020-03-03,332.44,334.35,319.1,323.97,385300,0.0,0.0
2020-03-04,331.0,337.3,324.32,336.57,300700,0.0,0.0
2020-03-05,330.91,331.75,320.76,323.44,197700,0.0,0.0
2020-03-06,316.83,322.86,311.89,321.64,209000,0.0,0.0
2020-03-09,304.64,312.39,292.2,301.98,393500,0.0,0.0
2020-03-10,309.85,310.47,289.75,299.14,419700,0.0,0.0
2020-03-11,293.6,297.48,283.45,288.42,348100,0.0,0.0
2020-03-12,272.07,282.32,264.45,274.7,517300,0.0,0.0
2020-03-13,286.25,288.85,270.69,287.13,475600,0.0,0.0
2020-03-16,256.75,279.98,254.5,264.82,394500,0.0,0.0
2020-03-17,269.98,287.32,265.92,286.32,319300,0.0,0.0
2020-03-18,264.55,279.26,247.22,265.85,446700,0.0,0.0
2020-03-19,266.36,272.82,257.75,264.14,233000,0.0,0.0
2020-03-20,265.26,272.38,257.82,260.76,433500,0.0,0.0
2020-03-23,261.44,272.27,257.79,265.66,410300,0.0,0.0
2020-03-24,274.6,279.95,268.66,270.98,294300,0.0,0.0
2020-03-25,271.92,274.55,258.01,262.14,468500,0.0,0.0
2020-03-26,263.6,289.07,263.6,289.07,299700,0.0,0.0
2020-03-27,283.38,288.29,277.64,282.82,208200,0.0,0.0
2020-03-30,286.66,301.26,285.66,300.8,331400,0.0,0.0
2020-03-31,296.36,308.3,294.76,296.55,523600,0.0,0.0
2020-04-01,292.1,299.23,286.92,291.57,279700,0.0,0.0
2020-04-02,288.69,290.98,276.95,280.33,373400,0.0,0.0
2020-04-03,277.42,285.39,275.38,284.82,254900,0.0,0.0
2020-04-06,287.33,300.17,285.26,299.85,330300,0.0,0.0
2020-04-07,304.88,309.88,291.16,294.02,360900,0.0,0.0
2020-04-08,297.64,309.83,292.89,308.92,283600,0.0,0.0
2020-04-09,310.55,316.05,307.2,311.98,292200,0.0,0.0
2020-04-13,308.72,312.92,304.51,306.02,161700,0.0,0.0
2020-04-14,312.92,327.61,310.92,327.13,355200,0.0,0.0
2020-04-15,323.61,327.63,318.01,323.45,264500,0.0,0.0
2020-04-16,326.69,330.35,323.44,326.5,420400,0.0,0.0
2020-04-17,331.48,331.67,320.7,326.72,304800,0.0,0.0
2020-04-20,325.79,336.01,322.29,328.04,207500,0.0,0.0
2020-04-21,322.69,322.69,311.61,312.89,221900,0.0,0.0
2020-04-22,319.69,322.88,315.02,318.22,324700,0.0,0.0
2020-04-23,318.29,324.55,316.5,319.35,329100,0.0,0.0
2020-04-24,321.75,321.75,312.51,314.7,494500,0.0,0.0
2020-04-27,316.23,323.17,314.32,320.94,216600,0.0,0.0
2020-04-28,325.8,326.0,311.42,312.01,234400,0.0,0.0
2020-04-29,315.51,323.47,311.01,320.98,312500,0.0,0.0
2020-04-30,317.35,324.82,305.29,320.69,470200,0.0,0.0
2020-05-01,318.0,318.0,311.57,314.77,326300,0.0,0.0
2020-05-04,315.0,316.77,308.92,314.73,276400,0.0,0.0
2020-05-05,313.72,325.35,313.72,322.55,217400,0.0,0.0
2020-05-06,325.07,328.2,321.07,326.35,224000,0.0,0.0
2020-05-07,330.07,334.64,327.57,332.58,293500,0.0,0.0
2020-05-08,337.42,337.73,329.57,330.23,209400,0.0,0.0
2020-05-11,328.67,337.66,328.67,335.6,523700,0.0,0.0
2020-05-12,337.04,339.0,331.23,331.89,201300,0.0,0.0
2020-05-13,330.76,335.36,326.16,331.73,233200,0.0,0.0
2020-05-14,329.32,334.5,326.35,334.04,220200,0.0,0.0
2020-05-15,332.98,354.92,332.5,354.75,538800,0.0,0.0
2020-05-18,356.13,366.26,351.76,352.07,340300,0.0,0.0
2020-05-19,353.22,357.38,352.55,352.85,298900,0.0,0.0
2020-05-20,356.76,368.98,356.13,361.63,363600,0.0,0.0
2020-05-21,359.17,360.29,350.48,354.42,350800,0.0,0.0
2020-05-22,355.35,361.14,353.26,360.04,231400,0.0,0.0
2020-05-26,363.97,364.79,350.91,352.77,322000,0.0,0.0
2020-05-27,350.92,365.23,343.0,365.0,529400,0.0,0.0
2020-05-28,365.66,379.55,365.66,370.45,526900,0.0,0.0
2020-05-29,372.35,379.92,369.35,375.3,1694000,0.0,0.0
2020-06-01,373.33,379.5,372.72,375.85,392200,0.0,0.0
2020-06-02,379.0,382.66,368.54,382.66,319300,0.0,0.0
2020-06-03,381.61,382.92,374.19,378.14,287800,0.0,0.0
2020-06-04,375.3,378.88,368.26,371.57,293900,0.0,0.0
2020-06-05,367.57,372.92,355.19,358.42,521000,0.0,0.0
2020-06-08,354.98,359.64,353.08,358.17,281600,0.0,0.0
2020-06-09,360.86,360.86,354.73,355.6,265400,0.0,0.0
2020-06-10,359.32,366.8,357.86,363.82,304600,0.0,0.0
2020-06-11,360.25,363.14,351.73,351.89,228500,0.0,0.0
2020-06-12,360.0,364.26,337.85,342.7,486300,0.0,0.0
2020-06-15,337.04,342.72,332.42,341.07,629100,0.0,0.0
2020-06-16,350.0,355.16,341.54,342.79,393300,0.0,0.0
2020-06-17,344.36,347.48,337.14,339.04,709100,0.0,0.0
2020-06-18,341.22,351.02,337.0,342.54,687700,0.0,0.0
2020-06-19,344.42,349.35,330.38,333.2,7629900,0.0,0.0
2020-06-22,333.55,342.86,332.67,338.29,609100,0.0,0.0
2020-06-23,339.7,340.89,332.92,334.47,603200,0.0,0.0
2020-06-24,333.66,340.38,328.01,338.47,516600,0.0,0.0
2020-06-25,338.48,341.52,332.88,340.32,360700,0.0,0.0
2020-06-26,340.32,345.22,335.88,340.79,800800,0.0,0.0
2020-06-29,339.95,341.82,332.38,339.85,317100,0.0,0.0
2020-06-30,339.1,348.13,337.83,346.88,337300,0.0,0.0
2020-07-01,347.92,351.39,345.48,350.32,322900,0.0,0.0
2020-07-02,351.48,357.33,350.39,355.22,350800,0.0,0.0
2020-07-06,359.73,360.11,350.39,352.47,362500,0.0,0.0
2020-07-07,352.47,356.67,347.79,352.51,321000,0.0,0.0
2020-07-08,354.7,358.98,353.17,355.04,296300,0.0,0.0
2020-07-09,358.6,363.01,354.67,361.29,281100,0.0,0.0
2020-07-10,361.45,362.07,354.23,359.73,241400,0.0,0.0
2020-07-13,361.27,361.83,343.04,344.97,392700,0.0,0.0
2020-07-14,342.6,349.67,341.32,347.57,333200,0.0,0.0
2020-07-15,351.35,354.64,346.92,351.22,195300,0.0,0.0
2020-07-16,351.35,352.85,346.85,351.32,161000,0.0,0.0
2020-07-17,353.67,356.04,348.79,355.79,133000,0.0,0.0
2020-07-20,358.39,371.73,358.39,370.39,249300,0.0,0.0
2020-07-21,372.41,372.41,365.79,369.0,161400,0.0,0.0
2020-07-22,370.17,370.54,363.29,367.85,171100,0.0,0.0
2020-07-23,367.47,374.98,362.32,363.45,198500,0.0,0.0
2020-07-24,361.17,361.17,352.55,357.19,266400,0.0,0.0
2020-07-27,360.67,361.89,356.17,359.08,168900,0.0,0.0
2020-07-28,352.91,356.16,346.2,347.26,252900,0.0,0.0
2020-07-29,347.66,352.17,345.01,350.76,392900,0.0,0.0
2020-07-30,345.85,355.41,339.29,350.04,361300,0.0,0.0
2020-07-31,354.11,357.25,346.89,357.25,265100,0.0,0.0
2020-08-03,358.0,366.72,352.13,363.97,270600,0.0,0.0
2020-08-04,363.14,366.14,358.39,365.94,218900,0.0,0.0
2020-08-05,366.13,371.04,364.64,365.58,199900,0.0,0.0
2020-08-06,366.27,368.92,362.7,364.1,218000,0.0,0.0
2020-08-07,363.23,364.29,351.5,356.88,208500,0.0,0.0
2020-08-10,356.77,356.77,335.98,336.36,416400,0.0,0.0
2020-08-11,335.42,336.51,325.13,326.94,498200,0.0,0.0
2020-08-12,328.1,334.8,328.1,328.76,266900,0.0,0.0
2020-08-13,329.7,339.48,329.7,338.29,278300,0.0,0.0
2020-08-14,340.02,342.86,334.73,335.57,192100,0.0,0.0
2020-08-17,337.2,341.98,336.85,340.8,187100,0.0,0.0
2020-08-18,342.19,344.51,338.92,340.04,216300,0.0,0.0
2020-08-19,341.73,343.89,336.86,338.17,178000,0.0,0.0
