,EPS Estimate,Reported EPS,Surprise(%)
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-25 19:00:00-05:00,4.21,nan,nan
2024-10-23 20:00:00-04:00,3.65,3.71,1.53
2024-07-23 20:00:00-04:00,3.28,4.31,31.29
2024-04-23 20:00:00-04:00,3.15,3.7,17.64
2024-02-26 19:00:00-05:00,2.88,3.13,8.73
2023-10-24 20:00:00-04:00,2.36,2.55,8.21
2023-07-24 20:00:00-04:00,2.43,2.53,3.96
2023-04-24 20:00:00-04:00,2.19,2.34,6.65
2023-02-26 19:00:00-05:00,2.96,3.02,2.05
