,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,136.41,139.64,136.41,139.36,467800,0.0,0.0
2020-02-24,136.93,138.87,136.06,137.91,927800,0.0,0.0
2020-02-25,138.46,139.32,132.17,132.29,852700,0.0,0.0
2020-02-26,133.04,134.66,131.38,132.03,1034500,0.0,0.0
2020-02-27,130.98,130.98,123.31,125.22,1681700,0.0,0.0
2020-02-28,122.06,123.35,118.72,121.02,1386900,0.2,0.0
2020-03-02,121.66,129.62,120.61,128.92,1050200,0.0,0.0
2020-03-03,128.35,131.71,121.98,122.58,1092700,0.0,0.0
2020-03-04,126.75,129.66,125.85,128.81,1091800,0.0,0.0
2020-03-05,124.83,126.21,121.91,124.76,889500,0.0,0.0
2020-03-06,120.64,123.82,119.3,123.2,966700,0.0,0.0
2020-03-09,118.31,118.31,110.6,112.07,1044800,0.0,0.0
2020-03-10,115.04,117.34,111.36,116.93,889400,0.0,0.0
2020-03-11,113.91,113.98,105.43,107.72,822900,0.0,0.0
2020-03-12,100.1,102.25,95.86,97.6,1587700,0.0,0.0
2020-03-13,102.93,103.64,95.43,102.78,1024800,0.0,0.0
2020-03-16,93.54,94.91,79.88,79.9,1059900,0.0,0.0
2020-03-17,81.61,83.0,75.77,78.98,1568000,0.0,0.0
2020-03-18,73.6,73.62,64.56,66.2,1687000,0.0,0.0
2020-03-19,65.2,83.77,63.76,82.97,2253800,0.0,0.0
2020-03-20,84.84,88.47,71.93,73.76,1866000,0.0,0.0
2020-03-23,73.52,79.43,69.47,70.26,1727400,0.0,0.0
2020-03-24,75.17,77.19,71.52,76.44,1833000,0.0,0.0
2020-03-25,77.25,91.45,74.63,86.01,2065900,0.0,0.0
2020-03-26,87.97,95.81,85.13,89.82,1770900,0.0,0.0
2020-03-27,86.99,90.1,84.32,87.03,1375700,0.0,0.0
2020-03-30,87.24,98.2,86.73,97.93,1399300,0.0,0.0
2020-03-31,98.51,100.38,94.17,96.9,1479400,0.0,0.0
2020-04-01,91.84,93.67,84.52,85.99,1036700,0.0,0.0
2020-04-02,83.55,92.57,82.99,86.76,965400,0.0,0.0
2020-04-03,86.36,87.78,81.45,83.5,571900,0.0,0.0
2020-04-06,87.88,95.25,87.32,94.38,925400,0.0,0.0
2020-04-07,99.65,101.77,95.57,96.23,779400,0.0,0.0
2020-04-08,97.48,107.64,97.48,104.64,883000,0.0,0.0
2020-04-09,105.62,108.15,101.19,102.21,775700,0.0,0.0
2020-04-13,101.11,101.83,96.24,98.5,669100,0.0,0.0
2020-04-14,100.73,105.35,100.25,105.18,549100,0.0,0.0
2020-04-15,100.07,102.39,99.25,100.82,601100,0.0,0.0
2020-04-16,100.84,101.6,96.81,99.43,453900,0.0,0.0
2020-04-17,103.08,106.08,102.27,105.42,559600,0.0,0.0
2020-04-20,102.74,103.83,100.01,100.43,665300,0.0,0.0
2020-04-21,97.12,101.04,95.41,95.63,692300,0.0,0.0
2020-04-22,98.11,99.81,95.83,95.94,639800,0.0,0.0
2020-04-23,96.83,101.0,95.84,98.97,497100,0.0,0.0
2020-04-24,99.79,100.73,97.25,99.41,480000,0.0,0.0
2020-04-27,100.88,104.09,100.47,102.77,706000,0.0,0.0
2020-04-28,101.11,106.05,99.39,103.05,1266900,0.0,0.0
2020-04-29,104.05,111.02,103.65,108.1,706300,0.0,0.0
2020-04-30,105.4,106.5,103.26,103.37,836600,0.0,0.0
2020-05-01,100.71,101.38,95.45,96.97,750600,0.0,0.0
2020-05-04,95.56,96.96,93.54,96.26,749900,0.0,0.0
2020-05-05,98.09,102.18,98.09,99.66,610900,0.0,0.0
2020-05-06,99.93,100.29,93.18,93.5,689200,0.0,0.0
2020-05-07,94.95,97.8,94.19,94.41,537700,0.0,0.0
2020-05-08,96.49,100.09,95.73,99.81,538200,0.0,0.0
2020-05-11,98.57,98.57,95.58,96.3,422900,0.0,0.0
2020-05-12,97.0,98.02,91.46,91.46,569200,0.0,0.0
2020-05-13,91.04,92.0,88.11,89.78,544800,0.0,0.0
2020-05-14,88.38,89.65,84.74,89.47,629800,0.0,0.0
2020-05-15,89.13,91.53,88.52,90.59,443200,0.0,0.0
2020-05-18,94.1,98.99,94.1,97.93,903700,0.0,0.0
2020-05-19,97.21,100.14,95.24,98.3,590700,0.0,0.0
2020-05-20,99.28,101.65,98.07,101.01,723700,0.0,0.0
2020-05-21,100.54,103.82,99.69,103.25,714800,0.0,0.0
2020-05-22,103.57,103.77,98.97,101.88,571600,0.0,0.0
2020-05-26,105.36,107.31,103.54,104.04,770400,0.0,0.0
2020-05-27,106.04,108.67,104.64,108.0,573900,0.0,0.0
2020-05-28,109.42,109.42,104.03,104.89,470600,0.0,0.0
2020-05-29,104.25,104.6,100.92,103.13,903600,0.0,0.0
2020-06-01,102.69,105.29,100.88,102.29,692900,0.0,0.0
2020-06-02,102.39,103.13,100.85,101.74,422900,0.0,0.0
2020-06-03,102.95,105.53,102.03,102.13,475000,0.0,0.0
2020-06-04,100.57,102.78,99.37,100.65,676000,0.0,0.0
