,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-22 19:00:00-05:00,2.78,2.96,6.32
2024-10-23 20:00:00-04:00,2.78,2.75,-0.98
2024-07-24 20:00:00-04:00,2.71,2.74,1.02
2024-04-24 20:00:00-04:00,2.51,2.69,7.05
2024-01-24 19:00:00-05:00,2.57,2.71,5.27
2023-10-18 20:00:00-04:00,2.44,2.51,2.92
2023-07-25 20:00:00-04:00,2.75,2.57,-6.61
2023-04-19 20:00:00-04:00,2.58,2.67,3.39
