,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,157.91,159.36,156.31,158.46,6785100,0.0,0.0
2020-02-25,159.04,159.64,152.37,153.16,7631700,0.0,0.0
2020-02-26,152.03,154.89,148.37,148.56,4921400,0.0,0.0
2020-02-27,144.66,148.88,140.93,143.9,7914700,0.97,0.0
2020-02-28,139.75,144.23,137.75,144.07,7045800,0.0,0.0
2020-03-02,144.78,146.02,140.03,144.55,7064800,0.0,0.0
2020-03-03,144.88,151.12,140.95,141.85,5654000,0.0,0.0
2020-03-04,144.11,146.93,142.64,146.2,4415000,0.0,0.0
2020-03-05,142.12,144.07,138.58,139.7,4901900,0.0,0.0
2020-03-06,134.8,141.48,134.22,140.72,4643300,0.0,0.0
2020-03-09,130.9,131.25,120.07,122.46,9400200,0.0,0.0
2020-03-10,127.86,132.53,125.47,132.36,8090300,0.0,0.0
2020-03-11,128.04,129.31,125.23,127.62,7074800,0.0,0.0
2020-03-12,117.33,128.18,112.69,119.05,8805200,0.0,0.0
2020-03-13,125.81,129.69,121.54,129.69,7886400,0.0,0.0
2020-03-16,115.44,122.49,110.26,112.78,7102700,0.0,0.0
2020-03-17,114.79,119.64,108.53,115.96,8021700,0.0,0.0
2020-03-18,108.88,111.17,94.73,103.75,10869900,0.0,0.0
2020-03-19,103.03,111.5,100.68,109.67,8514300,0.0,0.0
2020-03-20,111.88,113.37,102.29,106.24,6668100,0.0,0.0
2020-03-23,99.52,107.59,98.82,102.81,6011000,0.0,0.0
2020-03-24,109.41,117.3,107.1,116.18,7018900,0.0,0.0
2020-03-25,114.84,127.2,114.49,119.82,6923200,0.0,0.0
2020-03-26,123.54,129.27,120.82,128.46,6068600,0.0,0.0
2020-03-27,122.27,129.48,120.95,125.36,4962400,0.0,0.0
2020-03-30,124.0,129.2,122.9,126.39,3309200,0.0,0.0
2020-03-31,124.16,130.46,123.99,127.15,4247100,0.0,0.0
2020-04-01,120.83,124.38,119.45,123.05,5125600,0.0,0.0
2020-04-02,121.95,128.35,121.53,127.84,6009000,0.0,0.0
2020-04-03,127.0,128.51,123.14,124.93,4088000,0.0,0.0
2020-04-06,131.43,134.59,131.36,133.29,4865900,0.0,0.0
2020-04-07,137.33,138.39,130.96,131.41,4729000,0.0,0.0
2020-04-08,132.99,135.94,131.09,134.89,3625600,0.0,0.0
2020-04-09,136.37,138.11,132.57,134.08,4535900,0.0,0.0
2020-04-13,133.28,134.4,130.45,132.44,2525000,0.0,0.0
2020-04-14,134.41,136.43,133.26,134.3,2235900,0.0,0.0
2020-04-15,130.96,132.9,129.49,132.22,3457000,0.0,0.0
2020-04-16,132.15,132.54,127.36,129.81,5015300,0.0,0.0
2020-04-17,133.96,136.0,133.08,135.13,5081400,0.0,0.0
2020-04-20,132.8,134.49,130.33,132.17,4289200,0.0,0.0
2020-04-21,128.48,131.45,127.31,130.19,4049200,0.0,0.0
2020-04-22,132.1,133.75,130.6,132.62,3970600,0.0,0.0
2020-04-23,141.47,142.68,137.03,137.29,6233300,0.0,0.0
2020-04-24,141.07,142.51,138.33,140.72,4800200,0.0,0.0
2020-04-27,144.15,145.35,142.46,143.31,4633800,0.0,0.0
2020-04-28,145.62,146.46,143.34,145.47,3173000,0.0,0.0
2020-04-29,148.9,149.86,146.75,147.0,2778600,0.0,0.0
2020-04-30,144.73,145.91,142.65,144.06,3757000,0.0,0.0
2020-05-01,142.17,142.17,139.5,141.22,3089000,0.0,0.0
2020-05-04,139.86,139.92,137.38,139.58,2416100,0.0,0.0
2020-05-05,141.15,143.51,140.53,140.98,2269500,0.0,0.0
2020-05-06,141.16,141.66,138.74,139.11,2095200,0.0,0.0
2020-05-07,141.14,142.41,140.22,140.84,2411500,0.0,0.0
2020-05-08,143.06,143.67,142.33,142.68,2309300,0.0,0.0
2020-05-11,141.25,142.4,140.46,141.41,2857400,0.0,0.0
2020-05-12,140.93,141.7,138.83,138.83,2683500,0.0,0.0
2020-05-13,137.88,138.79,135.72,137.7,3499700,0.0,0.0
2020-05-14,135.96,137.65,132.57,137.43,3930400,0.0,0.0
2020-05-15,136.12,137.83,135.01,136.35,5127700,0.0,0.0
2020-05-18,141.96,145.02,140.49,143.45,5423000,0.0,0.0
2020-05-19,143.45,146.87,143.12,143.58,3136400,0.0,0.0
2020-05-20,148.75,152.09,147.99,149.68,4294300,0.0,0.0
2020-05-21,148.98,149.64,146.96,147.48,2277100,0.0,0.0
2020-05-22,147.56,149.14,146.19,148.9,1773900,0.0,0.0
2020-05-26,153.55,154.17,151.71,153.17,4150500,0.0,0.0
2020-05-27,154.94,156.94,154.25,156.72,3174400,0.0,0.0
2020-05-28,156.88,157.42,153.51,154.58,4065700,0.97,0.0
2020-05-29,154.29,155.43,152.63,153.99,3677000,0.0,0.0
2020-06-01,153.54,154.55,152.11,153.67,2929800,0.0,0.0
2020-06-02,154.8,157.29,153.67,154.97,3000000,0.0,0.0
2020-06-03,157.42,162.14,156.86,161.42,3897900,0.0,0.0
2020-06-04,159.91,161.09,158.89,159.95,2933300,0.0,0.0
2020-06-05,166.01,170.29,165.39,167.57,5608600,0.0,0.0
2020-06-08,166.78,168.62,163.06,164.69,3436600,0.0,0.0
2020-06-09,161.43,163.57,160.47,161.52,3569700,0.0,0.0
2020-06-10,161.24,162.06,158.61,159.04,3321200,0.0,0.0
2020-06-11,154.12,154.25,147.97,148.04,6234700,0.0,0.0
2020-06-12,152.5,152.82,147.29,150.66,3373000,0.0,0.0
2020-06-15,146.61,153.34,146.33,152.24,2948600,0.0,0.0
2020-06-16,157.1,158.18,152.63,155.0,3554000,0.0,0.0
2020-06-17,156.12,157.34,154.73,155.18,3463800,0.0,0.0
2020-06-18,154.15,155.83,153.87,154.89,2714800,0.0,0.0
2020-06-19,157.32,157.32,151.22,152.17,7119600,0.0,0.0
2020-06-22,151.46,153.08,150.4,152.49,2647600,0.0,0.0
2020-06-23,154.46,155.26,153.43,153.54,2881400,0.0,0.0
2020-06-24,152.05,153.17,149.62,150.09,3206300,0.0,0.0
2020-06-25,149.72,151.62,147.58,151.42,3441100,0.0,0.0
2020-06-26,151.44,152.44,146.99,147.45,8491200,0.0,0.0
2020-06-29,148.54,150.44,147.05,150.05,2658700,0.0,0.0
2020-06-30,149.21,154.31,149.01,153.28,4068600,0.0,0.0
2020-07-01,153.66,154.78,150.7,151.29,2914100,0.0,0.0
2020-07-02,153.38,154.75,152.21,153.29,2271400,0.0,0.0
2020-07-06,155.1,156.26,154.22,156.08,2498100,0.0,0.0
2020-07-07,154.48,156.12,153.44,153.92,2380800,0.0,0.0
2020-07-08,153.75,156.19,153.02,153.25,3362600,0.0,0.0
2020-07-09,153.66,153.66,149.33,150.49,2977500,0.0,0.0
2020-07-10,150.49,151.64,149.29,150.85,2300300,0.0,0.0
2020-07-13,152.52,154.99,151.14,153.37,2975900,0.0,0.0
2020-07-14,152.54,156.47,152.32,155.83,3015300,0.0,0.0
2020-07-15,158.45,159.09,157.22,158.1,2493000,0.0,0.0
2020-07-16,157.95,161.72,157.72,160.35,3319700,0.0,0.0
2020-07-17,161.23,165.47,160.37,164.32,6132900,0.0,0.0
2020-07-20,163.43,164.13,159.82,160.82,2885700,0.0,0.0
2020-07-21,161.22,163.55,161.22,161.97,2230700,0.0,0.0
2020-07-22,160.78,163.63,160.62,162.63,2951300,0.0,0.0
2020-07-23,162.07,162.75,156.7,158.65,4010600,0.0,0.0
2020-07-24,159.23,160.53,158.4,159.67,2720300,0.0,0.0
2020-07-27,159.17,162.5,158.71,160.3,2738200,0.0,0.0
2020-07-28,159.89,160.72,157.83,158.12,1965800,0.0,0.0
2020-07-29,158.15,161.72,158.01,161.36,2736700,0.0,0.0
2020-07-30,159.44,159.94,156.27,156.66,2775500,0.0,0.0
2020-07-31,156.31,157.47,151.92,157.16,5089500,0.0,0.0
2020-08-03,157.62,158.15,155.63,155.99,1982800,0.0,0.0
2020-08-04,155.83,157.48,155.44,157.46,1719600,0.0,0.0
2020-08-05,158.17,161.37,158.0,160.89,3040300,0.0,0.0
2020-08-06,161.13,163.7,160.65,162.83,1971400,0.0,0.0
2020-08-07,162.9,165.87,162.42,165.84,2192500,0.0,0.0
2020-08-10,166.59,169.78,166.32,169.4,3368600,0.0,0.0
2020-08-11,171.95,175.78,171.04,172.57,4215200,0.0,0.0
2020-08-12,173.94,175.43,172.95,173.91,2869900,0.0,0.0
2020-08-13,172.25,173.78,171.43,172.0,2248800,0.0,0.0
2020-08-14,171.88,175.54,171.48,173.99,2502700,0.0,0.0
2020-08-17,174.97,176.87,174.39,175.76,3563000,0.0,0.0
2020-08-18,175.88,176.23,172.8,172.89,1688500,0.0,0.0
2020-08-19,173.73,174.23,172.92,173.12,1702000,0.0,0.0
2020-08-20,171.64,172.93,170.51,172.18,2082300,0.0,0.0
2020-08-21,172.67,173.88,171.13,173.68,2059300,0.0,0.0
2020-08-24,174.11,175.03,173.25,174.57,2045100,0.0,0.0
2020-08-25,175.61,176.87,174.77,176.7,2062000,0.0,0.0
2020-08-26,175.65,177.1,174.35,176.17,1513300,0.0,0.0
2020-08-27,176.86,177.51,176.13,176.28,1536000,0.0,0.0
2020-08-28,176.32,178.26,175.71,177.79,1849500,0.97,0.0
2020-08-31,177.67,178.76,174.98,175.34,2061600,0.0,0.0
2020-09-01,175.16,178.48,174.11,178.4,1888100,0.0,0.0
2020-09-02,178.67,180.01,177.14,178.84,3394400,0.0,0.0
2020-09-03,180.18,180.37,172.48,173.62,4180800,0.0,0.0
2020-09-04,174.93,176.87,171.91,174.16,3624500,0.0,0.0
2020-09-08,173.71,174.45,171.75,171.9,2692700,0.0,0.0
2020-09-09,173.29,177.63,173.24,175.72,2750700,0.0,0.0
2020-09-10,176.57,177.35,174.98,175.92,2084700,0.0,0.0
2020-09-11,176.77,179.8,176.64,178.53,1912900,0.0,0.0
2020-09-14,179.71,182.09,178.49,181.17,1663600,0.0,0.0
2020-09-15,181.79,184.83,181.79,184.39,2328200,0.0,0.0
2020-09-16,185.64,187.5,183.24,183.52,2994700,0.0,0.0
2020-09-17,180.99,185.25,179.33,183.73,2611300,0.0,0.0
2020-09-18,183.33,186.36,181.95,182.05,4164700,0.0,0.0
2020-09-21,178.58,179.41,173.78,176.76,2980600,0.0,0.0
2020-09-22,177.07,180.4,176.96,179.79,1864500,0.0,0.0
2020-09-23,180.5,182.98,176.43,177.05,2199000,0.0,0.0
2020-09-24,177.04,180.67,175.8,178.28,1704900,0.0,0.0
2020-09-25,177.7,181.8,177.36,180.54,1712100,0.0,0.0
2020-09-28,183.68,184.23,181.44,181.73,2070900,0.0,0.0
2020-09-29,181.86,182.58,179.18,179.71,2294800,0.0,0.0
2020-09-30,180.53,184.23,178.88,179.38,3606200,0.0,0.0
2020-10-01,180.41,180.41,175.03,176.97,3147100,0.0,0.0
2020-10-02,174.06,180.94,173.91,178.9,3231400,0.0,0.0
2020-10-05,180.59,184.28,179.91,183.43,3376200,0.0,0.0
2020-10-06,184.05,185.87,181.58,181.69,3403800,0.0,0.0
2020-10-07,183.21,187.31,183.14,186.44,2214500,0.0,0.0
2020-10-08,186.68,187.24,183.65,185.67,1720300,0.0,0.0
2020-10-09,186.46,188.13,186.38,187.5,1724600,0.0,0.0
2020-10-12,190.14,190.27,187.2,188.02,2035500,0.0,0.0
2020-10-13,187.26,188.48,184.73,184.96,1882400,0.0,0.0
2020-10-14,185.52,187.12,185.36,186.61,2053100,0.0,0.0
2020-10-15,184.2,190.82,183.24,190.26,2588200,0.0,0.0
2020-10-16,190.77,192.21,189.35,191.2,3329500,0.0,0.0
2020-10-19,189.87,191.93,186.94,187.39,2110300,0.0,0.0
2020-10-20,188.2,191.42,187.71,188.41,1569500,0.0,0.0
2020-10-21,182.27,184.3,181.0,181.76,4141200,0.0,0.0
2020-10-22,176.75,177.01,169.32,170.51,7578800,0.0,0.0
2020-10-23,168.58,172.89,168.56,171.42,3897100,0.0,0.0
2020-10-26,169.96,170.32,165.83,168.29,4007100,0.0,0.0
2020-10-27,168.09,168.28,162.25,163.61,4542000,0.0,0.0
2020-10-28,160.17,162.38,157.69,157.96,4092200,0.0,0.0
2020-10-29,157.47,161.87,156.26,160.4,5987900,0.0,0.0
2020-10-30,159.71,161.63,157.75,161.45,3747900,0.0,0.0
2020-11-02,163.75,165.55,161.18,163.31,3726500,0.0,0.0
2020-11-03,165.37,170.35,164.75,168.91,3983600,0.0,0.0
2020-11-04,172.77,174.69,169.84,170.15,4391900,0.0,0.0
2020-11-05,172.77,176.67,172.48,175.0,3998900,0.0,0.0
2020-11-06,174.26,174.77,172.24,173.18,1999600,0.0,0.0
2020-11-09,182.23,189.32,178.89,180.41,4487000,0.0,0.0
2020-11-10,181.19,185.42,180.36,183.38,4279800,0.0,0.0
2020-11-11,183.67,184.01,180.17,182.23,3134800,0.0,0.0
2020-11-12,181.8,183.4,180.18,182.68,2923200,0.0,0.0
2020-11-13,184.19,186.35,183.22,185.36,2292000,0.0,0.0
2020-11-16,188.15,191.29,186.35,188.34,3066200,0.0,0.0
2020-11-17,186.89,188.24,183.68,187.56,2481000,0.0,0.0
2020-11-18,186.91,189.41,185.83,185.9,2244200,0.0,0.0
2020-11-19,184.62,186.6,182.8,186.38,1965000,0.0,0.0
2020-11-20,186.65,187.69,184.61,185.32,1911100,0.0,0.0
2020-11-23,186.94,189.11,186.46,188.96,2133300,0.0,0.0
2020-11-24,190.85,192.38,189.97,190.16,2726100,0.0,0.0
2020-11-25,190.07,190.07,187.76,188.83,2046900,0.0,0.0
2020-11-27,190.02,190.27,187.66,188.25,1429300,0.97,0.0
2020-11-30,189.02,189.27,185.73,186.82,2537000,0.0,0.0
2020-12-01,188.3,190.68,185.04,185.28,4481200,0.0,0.0
2020-12-02,184.83,187.23,184.4,186.35,2676300,0.0,0.0
2020-12-03,187.22,187.9,184.74,185.16,4152100,0.0,0.0
2020-12-04,185.01,188.96,185.01,188.62,2979900,0.0,0.0
2020-12-07,188.21,188.51,186.58,187.65,2071800,0.0,0.0
2020-12-08,186.43,189.22,186.02,187.86,2043600,0.0,0.0
2020-12-09,186.59,189.49,186.59,188.47,1937700,0.0,0.0
2020-12-10,187.64,188.34,184.36,185.39,2206000,0.0,0.0
2020-12-11,183.71,186.52,183.09,185.89,1919600,0.0,0.0
2020-12-14,187.91,188.08,181.17,181.26,2163000,0.0,0.0
2020-12-15,182.0,184.39,180.76,183.36,1959500,0.0,0.0
2020-12-16,183.86,184.0,181.81,182.03,2094900,0.0,0.0
2020-12-17,183.11,185.66,182.18,185.1,2705900,0.0,0.0
2020-12-18,185.0,187.2,183.75,186.38,5918600,0.0,0.0
2020-12-21,182.73,186.56,182.73,185.37,2035100,0.0,0.0
2020-12-22,184.76,186.3,184.4,184.48,1444200,0.0,0.0
2020-12-23,185.68,186.3,184.05,184.16,1787600,0.0,0.0
2020-12-24,184.24,186.61,183.53,186.19,691700,0.0,0.0
2020-12-28,186.72,189.07,186.34,188.26,1790200,0.0,0.0
2020-12-29,188.85,189.34,186.18,187.13,1735200,0.0,0.0
2020-12-30,187.54,189.04,187.31,188.56,1279700,0.0,0.0
2020-12-31,188.9,191.0,188.27,190.61,1739900,0.0,0.0
2021-01-04,190.45,191.35,184.35,185.84,2642400,0.0,0.0
2021-01-05,185.74,188.98,185.7,188.12,2127300,0.0,0.0
2021-01-06,188.17,193.71,187.78,192.06,2512400,0.0,0.0
2021-01-07,192.8,195.31,191.44,194.73,2023000,0.0,0.0
2021-01-08,199.56,202.57,198.64,200.32,3922900,0.0,0.0
2021-01-11,201.56,202.3,198.6,198.97,2969500,0.0,0.0
2021-01-12,198.7,201.8,195.77,200.15,3226000,0.0,0.0
2021-01-13,199.18,200.48,197.15,198.29,1466000,0.0,0.0
2021-01-14,199.52,199.67,197.47,197.88,1720000,0.0,0.0
2021-01-15,196.37,199.12,195.22,198.28,2325200,0.0,0.0
2021-01-19,199.76,200.32,196.94,197.07,2841900,0.0,0.0
2021-01-20,198.73,199.99,197.47,199.73,3239600,0.0,0.0
2021-01-21,192.24,198.56,190.31,190.32,6344000,0.0,0.0
2021-01-22,190.05,191.33,186.05,189.61,4290300,0.0,0.0
2021-01-25,187.81,189.63,184.11,189.0,4815200,0.0,0.0
2021-01-26,189.78,189.78,182.54,183.13,3867700,0.0,0.0
2021-01-27,179.44,181.99,176.81,177.9,3791000,0.0,0.0
2021-01-28,180.69,187.65,178.91,184.27,3406500,0.0,0.0
2021-01-29,182.44,183.82,180.13,180.77,3508000,0.0,0.0
2021-02-01,182.01,183.74,181.5,181.8,2228700,0.0,0.0
2021-02-02,183.58,189.61,183.12,188.51,3714100,0.0,0.0
2021-02-03,187.79,188.51,186.62,187.08,1731600,0.0,0.0
2021-02-04,187.46,189.17,186.18,187.16,2552100,0.0,0.0
2021-02-05,189.08,190.12,186.62,186.93,2097000,0.0,0.0
2021-02-08,187.94,187.94,185.03,186.86,1995400,0.0,0.0
2021-02-09,187.15,188.21,185.4,187.34,1526600,0.0,0.0
2021-02-10,188.51,188.75,185.56,186.29,1766800,0.0,0.0
2021-02-11,187.76,190.29,187.07,189.7,2658000,0.0,0.0
2021-02-12,188.77,195.63,188.77,195.13,3318300,0.0,0.0
2021-02-16,195.33,197.2,192.66,195.89,2936300,0.0,0.0
2021-02-17,195.21,195.79,192.07,193.37,3042700,0.0,0.0
2021-02-18,191.53,192.05,186.89,189.55,3621400,0.0,0.0
2021-02-19,190.45,193.67,190.32,191.38,3120800,0.0,0.0
2021-02-22,189.62,192.58,189.2,189.34,2775900,0.0,0.0
2021-02-23,189.81,190.48,187.37,189.46,2677500,0.0,0.0
2021-02-24,188.9,194.94,188.09,193.29,2355200,0.0,0.0
2021-02-25,192.93,193.95,191.2,191.9,4150200,0.97,0.0
2021-02-26,193.32,193.32,189.31,189.41,3707900,0.0,0.0
2021-03-01,191.82,194.6,191.08,192.37,4118200,0.0,0.0
2021-03-02,192.71,193.72,190.67,192.48,2315500,0.0,0.0
2021-03-03,192.51,192.97,189.44,189.66,2307400,0.0,0.0
2021-03-04,189.43,190.09,182.63,184.92,3208800,0.0,0.0
2021-03-05,186.69,193.27,184.52,192.86,3187200,0.0,0.0
2021-03-08,193.65,198.35,193.28,193.95,3068500,0.0,0.0
2021-03-09,195.01,197.7,194.26,194.69,2814500,0.0,0.0
2021-03-10,195.43,197.89,194.4,196.0,2764600,0.0,0.0
2021-03-11,197.56,199.14,196.04,197.28,2573500,0.0,0.0
2021-03-12,198.52,200.03,196.73,196.89,2321100,0.0,0.0
2021-03-15,197.04,197.63,193.09,195.58,2881100,0.0,0.0
2021-03-16,196.0,196.04,192.13,194.69,2786100,0.0,0.0
2021-03-17,194.44,197.02,192.96,195.24,2795200,0.0,0.0
2021-03-18,194.45,200.22,194.45,198.06,2866600,0.0,0.0
2021-03-19,198.12,198.21,192.4,193.86,7005200,0.0,0.0
2021-03-22,193.2,194.05,188.33,189.7,5863500,0.0,0.0
2021-03-23,190.61,193.62,189.91,191.33,3661700,0.0,0.0
2021-03-24,191.29,198.46,191.29,195.8,3245100,0.0,0.0
2021-03-25,195.45,199.13,194.8,198.73,2689300,0.0,0.0
2021-03-26,199.71,205.28,199.34,205.01,3653800,0.0,0.0
2021-03-29,204.9,205.96,202.55,205.07,2279800,0.0,0.0
2021-03-30,203.48,205.47,202.82,203.36,2601500,0.0,0.0
2021-03-31,203.35,204.69,201.57,202.7,3246500,0.0,0.0
2021-04-01,203.13,203.97,201.42,202.52,2551300,0.0,0.0
2021-04-05,204.38,206.57,204.23,205.52,1958400,0.0,0.0
2021-04-06,205.98,206.09,203.06,203.34,1590800,0.0,0.0
2021-04-07,203.15,204.11,202.3,203.56,1634200,0.0,0.0
2021-04-08,203.32,203.78,202.4,202.49,1983900,0.0,0.0
2021-04-09,202.96,205.41,202.76,205.3,2383700,0.0,0.0
2021-04-12,204.68,207.18,204.63,205.59,2286500,0.0,0.0
2021-04-13,205.07,205.44,202.51,204.15,1799100,0.0,0.0
2021-04-14,204.61,205.45,203.75,204.72,1515300,0.0,0.0
2021-04-15,205.44,206.46,204.5,205.18,2008800,0.0,0.0
2021-04-16,206.84,207.64,204.29,204.82,2539800,0.0,0.0
2021-04-19,205.3,205.55,203.66,205.52,1911000,0.0,0.0
2021-04-20,204.87,207.24,202.45,202.94,2766000,0.0,0.0
2021-04-21,202.4,208.04,202.04,205.48,3470200,0.0,0.0
2021-04-22,201.38,203.35,198.7,200.47,4831400,0.0,0.0
2021-04-23,201.88,205.95,201.01,205.58,2975600,0.0,0.0
2021-04-26,205.99,208.73,205.79,206.55,2767600,0.0,0.0
2021-04-27,207.57,208.58,205.96,207.59,2239600,0.0,0.0
