,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,84.77,85.09,82.95,83.69,7300400,1.01,0.0
2020-02-25,84.18,84.31,79.21,79.79,7609100,0.0,0.0
2020-02-26,80.79,81.05,79.17,79.64,7411700,0.0,0.0
2020-02-27,77.76,79.14,76.38,76.68,9143800,0.0,0.0
2020-02-28,75.31,77.62,74.49,76.89,11498000,0.0,0.0
2020-03-02,78.21,79.14,75.97,78.81,8738800,0.0,0.0
2020-03-03,80.6,81.57,76.96,77.58,9263400,0.0,0.0
2020-03-04,78.42,81.47,77.69,81.42,6644800,0.0,0.0
2020-03-05,78.83,80.08,78.12,79.01,5277200,0.0,0.0
2020-03-06,76.7,80.28,76.59,79.87,5598400,0.0,0.0
2020-03-09,75.15,78.17,74.01,74.08,8648300,0.0,0.0
2020-03-10,76.88,78.98,74.08,78.87,8914200,0.0,0.0
2020-03-11,76.32,77.47,74.19,74.76,5557200,0.0,0.0
2020-03-12,69.86,78.55,69.67,73.22,9412800,0.0,0.0
2020-03-13,77.32,80.38,74.36,80.07,10918900,0.0,0.0
2020-03-16,72.95,80.05,72.65,73.97,9006300,0.0,0.0
2020-03-17,75.67,82.6,74.59,82.24,10476100,0.0,0.0
2020-03-18,77.32,86.54,76.74,84.34,11152100,0.0,0.0
2020-03-19,83.84,88.2,81.11,81.78,7690300,0.0,0.0
2020-03-20,81.7,83.04,77.25,79.41,7355300,0.0,0.0
2020-03-23,80.02,81.68,76.68,78.09,7117800,0.0,0.0
2020-03-24,79.81,82.16,78.31,80.94,6067100,0.0,0.0
2020-03-25,81.26,83.09,77.36,80.3,5682000,0.0,0.0
2020-03-26,80.3,85.0,79.47,84.78,6373900,0.0,0.0
2020-03-27,81.23,84.59,80.72,82.86,4671100,0.0,0.0
2020-03-30,83.38,83.96,81.49,83.13,3994200,0.0,0.0
2020-03-31,82.34,82.68,79.16,79.38,5391300,0.0,0.0
2020-04-01,77.25,78.92,75.69,76.8,5762800,0.0,0.0
2020-04-02,76.27,79.5,75.07,79.06,4039900,0.0,0.0
2020-04-03,78.32,79.36,75.47,76.47,4471900,0.0,0.0
2020-04-06,79.2,81.98,78.53,81.3,5642700,0.0,0.0
2020-04-07,81.78,82.8,78.76,78.95,5113900,0.0,0.0
2020-04-08,82.42,84.55,79.67,83.94,6628400,0.0,0.0
2020-04-09,83.76,85.0,81.67,83.86,5588500,0.0,0.0
2020-04-13,83.76,85.18,83.43,83.63,3355100,0.0,0.0
2020-04-14,85.45,86.53,84.6,86.16,4093100,0.0,0.0
2020-04-15,84.92,84.95,83.22,84.9,3721200,0.0,0.0
2020-04-16,85.12,87.09,84.63,86.86,4303400,0.0,0.0
2020-04-17,86.81,88.16,84.83,87.31,5850100,0.0,0.0
2020-04-20,86.45,87.52,85.86,85.99,4359500,0.0,0.0
2020-04-21,85.28,86.76,85.18,85.5,3793800,0.0,0.0
2020-04-22,86.24,86.47,82.74,82.94,5099500,0.0,0.0
2020-04-23,83.58,85.17,83.32,84.5,4061800,0.0,0.0
2020-04-24,85.13,85.35,83.77,85.12,2792400,0.0,0.0
2020-04-27,85.82,87.94,84.8,87.14,4362300,0.0,0.0
2020-04-28,84.33,84.39,81.72,81.94,10400900,0.0,0.0
2020-04-29,81.66,82.55,79.96,81.66,9974000,0.0,0.0
2020-04-30,81.23,81.35,78.87,80.43,6262500,0.0,0.0
2020-05-01,79.22,79.63,77.53,78.09,5415600,0.0,0.0
2020-05-04,77.84,78.0,76.13,76.85,4784400,0.0,0.0
2020-05-05,77.77,79.74,77.66,78.78,5001000,0.0,0.0
2020-05-06,79.14,80.24,78.77,78.96,3630300,0.0,0.0
2020-05-07,79.86,80.1,78.55,78.88,3309800,0.0,0.0
2020-05-08,79.48,80.7,79.29,80.58,3418000,0.0,0.0
2020-05-11,80.05,80.6,79.11,79.8,3118400,0.0,0.0
2020-05-12,80.52,80.86,78.88,78.89,3504600,0.0,0.0
2020-05-13,78.65,79.22,76.8,77.1,3690800,0.0,0.0
