,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,64.86,64.9,62.96,63.28,3868700,0.0,0.0
2020-02-25,63.54,63.7,59.95,60.32,4057500,0.0,0.0
2020-02-26,60.68,61.17,58.02,58.11,4702000,0.0,0.0
2020-02-27,56.21,56.57,53.28,53.63,7682400,0.0,0.0
2020-02-28,51.48,53.7,50.57,53.68,7421700,0.0,0.0
2020-03-02,54.26,55.15,51.74,54.99,6526300,0.0,0.0
2020-03-03,55.45,55.95,51.56,52.21,5587900,0.0,0.0
2020-03-04,53.42,53.42,51.07,51.98,6485000,0.0,0.0
2020-03-05,50.32,51.69,49.22,49.99,5918900,0.0,0.0
2020-03-06,48.26,51.59,47.17,51.12,9569600,0.0,0.0
2020-03-09,47.32,54.86,46.48,47.32,12531100,0.0,0.0
2020-03-10,49.21,51.74,46.21,48.98,10527600,0.0,0.0
2020-03-11,47.55,48.41,43.37,44.09,9184800,0.0,0.0
2020-03-12,40.57,41.06,34.59,35.62,14645700,0.0,0.0
2020-03-13,38.97,40.5,33.83,40.43,9700600,0.0,0.0
2020-03-16,34.85,38.88,33.37,33.73,8241800,0.0,0.0
2020-03-17,34.12,35.01,30.79,31.61,8839500,0.0,0.0
2020-03-18,29.5,30.26,25.12,28.37,8900200,0.0,0.0
2020-03-19,28.19,30.36,25.84,30.31,8776000,0.0,0.0
2020-03-20,31.19,33.37,29.51,31.32,9225000,0.0,0.0
2020-03-23,30.23,30.61,26.3,26.43,6535300,0.0,0.0
2020-03-24,29.07,30.23,27.15,28.07,9068400,0.0,0.0
2020-03-25,29.56,34.43,27.43,32.11,8933300,0.0,0.0
2020-03-26,33.17,38.19,32.52,36.95,10055900,0.0,0.0
2020-03-27,34.61,38.46,34.05,36.49,8028700,0.0,0.0
2020-03-30,34.67,38.47,33.22,38.24,7691900,0.0,0.0
2020-03-31,39.69,39.93,35.51,36.75,7423500,0.0,0.0
2020-04-01,34.09,35.59,32.81,33.22,5354600,0.0,0.0
2020-04-02,34.69,37.27,32.81,33.62,8098300,0.0,0.0
2020-04-03,33.82,34.03,32.14,32.68,5313400,0.0,0.0
2020-04-06,34.72,37.7,34.72,37.35,6213000,0.0,0.0
2020-04-07,40.07,40.59,37.55,38.9,7767300,0.0,0.0
2020-04-08,39.33,42.75,38.99,41.81,6830800,0.0,0.0
2020-04-09,43.59,43.66,39.17,40.59,7708000,0.0,0.0
2020-04-13,42.08,42.43,39.65,40.27,4668100,0.0,0.0
2020-04-14,40.36,41.71,40.13,41.28,4201000,0.0,0.0
2020-04-15,38.9,39.3,37.28,37.84,5311800,0.0,0.0
2020-04-16,37.71,38.46,36.01,36.46,5133200,0.0,0.0
2020-04-17,37.39,42.06,37.07,41.94,6855700,0.0,0.0
2020-04-20,39.25,42.33,39.12,40.76,5451300,0.0,0.0
2020-04-21,38.97,41.16,38.58,40.07,5692800,0.0,0.0
2020-04-22,42.11,42.73,40.8,40.97,4678600,0.0,0.0
2020-04-23,42.15,43.11,41.23,42.19,5164500,0.0,0.0
2020-04-24,42.78,43.39,41.82,42.54,4012500,0.0,0.0
2020-04-27,42.58,45.59,42.2,45.03,3813900,0.0,0.0
2020-04-28,46.64,47.97,45.71,46.89,4570900,0.0,0.0
2020-04-29,49.54,54.24,49.05,53.71,9892400,0.0,0.0
2020-04-30,53.41,54.09,50.38,51.33,6676400,0.0,0.0
2020-05-01,49.29,50.16,47.27,47.61,4667800,0.0,0.0
2020-05-04,47.36,51.64,46.82,51.58,6629800,0.0,0.0
2020-05-05,53.07,53.92,50.58,51.06,6329600,0.0,0.0
2020-05-06,51.37,51.89,49.09,49.35,4406000,0.0,0.0
2020-05-07,50.26,51.9,49.31,49.64,4307100,0.0,0.0
2020-05-08,50.9,53.66,49.88,53.41,4405300,0.0,0.0
2020-05-11,52.68,54.05,52.68,53.13,4981300,0.0,0.0
2020-05-12,53.89,54.18,51.32,51.32,5030700,0.0,0.0
2020-05-13,50.88,51.06,48.33,48.6,5721100,0.98,0.0
2020-05-14,47.45,49.92,45.93,48.89,5237900,0.0,0.0
2020-05-15,48.71,49.79,47.56,48.38,3768000,0.0,0.0
2020-05-18,51.02,53.42,50.71,52.96,4418800,0.0,0.0
2020-05-19,52.89,54.08,51.45,52.71,4573100,0.0,0.0
2020-05-20,54.18,56.17,54.1,55.42,5337200,0.0,0.0
2020-05-21,55.16,55.79,53.79,54.1,2959700,0.0,0.0
2020-05-22,53.95,54.3,52.63,54.06,3521100,0.0,0.0
2020-05-26,56.15,57.73,56.12,56.54,4833500,0.0,0.0
2020-05-27,57.69,58.67,56.58,57.76,4359800,0.0,0.0
2020-05-28,57.79,58.02,54.75,55.25,4992100,0.0,0.0
2020-05-29,55.11,55.91,54.11,54.85,4971900,0.0,0.0
2020-06-01,55.0,55.42,53.74,54.8,3893900,0.0,0.0
2020-06-02,55.36,56.53,54.75,56.12,4373900,0.0,0.0
2020-06-03,56.99,58.38,56.5,58.06,4963100,0.0,0.0
2020-06-04,57.3,58.1,56.92,57.65,3391700,0.0,0.0
2020-06-05,60.15,62.34,60.13,61.43,5700500,0.0,0.0
2020-06-08,62.55,63.46,61.08,62.24,4397300,0.0,0.0
2020-06-09,60.2,60.65,58.46,58.66,4902400,0.0,0.0
2020-06-10,58.94,59.55,56.52,56.83,4571200,0.0,0.0
2020-06-11,53.13,54.75,49.61,49.94,6214000,0.0,0.0
2020-06-12,52.58,53.21,50.75,52.5,3575200,0.0,0.0
2020-06-15,50.1,52.65,49.02,52.34,4972900,0.0,0.0
2020-06-16,54.89,55.78,53.01,54.45,4046100,0.0,0.0
2020-06-17,54.19,54.19,51.27,51.29,4649800,0.0,0.0
2020-06-18,50.78,53.78,50.48,53.19,3817800,0.0,0.0
2020-06-19,54.34,55.03,51.87,51.98,9539900,0.0,0.0
2020-06-22,51.38,51.85,50.58,51.57,3138000,0.0,0.0
2020-06-23,52.18,52.47,51.44,51.56,2628500,0.0,0.0
2020-06-24,50.5,50.68,47.15,47.75,5688100,0.0,0.0
2020-06-25,47.12,48.1,46.57,47.14,4887000,0.0,0.0
2020-06-26,46.95,47.14,45.81,46.35,4851900,0.0,0.0
2020-06-29,46.66,47.89,46.14,46.87,3636900,0.0,0.0
2020-06-30,46.37,48.64,45.9,48.41,5122500,0.0,0.0
2020-07-01,48.72,49.63,46.39,46.45,3172200,0.0,0.0
2020-07-02,47.4,47.96,46.21,46.37,3834600,0.0,0.0
2020-07-06,47.32,47.57,45.39,46.47,3595800,0.0,0.0
2020-07-07,45.68,45.7,43.63,43.72,6069900,0.0,0.0
2020-07-08,43.45,44.55,42.89,43.6,5539400,0.0,0.0
2020-07-09,43.45,43.47,41.04,41.33,6920900,0.0,0.0
2020-07-10,41.33,44.16,41.28,44.15,5180700,0.0,0.0
2020-07-13,44.58,44.89,43.22,43.81,4305500,0.0,0.0
2020-07-14,43.37,44.86,43.09,44.77,4671100,0.0,0.0
2020-07-15,46.29,47.28,45.67,47.1,3941400,0.0,0.0
2020-07-16,46.62,47.6,45.89,46.57,2530900,0.0,0.0
2020-07-17,46.89,47.67,45.53,45.65,3093300,0.0,0.0
2020-07-20,45.54,46.2,44.66,44.71,2329200,0.0,0.0
2020-07-21,45.51,47.68,45.28,47.39,4050700,0.0,0.0
2020-07-22,46.55,47.68,46.1,46.97,2741100,0.0,0.0
2020-07-23,46.47,47.58,46.41,47.46,3576100,0.0,0.0
2020-07-24,47.5,48.35,47.29,47.72,2978400,0.0,0.0
2020-07-27,47.57,47.85,46.75,47.76,2678400,0.0,0.0
2020-07-28,47.42,48.18,46.52,46.82,3645500,0.0,0.0
2020-07-29,47.4,49.18,47.03,49.13,4510900,0.0,0.0
2020-07-30,46.44,47.22,44.77,46.36,6257300,0.0,0.0
2020-07-31,45.71,46.47,45.32,46.28,5120100,0.0,0.0
2020-08-03,46.26,46.62,44.88,45.15,5396500,0.98,0.0
2020-08-04,44.97,45.17,43.5,44.41,5702700,0.0,0.0
2020-08-05,45.46,45.55,42.96,43.24,5284500,0.0,0.0
2020-08-06,43.02,44.38,42.8,43.12,3924600,0.0,0.0
2020-08-07,42.9,44.28,42.49,44.11,3310200,0.0,0.0
2020-08-10,44.39,45.04,43.88,44.85,5663300,0.0,0.0
2020-08-11,46.09,46.68,44.77,44.94,4711000,0.0,0.0
2020-08-12,45.77,46.19,44.81,46.17,3138300,0.0,0.0
2020-08-13,45.5,46.02,44.48,44.55,3411000,0.0,0.0
2020-08-14,44.27,45.67,44.1,45.62,3693700,0.0,0.0
2020-08-17,45.53,47.06,45.37,46.57,4335800,0.0,0.0
2020-08-18,46.28,46.72,45.75,45.85,2567300,0.0,0.0
2020-08-19,45.5,46.05,44.95,45.45,3031100,0.0,0.0
2020-08-20,44.96,45.19,43.54,44.14,3796100,0.0,0.0
2020-08-21,44.02,44.59,43.59,44.07,2936800,0.0,0.0
2020-08-24,44.45,46.22,44.21,46.06,3226400,0.0,0.0
2020-08-25,46.19,46.75,44.98,45.44,3380900,0.0,0.0
