,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-04,76.29,80.22,75.97,77.41,8358300,0.0,0.0
2023-10-05,75.62,76.61,72.29,74.08,15351900,0.0,0.0
2023-10-06,72.68,78.08,72.68,77.59,7781100,0.0,0.0
2023-10-09,76.27,77.61,73.37,74.24,7000900,0.0,0.0
2023-10-10,73.59,75.14,72.14,74.63,5385600,0.0,0.0
2023-10-11,74.07,76.18,73.25,74.1,4602500,0.0,0.0
2023-10-12,73.38,74.93,72.39,73.86,4668700,0.0,0.0
2023-10-13,73.26,73.62,70.12,71.49,5286500,0.0,0.0
2023-10-16,71.26,74.47,71.26,73.84,4555000,0.0,0.0
2023-10-17,72.77,74.75,72.65,74.11,2584900,0.0,0.0
2023-10-18,73.14,73.56,71.91,72.09,2959800,0.0,0.0
2023-10-19,71.46,72.38,69.6,69.94,2867400,0.0,0.0
2023-10-20,70.05,70.43,68.56,69.58,3151500,0.0,0.0
2023-10-23,68.96,72.11,67.31,71.54,4089800,0.0,0.0
2023-10-24,71.93,73.34,71.43,71.65,3432200,0.0,0.0
2023-10-25,70.95,71.98,69.43,70.44,3298200,0.0,0.0
2023-10-26,66.0,71.87,65.18,69.65,3537100,0.0,0.0
2023-10-27,68.3,69.1,67.41,67.65,3412000,0.0,0.0
2023-10-30,68.14,68.99,67.09,68.02,3393700,0.0,0.0
2023-10-31,68.58,69.38,67.31,68.66,3370700,0.0,0.0
2023-11-01,67.82,68.85,67.14,67.17,2503500,0.0,0.0
2023-11-02,67.66,70.19,66.36,69.93,2848700,0.0,0.0
2023-11-03,70.12,70.74,68.72,70.45,2225900,0.0,0.0
2023-11-06,69.7,69.72,67.74,67.92,2855000,0.0,0.0
2023-11-07,67.41,69.9,67.03,69.72,2133600,0.0,0.0
2023-11-08,69.45,69.97,69.2,69.45,2053800,0.0,0.0
2023-11-09,68.75,69.97,68.75,69.28,2020500,0.0,0.0
2023-11-10,68.97,70.43,68.8,70.2,1645300,0.0,0.0
2023-11-13,69.93,72.84,69.83,72.62,2964300,0.0,0.0
2023-11-14,73.48,73.73,72.65,73.26,2814500,0.0,0.0
2023-11-15,73.11,74.27,72.65,73.54,3437100,0.0,0.0
2023-11-16,72.38,72.7,70.23,70.53,2446600,0.0,0.0
2023-11-17,70.55,71.02,69.71,70.64,1500400,0.0,0.0
2023-11-20,70.65,71.0,70.23,70.41,1814300,0.0,0.0
2023-11-21,70.45,72.44,70.12,71.95,1767600,0.0,0.0
2023-11-22,72.44,73.46,71.98,72.58,1906300,0.0,0.0
2023-11-24,72.3,73.76,71.87,73.64,823400,0.0,0.0
2023-11-27,73.45,73.62,72.64,73.14,1649900,0.0,0.0
2023-11-28,72.56,74.17,72.49,72.96,2062100,0.0,0.0
2023-11-29,73.04,74.88,72.88,73.85,2519200,0.0,0.0
2023-11-30,74.33,77.24,74.33,76.87,8454100,0.0,0.0
2023-12-01,76.79,76.79,75.59,76.13,2039400,0.0,0.0
2023-12-04,75.59,76.54,75.12,75.4,1625800,0.0,0.0
2023-12-05,75.03,75.76,74.85,75.18,1411400,0.0,0.0
2023-12-06,75.18,76.11,74.65,75.45,2001200,0.0,0.0
2023-12-07,75.42,75.91,74.25,74.26,1296000,0.0,0.0
2023-12-08,74.23,75.27,73.9,75.06,1131300,0.0,0.0
2023-12-11,74.63,76.98,74.28,76.44,1649000,0.0,0.0
2023-12-12,75.99,77.49,75.4,77.07,2329300,0.0,0.0
2023-12-13,76.79,78.31,75.92,77.35,3854100,0.0,0.0
2023-12-14,78.12,79.33,77.25,78.94,3231000,0.0,0.0
2023-12-15,78.48,79.53,77.64,78.46,6727600,0.0,0.0
2023-12-18,78.8,80.52,78.04,80.44,1955000,0.0,0.0
2023-12-19,81.2,83.21,80.59,83.03,2902900,0.0,0.0
2023-12-20,83.14,83.47,80.22,80.24,1704100,0.0,0.0
2023-12-21,80.92,81.57,79.41,80.72,919300,0.0,0.0
2023-12-22,80.24,81.39,79.63,81.24,712700,0.0,0.0
2023-12-26,81.3,81.93,80.99,81.72,700200,0.0,0.0
2023-12-27,81.73,83.09,81.57,82.81,1018100,0.0,0.0
2023-12-28,82.68,83.12,81.95,82.72,799300,0.09,0.0
2023-12-29,82.52,83.04,81.54,81.94,675000,0.0,0.0
2024-01-02,80.79,81.68,79.64,80.71,1129600,0.0,0.0
2024-01-03,80.29,80.59,77.45,77.75,1198300,0.0,0.0
2024-01-04,77.15,77.98,76.27,76.31,1388500,0.0,0.0
2024-01-05,76.31,77.34,75.95,76.6,1899300,0.0,0.0
2024-01-08,76.17,77.54,76.17,77.21,1555800,0.0,0.0
2024-01-09,77.2,77.27,76.42,76.44,2100300,0.0,0.0
2024-01-10,76.1,76.43,74.7,76.13,1625000,0.0,0.0
2024-01-11,76.1,76.29,74.67,75.78,1020100,0.0,0.0
2024-01-12,75.91,76.12,74.71,75.47,1066100,0.0,0.0
2024-01-16,74.07,74.99,73.62,74.26,1342700,0.0,0.0
2024-01-17,74.18,75.69,73.98,75.59,1469100,0.0,0.0
