,EPS Estimate,Reported EPS,Surprise(%)
2026-02-15 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-17 19:00:00-05:00,1.78,2.17,22.25
2024-10-29 20:00:00-04:00,2.32,2.22,-4.45
2024-08-05 20:00:00-04:00,2.48,2.35,-5.05
2024-05-01 20:00:00-04:00,0.97,0.8,-17.34
2024-02-15 19:00:00-05:00,1.39,1.46,4.73
2023-10-25 20:00:00-04:00,2.3,2.29,-0.22
2023-08-02 20:00:00-04:00,1.91,2.29,19.73
2023-05-03 20:00:00-04:00,0.61,0.95,55.43
