,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,129.6,129.88,127.42,128.19,1032300,0.0,0.0
2020-02-24,124.41,125.57,122.49,124.62,994600,0.0,0.0
2020-02-25,124.53,125.44,119.54,119.79,901000,0.34,0.0
2020-02-26,120.65,121.39,114.54,116.12,1911200,0.0,0.0
2020-02-27,114.64,118.68,113.65,113.91,2282500,0.0,0.0
2020-02-28,111.26,115.5,108.62,115.39,2431900,0.0,0.0
2020-03-02,115.79,121.14,114.84,120.75,1619600,0.0,0.0
2020-03-03,123.03,126.5,121.82,122.89,2133200,0.0,0.0
2020-03-04,124.66,129.43,123.78,129.28,1515700,0.0,0.0
2020-03-05,126.2,127.09,122.3,124.5,1129700,0.0,0.0
2020-03-06,121.27,122.89,118.06,122.28,1387700,0.0,0.0
2020-03-09,116.04,119.17,111.95,113.93,1425700,0.0,0.0
2020-03-10,116.45,118.3,112.47,118.02,1539400,0.0,0.0
2020-03-11,114.97,115.29,110.57,112.85,1454800,0.0,0.0
2020-03-12,106.6,113.99,102.46,102.78,2366900,0.0,0.0
2020-03-13,108.35,108.35,98.15,105.33,2147300,0.0,0.0
2020-03-16,96.42,97.88,91.15,91.15,1575800,0.0,0.0
2020-03-17,93.51,94.48,88.79,89.22,1774100,0.0,0.0
2020-03-18,84.92,85.5,62.9,73.51,2865300,0.0,0.0
2020-03-19,73.9,87.88,70.13,86.57,2696200,0.0,0.0
2020-03-20,86.89,88.08,80.15,81.22,3278700,0.0,0.0
2020-03-23,80.79,82.4,74.69,78.7,1956900,0.0,0.0
2020-03-24,81.57,84.72,79.38,81.98,3488100,0.0,0.0
2020-03-25,81.54,95.96,80.65,91.86,2192400,0.0,0.0
2020-03-26,92.34,98.83,91.91,98.08,1451900,0.0,0.0
2020-03-27,94.68,98.93,93.29,95.19,1741500,0.0,0.0
2020-03-30,95.16,98.1,92.3,97.74,1034300,0.0,0.0
2020-03-31,96.54,108.63,94.52,103.69,2921900,0.0,0.0
2020-04-01,99.98,108.11,98.79,102.78,2616100,0.0,0.0
2020-04-02,103.46,106.39,100.1,102.96,2667100,0.0,0.0
2020-04-03,102.61,103.37,90.29,95.19,1988500,0.0,0.0
2020-04-06,97.85,100.04,97.2,98.99,1997400,0.0,0.0
2020-04-07,103.45,109.24,102.89,103.55,1600800,0.0,0.0
2020-04-08,103.78,108.77,101.71,108.4,1182300,0.0,0.0
2020-04-09,110.62,119.44,108.0,108.52,2769300,0.0,0.0
2020-04-13,109.27,110.14,104.0,105.0,1523700,0.0,0.0
2020-04-14,106.65,108.33,104.57,107.92,1209300,0.0,0.0
2020-04-15,104.39,105.75,102.27,105.72,1659500,0.0,0.0
2020-04-16,105.22,105.59,100.8,101.93,1708800,0.0,0.0
2020-04-17,104.82,107.93,103.77,107.49,1203100,0.0,0.0
2020-04-20,105.82,107.36,103.05,103.63,1347900,0.0,0.0
2020-04-21,101.09,102.76,100.35,101.71,1068400,0.0,0.0
2020-04-22,103.61,104.14,99.98,100.65,891400,0.0,0.0
2020-04-23,100.99,101.57,96.63,97.1,2290200,0.0,0.0
2020-04-24,98.97,99.77,96.83,97.9,1541200,0.0,0.0
2020-04-27,99.45,104.67,99.45,103.9,1325300,0.0,0.0
2020-04-28,106.27,109.57,106.13,106.28,1214000,0.0,0.0
2020-04-29,108.72,113.1,108.21,111.93,1478900,0.0,0.0
2020-04-30,110.52,110.52,107.46,108.4,1262400,0.0,0.0
2020-05-01,106.41,107.44,103.5,106.2,983900,0.0,0.0
2020-05-04,104.45,107.52,103.3,107.21,1157800,0.0,0.0
2020-05-05,108.06,109.51,103.26,103.67,1401000,0.0,0.0
2020-05-06,106.33,106.83,95.72,96.25,1781600,0.0,0.0
2020-05-07,96.91,100.11,96.27,98.04,1066600,0.0,0.0
2020-05-08,99.79,100.41,96.45,97.02,1210900,0.0,0.0
2020-05-11,95.82,95.82,90.78,93.18,2016500,0.0,0.0
2020-05-12,93.67,95.58,93.43,94.73,1283400,0.0,0.0
2020-05-13,93.83,96.39,89.03,89.28,1460400,0.0,0.0
2020-05-14,87.86,94.29,85.01,92.94,1870100,0.0,0.0
2020-05-15,92.99,94.38,91.6,92.18,2076600,0.0,0.0
2020-05-18,95.52,98.09,95.08,97.14,1288300,0.0,0.0
2020-05-19,97.17,97.39,94.75,95.05,928800,0.0,0.0
2020-05-20,95.33,98.26,94.99,97.36,1476900,0.0,0.0
2020-05-21,97.05,98.58,95.9,96.88,961000,0.34,0.0
2020-05-22,97.96,98.32,94.93,96.12,1013900,0.0,0.0
2020-05-26,99.64,101.3,97.26,100.83,1791800,0.0,0.0
2020-05-27,104.79,107.42,102.99,107.35,2153300,0.0,0.0
2020-05-28,108.5,108.9,105.65,106.26,1107300,0.0,0.0
2020-05-29,105.53,105.86,103.98,104.28,843600,0.0,0.0
2020-06-01,104.04,105.21,103.12,103.34,1692000,0.0,0.0
2020-06-02,103.79,106.52,103.11,106.47,2537100,0.0,0.0
