,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-05-04 20:00:00-04:00,nan,nan,nan
2025-02-09 19:00:00-05:00,4.03,3.98,-1.12
2024-11-03 19:00:00-05:00,4.14,4.38,5.76
2024-07-31 20:00:00-04:00,2.94,-12.83,-536.12
2024-05-05 20:00:00-04:00,4.06,4.76,17.15
2024-02-04 19:00:00-05:00,4.1,4.2,2.37
2023-11-05 19:00:00-05:00,3.97,4.08,2.67
2023-07-31 20:00:00-04:00,3.88,3.89,0.21
2023-04-30 20:00:00-04:00,3.0,3.05,1.78
