,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-08-05 20:00:00-04:00,nan,nan,nan
2025-05-06 20:00:00-04:00,nan,nan,nan
2025-02-26 19:00:00-05:00,0.61,nan,nan
2024-11-06 19:00:00-05:00,0.68,0.75,10.92
2024-08-07 20:00:00-04:00,0.68,0.69,1.72
2024-05-08 20:00:00-04:00,0.67,0.67,-0.49
2024-02-27 19:00:00-05:00,0.65,0.62,-4.12
2023-11-06 19:00:00-05:00,0.74,0.79,6.71
2023-08-06 20:00:00-04:00,0.71,0.75,5.59
2023-05-07 20:00:00-04:00,0.69,0.77,12.16
2023-02-26 19:00:00-05:00,0.72,0.67,-6.52
