,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,43.83,44.22,43.68,43.69,18520900,0.0,0.0
2020-02-25,43.73,44.0,42.84,43.03,19384900,0.0,0.0
2020-02-26,43.23,43.6,42.87,43.05,16803600,0.0,0.0
2020-02-27,42.78,43.23,41.46,41.48,25907200,0.0,0.0
2020-02-28,40.49,40.82,39.31,40.8,45828300,0.0,0.0
2020-03-02,41.56,43.35,41.35,43.19,30736200,0.0,0.0
2020-03-03,43.1,43.74,41.6,41.96,27500200,0.0,0.0
2020-03-04,42.65,43.89,42.27,43.79,17626400,0.0,0.0
2020-03-05,42.85,43.34,42.56,43.07,21249900,0.0,0.0
2020-03-06,41.66,43.1,41.51,42.85,22510800,0.0,0.0
2020-03-09,40.96,43.38,40.69,42.06,31862200,0.0,0.0
2020-03-10,42.24,42.86,40.62,42.58,34330900,0.0,0.0
2020-03-11,41.71,41.84,40.83,41.31,21147400,0.0,0.0
2020-03-12,39.14,40.68,38.24,38.57,45610600,0.0,0.0
2020-03-13,39.93,40.96,38.76,40.81,45744000,0.0,0.0
2020-03-16,38.35,40.08,36.93,38.42,36990400,0.0,0.0
2020-03-17,38.8,41.8,38.79,40.92,33898000,0.0,0.0
2020-03-18,40.68,42.14,38.33,40.93,38417400,0.0,0.0
2020-03-19,40.5,41.38,39.76,40.4,33024900,0.0,0.0
2020-03-20,39.72,39.96,38.2,39.03,46013800,0.0,0.0
2020-03-23,38.13,40.13,37.01,37.9,39225100,0.0,0.0
2020-03-24,39.15,39.15,37.05,37.66,40626900,0.0,0.0
2020-03-25,37.19,39.11,36.8,37.62,38551300,0.0,0.0
2020-03-26,37.36,40.61,37.3,40.34,32610900,0.0,0.0
2020-03-27,39.29,40.56,38.83,39.76,25363600,0.0,0.0
2020-03-30,40.3,41.46,39.89,41.26,20660200,0.0,0.0
2020-03-31,40.74,41.09,40.34,40.48,21251800,0.0,0.0
2020-04-01,39.55,40.27,39.3,39.87,18672600,0.0,0.0
