,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,1.72,1.68,-2.55
2024-10-22 20:00:00-04:00,1.9,2.0,5.47
2024-07-23 20:00:00-04:00,1.88,1.96,4.04
2024-04-23 20:00:00-04:00,1.49,1.89,27.16
2024-02-13 19:00:00-05:00,1.58,1.54,-2.39
2023-10-24 20:00:00-04:00,1.46,1.7,16.53
2023-07-26 20:00:00-04:00,1.33,1.41,5.92
2023-04-25 20:00:00-04:00,1.19,1.28,7.2
