,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,76.21,76.38,75.15,76.24,1243300,0.0,0.0
2020-02-24,73.57,73.57,71.22,72.15,1649400,0.0,0.0
2020-02-25,72.7,72.95,69.97,70.45,1300100,0.0,0.0
2020-02-26,71.17,71.71,68.84,68.84,1147300,0.0,0.0
2020-02-27,67.45,70.19,66.69,66.72,2129700,0.0,0.0
2020-02-28,64.41,67.14,63.92,66.72,3401700,0.0,0.0
2020-03-02,66.85,66.97,64.17,66.4,2582500,0.0,0.0
2020-03-03,66.08,67.09,62.69,63.26,3038200,0.0,0.0
2020-03-04,64.22,64.51,62.32,63.52,3097600,0.0,0.0
2020-03-05,61.57,61.57,59.86,60.15,3069400,0.0,0.0
2020-03-06,58.5,60.11,58.17,59.75,3156400,0.0,0.0
2020-03-09,55.53,55.53,52.81,53.17,3241700,0.0,0.0
2020-03-10,55.7,58.31,54.3,58.24,2359800,0.0,0.0
2020-03-11,56.08,56.73,53.7,54.5,2625900,0.0,0.0
2020-03-12,51.04,54.5,49.08,51.73,4415000,0.0,0.0
2020-03-13,54.53,55.64,51.05,53.37,3887700,0.0,0.0
2020-03-16,47.59,49.6,46.2,46.69,2929100,0.0,0.0
2020-03-17,47.82,48.8,44.77,48.71,2821600,0.0,0.0
2020-03-18,45.87,46.17,34.06,39.84,4801200,0.0,0.0
2020-03-19,38.85,42.34,37.86,41.39,3771400,0.0,0.0
2020-03-20,41.76,45.16,38.86,39.57,3713500,0.0,0.0
2020-03-23,39.54,41.76,38.45,39.94,1934800,0.0,0.0
2020-03-24,42.75,44.94,42.38,44.63,2203300,0.0,0.0
2020-03-25,44.94,48.19,42.47,45.35,2081900,0.0,0.0
2020-03-26,46.08,49.32,45.09,49.05,2086400,0.0,0.0
2020-03-27,46.3,47.92,45.66,46.21,2616900,0.0,0.0
2020-03-30,45.59,48.02,45.08,47.8,1517800,0.0,0.0
2020-03-31,47.74,49.29,46.49,46.74,1747500,0.0,0.0
2020-04-01,44.62,45.77,43.95,44.79,1914000,0.0,0.0
2020-04-02,44.67,45.11,41.42,42.58,2498900,0.0,0.0
2020-04-03,41.22,43.14,40.88,42.79,1720600,0.0,0.0
2020-04-06,45.13,48.01,45.02,47.67,1221800,0.0,0.0
2020-04-07,51.07,51.71,48.44,48.49,1434800,0.0,0.0
2020-04-08,49.13,51.46,48.84,51.02,1205900,0.0,0.0
2020-04-09,52.24,54.55,51.97,53.67,1574700,0.0,0.0
2020-04-13,53.08,53.4,49.15,50.33,917300,0.0,0.0
2020-04-14,51.16,51.82,50.15,50.93,1056300,0.0,0.0
2020-04-15,48.66,48.78,46.82,48.21,1347700,0.0,0.0
2020-04-16,48.01,48.07,45.29,46.15,1952300,0.0,0.0
2020-04-17,47.59,48.79,47.12,47.83,2043100,0.0,0.0
2020-04-20,46.89,47.79,46.31,47.54,2306200,0.0,0.0
2020-04-21,46.39,48.68,46.26,48.62,1676600,0.0,0.0
2020-04-22,49.76,50.13,48.84,49.53,1547400,0.0,0.0
2020-04-23,49.74,51.56,49.74,50.51,1234200,0.0,0.0
2020-04-24,50.97,52.61,50.63,51.9,1881900,0.0,0.0
2020-04-27,51.96,53.48,51.24,52.86,1327300,0.0,0.0
2020-04-28,54.44,55.44,53.62,54.7,1501600,0.0,0.0
2020-04-29,56.34,57.97,56.05,57.48,2266900,0.0,0.0
2020-04-30,56.43,56.8,54.38,54.79,1750800,0.0,0.0
2020-05-01,53.92,54.34,52.39,52.84,1480800,0.0,0.0
2020-05-04,52.1,53.5,49.81,51.13,2267200,0.0,0.0
2020-05-05,51.77,55.14,51.48,53.55,1335800,0.0,0.0
2020-05-06,53.6,53.8,51.17,51.48,1381600,0.0,0.0
2020-05-07,52.3,54.12,52.06,53.79,1402600,0.12,0.0
2020-05-08,54.63,55.85,54.52,55.79,1060100,0.0,0.0
2020-05-11,54.8,55.04,53.17,53.2,997900,0.0,0.0
2020-05-12,53.31,53.82,51.17,51.19,1233900,0.0,0.0
2020-05-13,51.19,51.19,48.49,49.47,1753600,0.0,0.0
2020-05-14,48.71,51.02,47.45,50.75,1772800,0.0,0.0
2020-05-15,50.05,51.49,49.89,50.97,818600,0.0,0.0
2020-05-18,53.43,55.58,52.85,55.13,1232600,0.0,0.0
2020-05-19,54.84,55.87,54.05,54.21,793900,0.0,0.0
2020-05-20,55.35,56.64,55.35,56.29,916500,0.0,0.0
2020-05-21,56.08,56.85,55.41,55.58,607000,0.0,0.0
2020-05-22,55.48,55.49,54.28,55.29,745400,0.0,0.0
2020-05-26,57.53,59.74,57.43,59.02,1122800,0.0,0.0
2020-05-27,60.8,62.47,60.16,62.26,1287000,0.0,0.0
2020-05-28,62.83,62.93,59.56,59.84,1144800,0.0,0.0
2020-05-29,59.39,59.67,58.26,59.45,1586100,0.0,0.0
2020-06-01,59.3,60.47,58.09,60.27,1047800,0.0,0.0
2020-06-02,60.85,62.21,60.38,61.89,843300,0.0,0.0
2020-06-03,62.12,64.11,61.84,63.83,1944100,0.0,0.0
2020-06-04,63.58,66.16,63.5,65.59,1159500,0.0,0.0
2020-06-05,69.47,70.79,68.5,68.8,1966500,0.0,0.0
2020-06-08,70.05,70.88,69.28,70.13,1872800,0.0,0.0
2020-06-09,68.58,68.95,67.23,67.28,1246900,0.0,0.0
2020-06-10,66.71,66.71,63.4,63.48,1242100,0.0,0.0
2020-06-11,60.94,60.94,58.35,58.4,1459700,0.0,0.0
2020-06-12,61.04,61.58,58.03,59.27,1887400,0.0,0.0
2020-06-15,57.09,60.23,56.15,60.12,1162300,0.0,0.0
2020-06-16,63.18,63.62,60.71,61.21,1938800,0.0,0.0
2020-06-17,61.25,61.83,59.51,59.6,1184800,0.0,0.0
2020-06-18,59.16,60.42,58.48,59.52,674000,0.0,0.0
2020-06-19,60.75,60.75,57.72,58.56,1184100,0.0,0.0
2020-06-22,58.36,59.48,57.2,59.14,1310900,0.0,0.0
2020-06-23,59.8,60.26,58.92,59.83,1264600,0.0,0.0
2020-06-24,58.94,58.94,56.7,56.75,1390800,0.0,0.0
2020-06-25,56.35,56.9,55.32,56.53,1820800,0.0,0.0
2020-06-26,56.31,56.35,54.12,54.36,2699000,0.0,0.0
2020-06-29,55.48,56.42,55.04,55.82,2227200,0.0,0.0
2020-06-30,55.42,56.52,54.83,56.04,2394600,0.0,0.0
2020-07-01,56.4,56.94,55.09,56.46,2294000,0.0,0.0
2020-07-02,57.49,59.42,56.97,57.12,1404100,0.0,0.0
2020-07-06,58.38,58.89,57.43,58.86,1062800,0.0,0.0
2020-07-07,57.82,58.23,56.09,56.2,1142500,0.0,0.0
2020-07-08,56.2,56.59,55.09,55.97,930800,0.0,0.0
2020-07-09,55.75,55.82,54.11,55.09,1477900,0.0,0.0
2020-07-10,55.34,56.46,55.1,56.1,971000,0.0,0.0
2020-07-13,56.64,57.86,55.77,56.88,1022900,0.0,0.0
2020-07-14,56.67,57.91,55.88,57.86,1080900,0.0,0.0
2020-07-15,59.12,60.57,59.12,60.02,1056000,0.0,0.0
2020-07-16,59.64,60.72,59.39,59.83,885200,0.0,0.0
2020-07-17,60.04,60.18,58.97,59.17,923600,0.0,0.0
2020-07-20,58.68,59.42,57.68,57.83,828900,0.0,0.0
2020-07-21,58.17,59.97,58.17,59.18,873300,0.0,0.0
2020-07-22,58.65,60.12,58.65,59.97,1249400,0.0,0.0
2020-07-23,59.6,60.3,58.71,60.11,1216500,0.0,0.0
2020-07-24,60.03,60.89,59.95,60.22,1045200,0.0,0.0
2020-07-27,60.19,61.17,59.9,60.36,1210000,0.0,0.0
2020-07-28,61.47,65.18,61.32,62.53,2758700,0.0,0.0
2020-07-29,62.76,63.9,61.95,63.54,1038700,0.0,0.0
2020-07-30,62.14,62.46,61.16,61.41,1029400,0.0,0.0
2020-07-31,61.07,61.07,59.61,60.54,1141600,0.0,0.0
2020-08-03,60.77,60.77,59.67,59.83,1248900,0.0,0.0
2020-08-04,59.69,60.46,59.69,60.06,1373700,0.0,0.0
2020-08-05,60.62,61.78,60.43,61.24,1350300,0.0,0.0
2020-08-06,61.18,62.86,61.02,62.85,1063100,0.0,0.0
2020-08-07,62.68,65.45,62.62,65.44,1026500,0.0,0.0
2020-08-10,65.85,68.56,65.51,68.38,2015700,0.0,0.0
2020-08-11,69.46,70.93,68.39,68.7,1737800,0.0,0.0
2020-08-12,69.38,69.48,67.31,68.07,1260200,0.0,0.0
2020-08-13,67.24,68.03,66.69,67.28,884300,0.12,0.0
2020-08-14,66.71,68.48,66.48,67.79,546800,0.0,0.0
2020-08-17,67.92,68.09,66.21,66.73,736400,0.0,0.0
2020-08-18,66.71,66.85,64.75,64.92,1217300,0.0,0.0
2020-08-19,65.08,65.59,64.29,64.39,815800,0.0,0.0
2020-08-20,63.77,64.21,63.3,63.69,825700,0.0,0.0
2020-08-21,63.39,64.31,63.15,63.18,984400,0.0,0.0
2020-08-24,63.38,64.84,63.03,64.27,1064600,0.0,0.0
2020-08-25,64.83,65.48,63.31,64.0,1584700,0.0,0.0
2020-08-26,64.14,66.13,63.88,65.1,1183100,0.0,0.0
2020-08-27,65.2,65.82,64.51,64.58,731800,0.0,0.0
2020-08-28,64.77,65.71,64.52,65.42,626100,0.0,0.0
2020-08-31,65.41,65.48,64.51,64.89,1160400,0.0,0.0
2020-09-01,64.89,67.37,64.41,67.19,1341100,0.0,0.0
2020-09-02,67.43,68.0,66.56,67.53,994000,0.0,0.0
2020-09-03,67.82,68.68,65.64,66.27,901300,0.0,0.0
2020-09-04,67.41,68.0,66.15,67.32,1317900,0.0,0.0
2020-09-08,66.4,67.22,65.53,65.95,935500,0.0,0.0
2020-09-09,66.35,67.27,65.71,66.69,847400,0.0,0.0
2020-09-10,66.92,67.25,65.42,65.6,792900,0.0,0.0
2020-09-11,65.78,66.56,65.33,65.82,584100,0.0,0.0
2020-09-14,66.23,66.66,65.38,66.31,1699100,0.0,0.0
2020-09-15,66.49,66.92,65.12,65.15,766300,0.0,0.0
2020-09-16,65.66,67.06,64.87,66.3,1185200,0.0,0.0
2020-09-17,66.06,67.18,64.99,67.11,979000,0.0,0.0
2020-09-18,66.49,67.83,66.02,66.13,1971800,0.0,0.0
2020-09-21,64.32,64.72,60.85,61.4,2295900,0.0,0.0
2020-09-22,60.87,61.72,59.74,60.64,1412200,0.0,0.0
2020-09-23,60.83,61.17,58.63,58.84,1559400,0.0,0.0
2020-09-24,58.66,59.91,57.8,58.86,868800,0.0,0.0
2020-09-25,58.03,59.51,58.03,59.12,749800,0.0,0.0
2020-09-28,60.35,61.96,60.27,61.39,843200,0.0,0.0
2020-09-29,61.16,61.55,60.26,60.91,559100,0.0,0.0
2020-09-30,61.33,62.18,59.97,60.34,1153000,0.0,0.0
2020-10-01,60.49,60.99,58.72,59.22,1598300,0.0,0.0
2020-10-02,57.85,61.8,57.85,61.16,803800,0.0,0.0
2020-10-05,61.85,62.96,61.76,62.82,693700,0.0,0.0
2020-10-06,63.38,64.4,62.04,62.14,896200,0.0,0.0
2020-10-07,62.71,63.64,62.31,63.01,747700,0.0,0.0
2020-10-08,63.44,63.74,62.15,63.22,741600,0.0,0.0
2020-10-09,63.95,64.13,62.28,62.9,985100,0.0,0.0
2020-10-12,63.17,63.36,61.34,61.39,1452000,0.0,0.0
2020-10-13,61.29,62.86,61.07,62.39,1451300,0.0,0.0
2020-10-14,62.56,63.42,62.52,62.66,708900,0.0,0.0
2020-10-15,61.7,62.36,61.08,61.93,955200,0.0,0.0
2020-10-16,62.17,62.71,61.66,61.75,554300,0.0,0.0
2020-10-19,61.86,62.4,60.42,60.55,864900,0.0,0.0
2020-10-20,61.22,62.59,60.73,61.59,853900,0.0,0.0
2020-10-21,61.41,62.21,60.53,60.55,828600,0.0,0.0
2020-10-22,60.84,61.07,60.21,60.86,1173400,0.0,0.0
2020-10-23,61.52,61.87,60.43,60.51,694100,0.0,0.0
2020-10-26,59.66,59.77,57.62,58.77,912600,0.0,0.0
2020-10-27,58.51,58.65,57.05,57.15,1007200,0.0,0.0
2020-10-28,55.58,56.34,54.44,54.77,2884900,0.0,0.0
2020-10-29,57.92,58.11,54.77,57.29,3257600,0.0,0.0
2020-10-30,57.16,58.5,56.55,57.82,1784300,0.0,0.0
2020-11-02,58.94,60.48,58.41,60.14,1769800,0.0,0.0
2020-11-03,61.15,64.58,60.74,63.98,1708300,0.0,0.0
2020-11-04,63.16,63.23,60.17,60.17,2202000,0.0,0.0
2020-11-05,60.99,62.36,60.65,60.84,1790000,0.0,0.0
2020-11-06,60.68,61.03,59.43,59.61,2418600,0.0,0.0
2020-11-09,64.88,74.21,63.25,66.9,4953600,0.0,0.0
2020-11-10,67.21,67.95,66.3,67.29,3502900,0.0,0.0
2020-11-11,67.81,67.81,65.5,66.41,1033600,0.0,0.0
2020-11-12,65.71,66.88,65.46,66.35,1383200,0.12,0.0
2020-11-13,67.26,68.46,66.94,67.98,1959300,0.0,0.0
2020-11-16,70.82,71.21,69.25,69.91,2342200,0.0,0.0
2020-11-17,68.81,70.13,68.32,69.73,1269300,0.0,0.0
2020-11-18,70.03,71.59,69.62,70.95,1678800,0.0,0.0
2020-11-19,70.3,70.88,69.51,70.67,1033700,0.0,0.0
2020-11-20,70.37,70.6,68.77,69.33,1030500,0.0,0.0
2020-11-23,69.7,71.85,69.65,71.84,809000,0.0,0.0
2020-11-24,72.84,75.43,72.49,74.44,2279900,0.0,0.0
2020-11-25,73.68,73.86,72.22,72.37,720800,0.0,0.0
2020-11-27,72.02,72.7,71.55,72.11,701100,0.0,0.0
2020-11-30,71.6,71.92,70.71,71.6,1514300,0.0,0.0
2020-12-01,73.07,73.1,70.53,70.62,1612700,0.0,0.0
2020-12-02,70.33,71.09,70.08,70.9,771000,0.0,0.0
2020-12-03,71.33,71.82,70.84,71.43,774600,0.0,0.0
2020-12-04,72.14,73.88,72.14,73.78,1034400,0.0,0.0
2020-12-07,73.73,74.12,72.97,73.92,1551600,0.0,0.0
2020-12-08,73.81,75.09,73.72,74.74,1716100,0.0,0.0
2020-12-09,74.77,75.38,73.92,74.73,1147000,0.0,0.0
2020-12-10,74.06,74.73,73.47,73.65,1161800,0.0,0.0
2020-12-11,73.26,73.74,72.64,73.11,731400,0.0,0.0
2020-12-14,73.73,74.24,71.51,71.56,1218900,0.0,0.0
2020-12-15,72.43,73.25,72.09,72.96,1516100,0.0,0.0
