,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-28 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,1.78,1.77,-0.73
2024-10-23 20:00:00-04:00,1.72,1.78,3.78
2024-07-30 20:00:00-04:00,1.17,1.44,23.0
2024-04-24 20:00:00-04:00,0.21,0.63,203.66
2024-01-24 19:00:00-05:00,-1.13,-0.69,39.09
2023-10-29 20:00:00-04:00,-1.9,-1.76,7.6
2023-07-30 20:00:00-04:00,-2.01,-1.98,1.65
2023-05-07 20:00:00-04:00,-1.57,-1.37,12.76
