,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,1.79,1.7,-5.08
2024-10-27 20:00:00-04:00,1.89,1.96,3.91
2024-07-23 20:00:00-04:00,1.83,1.82,-0.3
2024-04-23 20:00:00-04:00,1.51,1.75,16.26
2024-02-11 19:00:00-05:00,1.53,1.74,13.61
2023-10-23 20:00:00-04:00,1.61,1.63,0.93
2023-07-24 20:00:00-04:00,1.54,1.51,-2.03
2023-04-25 20:00:00-04:00,1.29,1.31,1.93
