,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,16.29,16.46,15.9,16.02,13704900,0.0,0.0
2020-02-24,15.55,15.63,15.17,15.19,13015300,0.0,0.0
2020-02-25,15.24,15.33,14.31,14.33,20907600,0.0,0.0
2020-02-26,14.43,14.76,14.22,14.31,17381100,0.0,0.0
2020-02-27,14.05,14.63,13.63,14.07,23786900,0.0,0.0
2020-02-28,13.86,14.19,13.58,14.18,29171200,0.0,0.0
2020-03-02,14.27,14.59,13.76,14.59,21628600,0.0,0.0
2020-03-03,14.66,15.03,13.8,14.13,21729400,0.0,0.0
2020-03-04,14.37,14.47,14.14,14.46,10981600,0.0,0.0
2020-03-05,14.03,14.23,13.56,13.82,18141400,0.0,0.0
2020-03-06,13.38,13.4,12.74,12.99,23905700,0.0,0.0
2020-03-09,10.93,11.49,9.8,11.16,37463600,0.0,0.0
2020-03-10,11.75,12.39,10.55,12.12,33543100,0.0,0.0
2020-03-11,11.72,12.49,11.59,11.92,24863000,0.0,0.0
2020-03-12,11.05,11.05,10.14,10.14,22845500,0.4,0.0
2020-03-13,10.98,12.07,10.56,12.07,28506300,0.0,0.0
2020-03-16,10.39,10.85,9.94,10.3,17948900,0.0,0.0
2020-03-17,10.4,10.45,9.08,9.26,28707600,0.0,0.0
2020-03-18,8.55,8.66,6.64,7.06,44538500,0.0,0.0
2020-03-19,7.03,8.49,6.42,8.26,31158400,0.0,0.0
2020-03-20,8.9,9.59,8.4,8.8,25383800,0.0,0.0
2020-03-23,8.71,8.98,8.4,8.51,19182800,0.0,0.0
2020-03-24,9.01,9.92,8.85,9.86,17570900,0.0,0.0
2020-03-25,9.99,10.89,9.41,10.22,20759500,0.0,0.0
2020-03-26,10.41,11.31,9.93,10.88,16218700,0.0,0.0
2020-03-27,10.3,11.14,9.84,10.62,17717100,0.0,0.0
2020-03-30,10.5,10.76,9.88,10.55,19610600,0.0,0.0
2020-03-31,10.68,10.97,10.5,10.8,22671900,0.0,0.0
2020-04-01,10.5,10.88,10.08,10.17,18135200,0.0,0.0
2020-04-02,10.6,11.61,10.38,10.98,23678200,0.0,0.0
2020-04-03,11.18,11.5,10.06,10.42,27093600,0.0,0.0
2020-04-06,10.79,11.06,10.3,10.3,25110100,0.0,0.0
2020-04-07,11.19,12.12,10.79,11.56,30594200,0.0,0.0
2020-04-08,11.6,12.28,11.42,11.71,13552700,0.0,0.0
2020-04-09,12.23,12.76,11.92,12.66,20871100,0.0,0.0
2020-04-13,12.92,13.2,12.67,13.05,15167800,0.0,0.0
2020-04-14,13.05,13.36,12.98,13.21,13708800,0.0,0.0
2020-04-15,12.53,12.97,12.42,12.83,13693600,0.0,0.0
2020-04-16,12.7,12.91,12.5,12.66,10492400,0.0,0.0
2020-04-17,12.92,13.82,12.9,13.8,13609400,0.0,0.0
2020-04-20,13.37,14.34,12.91,14.12,19199500,0.0,0.0
2020-04-21,13.61,13.91,13.59,13.76,19287900,0.0,0.0
2020-04-22,14.21,14.3,13.46,13.48,15214500,0.0,0.0
2020-04-23,13.66,13.8,13.24,13.37,15783700,0.0,0.0
2020-04-24,13.63,14.05,13.34,13.96,11483200,0.0,0.0
2020-04-27,13.88,14.23,13.57,14.14,11262600,0.0,0.0
2020-04-28,14.42,14.73,14.23,14.44,9803400,0.0,0.0
2020-04-29,14.86,15.04,14.54,14.86,10785600,0.0,0.0
2020-04-30,14.76,14.93,14.37,14.79,15052100,0.0,0.0
2020-05-01,14.45,14.49,14.04,14.16,13346500,0.0,0.0
2020-05-04,13.91,14.66,13.83,14.6,14933200,0.0,0.0
2020-05-05,15.02,15.13,14.39,14.51,12698800,0.0,0.0
2020-05-06,14.51,14.74,14.08,14.21,10324800,0.0,0.0
2020-05-07,14.44,14.93,14.4,14.67,10776000,0.0,0.0
2020-05-08,14.96,15.04,14.54,14.86,8302400,0.0,0.0
2020-05-11,14.63,15.06,14.62,14.91,7670900,0.0,0.0
2020-05-12,14.77,15.04,14.5,14.57,11739900,0.0,0.0
2020-05-13,14.49,14.56,13.87,14.11,12659900,0.0,0.0
2020-05-14,13.83,14.17,13.5,14.12,10973900,0.0,0.0
2020-05-15,14.1,14.49,14.0,14.32,8071900,0.0,0.0
2020-05-18,15.04,15.13,14.75,14.95,8632000,0.0,0.0
2020-05-19,14.95,15.0,14.65,14.83,10702500,0.0,0.0
2020-05-20,15.08,15.38,14.94,15.05,7978100,0.0,0.0
2020-05-21,15.15,15.18,14.77,14.86,6457600,0.0,0.0
2020-05-22,14.7,15.02,14.48,15.0,5256800,0.0,0.0
2020-05-26,15.37,15.64,15.2,15.6,7778200,0.0,0.0
2020-05-27,15.84,15.96,15.23,15.63,10471900,0.0,0.0
