,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,36.31,36.72,36.27,36.67,18726300,0.0,0.0
2020-02-24,36.32,36.63,35.85,35.97,19848000,0.0,0.0
2020-02-25,35.98,36.2,35.27,35.37,23292900,0.0,0.0
2020-02-26,35.47,35.61,35.14,35.18,20019900,0.0,0.0
2020-02-27,34.8,35.27,34.12,34.14,28476900,0.0,0.0
2020-02-28,33.3,33.56,32.27,33.3,52369200,0.0,0.0
2020-03-02,33.27,35.99,33.17,35.83,51222600,0.0,0.0
2020-03-03,35.89,36.34,34.74,34.91,33340800,0.0,0.0
2020-03-04,35.32,36.13,35.09,36.11,24625200,0.0,0.0
2020-03-05,35.37,36.25,35.22,35.84,25638300,0.0,0.0
2020-03-06,35.21,36.46,34.94,36.25,29411100,0.0,0.0
2020-03-09,35.19,37.3,34.86,36.23,59243400,0.0,0.0
2020-03-10,36.52,37.32,35.53,37.04,37797300,0.0,0.0
2020-03-11,36.34,36.81,34.88,35.38,31620000,0.0,0.0
2020-03-12,32.78,34.47,31.84,32.17,56323200,0.0,0.0
2020-03-13,33.47,35.43,32.12,35.28,42962100,0.0,0.0
2020-03-16,32.53,34.42,31.54,33.01,36753900,0.0,0.0
2020-03-17,34.87,36.88,34.16,36.88,52806000,0.0,0.0
2020-03-18,35.56,39.6,35.4,37.9,77355900,0.0,0.0
2020-03-19,38.65,39.44,36.53,37.1,57100500,0.18,0.0
2020-03-20,37.11,38.14,34.75,35.4,55423500,0.0,0.0
2020-03-23,35.46,36.51,34.85,35.49,39366000,0.0,0.0
2020-03-24,35.99,36.45,34.57,35.73,42705000,0.0,0.0
2020-03-25,35.09,35.41,33.56,33.98,53287500,0.0,0.0
2020-03-26,33.98,34.43,33.18,34.11,58250700,0.0,0.0
2020-03-27,34.2,34.87,33.73,34.03,36160500,0.0,0.0
2020-03-30,34.74,35.96,34.46,35.78,29212500,0.0,0.0
2020-03-31,35.5,36.09,34.98,35.29,26258400,0.0,0.0
2020-04-01,34.83,35.88,34.72,35.45,28269600,0.0,0.0
2020-04-02,35.15,36.99,34.89,36.85,29515500,0.0,0.0
2020-04-03,36.4,37.24,36.35,37.11,28625100,0.0,0.0
2020-04-06,36.98,39.25,36.94,39.16,47768700,0.0,0.0
2020-04-07,38.51,39.29,37.78,37.89,41369700,0.0,0.0
2020-04-08,38.42,38.45,37.45,37.84,27876600,0.0,0.0
2020-04-09,36.72,38.16,36.54,37.83,32828700,0.0,0.0
2020-04-13,37.66,39.03,37.63,38.92,24194100,0.0,0.0
2020-04-14,39.47,40.31,39.15,40.07,34098900,0.0,0.0
2020-04-15,40.07,40.34,39.48,39.99,22435200,0.0,0.0
2020-04-16,40.07,41.28,39.83,41.1,31882200,0.0,0.0
2020-04-17,40.84,41.3,40.29,41.03,30915300,0.0,0.0
2020-04-20,41.12,41.43,40.3,40.33,24401700,0.0,0.0
2020-04-21,40.4,40.7,39.8,40.13,27900600,0.0,0.0
2020-04-22,40.38,41.12,40.03,40.87,19448100,0.0,0.0
2020-04-23,40.33,40.71,39.67,39.92,28839900,0.0,0.0
2020-04-24,40.17,40.34,39.93,40.2,17343600,0.0,0.0
2020-04-27,40.38,40.47,39.81,39.85,17923800,0.0,0.0
2020-04-28,39.84,40.45,39.66,39.75,20732100,0.0,0.0
2020-04-29,39.0,39.06,38.06,38.39,44612100,0.0,0.0
2020-04-30,38.23,38.34,37.59,37.75,40497900,0.0,0.0
2020-05-01,37.73,38.42,37.51,38.18,31143900,0.0,0.0
2020-05-04,38.46,38.64,37.8,38.42,17807700,0.0,0.0
2020-05-05,38.45,38.9,38.28,38.74,19337400,0.0,0.0
2020-05-06,38.89,38.97,38.15,38.29,17309100,0.0,0.0
2020-05-07,38.51,38.68,37.9,38.02,27345600,0.18,0.0
2020-05-08,38.29,38.37,37.94,38.35,20830800,0.0,0.0
2020-05-11,38.38,38.78,38.37,38.58,25341900,0.0,0.0
2020-05-12,38.83,39.2,38.61,38.61,19100100,0.0,0.0
2020-05-13,38.53,39.38,38.4,38.59,29175300,0.0,0.0
2020-05-14,38.95,39.03,37.84,38.5,22233000,0.0,0.0
2020-05-15,38.52,39.29,38.4,39.29,31770000,0.0,0.0
2020-05-18,39.77,40.1,39.34,39.82,38633700,0.0,0.0
2020-05-19,41.1,41.17,38.93,38.98,74746200,0.0,0.0
2020-05-20,39.46,39.49,38.88,39.13,32246400,0.0,0.0
2020-05-21,38.96,39.35,38.76,38.99,22448100,0.0,0.0
2020-05-22,39.02,39.1,38.61,38.78,22359600,0.0,0.0
2020-05-26,38.79,39.15,38.57,38.64,23730600,0.0,0.0
2020-05-27,38.67,38.83,37.75,38.21,31073700,0.0,0.0
2020-05-28,38.59,38.98,38.42,38.58,24424800,0.0,0.0
2020-05-29,38.76,38.9,38.04,38.7,29311200,0.0,0.0
