,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.72,1.82,5.81
2024-10-23 20:00:00-04:00,1.5,1.85,23.33
2024-07-24 20:00:00-04:00,1.74,1.52,-12.7
2024-04-24 20:00:00-04:00,1.26,1.56,23.32
2024-02-14 19:00:00-05:00,1.78,1.83,2.95
2023-10-25 20:00:00-04:00,1.86,2.16,16.36
2023-07-26 20:00:00-04:00,1.93,2.11,9.54
2023-04-26 20:00:00-04:00,1.67,1.98,18.65
