,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,169.44,169.69,167.75,168.15,307100,0.0,0.0
2020-02-24,164.52,166.7,163.19,164.91,337600,0.0,0.0
2020-02-25,165.33,165.7,160.43,160.64,448300,0.0,0.0
2020-02-26,160.73,162.68,156.43,156.43,483200,0.0,0.0
2020-02-27,153.62,158.63,152.98,152.98,468100,0.0,0.0
2020-02-28,149.76,151.0,145.82,148.78,834400,0.0,0.0
2020-03-02,149.74,154.81,148.81,154.64,446500,0.0,0.0
2020-03-03,154.86,158.02,150.12,152.16,485900,0.0,0.0
2020-03-04,155.19,157.44,153.66,157.02,489200,0.0,0.0
2020-03-05,154.34,155.38,149.53,151.66,301300,0.0,0.0
2020-03-06,148.02,148.49,144.26,148.17,552300,0.0,0.0
2020-03-09,147.24,147.24,137.11,138.14,735800,0.0,0.0
2020-03-10,141.44,142.73,135.03,141.84,571800,0.0,0.0
2020-03-11,138.43,147.73,137.79,146.08,1013700,0.0,0.0
2020-03-12,138.85,145.3,137.72,141.07,1054200,0.0,0.0
2020-03-13,145.25,147.04,134.44,144.38,930800,0.0,0.0
2020-03-16,135.47,138.27,128.33,128.92,971800,0.0,0.0
2020-03-17,131.27,143.41,128.01,141.39,891200,0.0,0.0
2020-03-18,133.86,149.83,128.96,141.79,823100,0.0,0.0
2020-03-19,141.79,144.68,133.51,137.63,683900,0.0,0.0
2020-03-20,135.93,137.84,128.5,129.1,709600,0.0,0.0
2020-03-23,128.9,131.05,123.05,127.43,555400,0.0,0.0
2020-03-24,132.52,139.18,130.44,133.87,623400,0.0,0.0
2020-03-25,134.36,138.33,130.46,133.71,483100,0.0,0.0
2020-03-26,134.81,144.7,134.81,144.7,671400,0.0,0.0
2020-03-27,141.1,144.66,137.02,139.41,546600,0.0,0.0
2020-03-30,142.03,150.67,141.96,150.01,445100,0.0,0.0
2020-03-31,151.21,157.94,149.87,150.45,555600,0.0,0.0
2020-04-01,147.5,151.5,144.05,148.03,481000,0.0,0.0
2020-04-02,147.23,154.71,146.4,153.84,495200,0.0,0.0
2020-04-03,152.45,154.57,147.96,149.56,604600,0.0,0.0
2020-04-06,154.15,160.08,152.17,159.39,351500,0.0,0.0
2020-04-07,163.88,165.84,155.17,156.27,535800,0.0,0.0
2020-04-08,155.95,162.85,152.57,162.84,401300,0.0,0.0
2020-04-09,162.84,164.42,157.22,161.0,380400,0.0,0.0
2020-04-13,158.86,160.54,155.06,157.99,336000,0.0,0.0
2020-04-14,162.06,165.82,159.62,165.11,355600,0.0,0.0
2020-04-15,162.2,166.82,161.82,163.06,389400,0.0,0.0
2020-04-16,164.22,166.66,163.27,165.6,363400,0.0,0.0
2020-04-17,168.24,168.97,166.1,167.97,408500,0.0,0.0
2020-04-20,166.76,170.48,165.86,168.35,318400,0.0,0.0
2020-04-21,165.89,167.27,162.0,163.4,359500,0.16,0.0
2020-04-22,165.68,169.06,162.04,168.26,751500,0.0,0.0
2020-04-23,177.1,188.19,175.2,185.38,1013600,0.0,0.0
2020-04-24,187.93,194.11,186.55,193.41,885000,0.0,0.0
2020-04-27,193.72,196.44,192.03,195.68,456000,0.0,0.0
2020-04-28,197.81,199.59,190.45,190.91,335300,0.0,0.0
2020-04-29,191.07,193.36,186.95,187.53,516800,0.0,0.0
2020-04-30,186.02,190.84,185.06,187.2,682400,0.0,0.0
2020-05-01,185.59,189.69,183.07,189.55,352500,0.0,0.0
2020-05-04,189.03,189.03,184.78,186.27,397200,0.0,0.0
2020-05-05,188.1,194.74,187.87,192.68,426600,0.0,0.0
2020-05-06,193.17,197.31,192.03,194.87,362300,0.0,0.0
2020-05-07,195.83,196.71,193.28,195.81,413400,0.0,0.0
2020-05-08,197.57,201.23,195.73,197.83,387900,0.0,0.0
2020-05-11,196.63,208.68,195.98,207.96,785800,0.0,0.0
2020-05-12,209.69,211.46,203.39,203.43,505900,0.0,0.0
2020-05-13,203.21,207.46,198.9,201.65,475100,0.0,0.0
2020-05-14,200.13,208.31,199.81,208.06,447600,0.0,0.0
2020-05-15,208.63,212.64,207.84,211.83,847200,0.0,0.0
2020-05-18,214.75,219.54,214.2,216.02,427500,0.0,0.0
2020-05-19,211.91,214.01,208.66,209.26,1203000,0.0,0.0
2020-05-20,212.06,212.06,206.87,207.8,1083600,0.0,0.0
2020-05-21,207.41,212.65,205.39,208.72,16495700,0.0,0.0
2020-05-22,210.43,211.33,207.22,209.13,536300,0.0,0.0
2020-05-26,211.41,212.64,202.57,203.7,729200,0.0,0.0
2020-05-27,202.02,202.75,193.09,199.09,915900,0.0,0.0
2020-05-28,200.79,206.81,200.76,203.78,755800,0.0,0.0
2020-05-29,205.41,214.84,205.41,213.68,1589400,0.0,0.0
2020-06-01,212.21,214.01,208.27,209.83,443200,0.0,0.0
2020-06-02,208.45,209.34,204.96,209.02,526400,0.0,0.0
2020-06-03,208.89,210.01,206.02,207.09,464200,0.0,0.0
2020-06-04,206.28,209.47,201.89,203.15,492600,0.0,0.0
2020-06-05,200.42,204.35,199.6,203.49,546600,0.0,0.0
2020-06-08,199.35,205.42,198.81,205.4,660600,0.0,0.0
2020-06-09,206.75,209.23,203.96,204.04,470100,0.0,0.0
2020-06-10,205.53,211.37,205.24,210.55,598200,0.0,0.0
