,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,8.03,8.13,1.28
2024-10-30 20:00:00-04:00,2.71,2.93,7.96
2024-07-24 20:00:00-04:00,2.33,2.55,9.22
2024-04-24 20:00:00-04:00,3.27,3.29,0.6
2024-02-05 19:00:00-05:00,7.05,7.44,5.49
2023-10-25 20:00:00-04:00,2.05,2.24,9.06
2023-07-26 20:00:00-04:00,2.33,2.05,-11.91
2023-04-26 20:00:00-04:00,2.79,2.84,1.71
