,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,194.6,195.04,192.55,194.55,790100,0.0,0.0
2020-02-24,192.61,194.03,191.17,191.84,675100,0.0,0.0
2020-02-25,192.4,193.07,188.83,189.14,768000,0.0,0.0
2020-02-26,190.91,192.72,189.29,190.82,880600,0.0,0.0
2020-02-27,189.42,192.26,181.57,181.57,966600,0.0,0.0
2020-02-28,177.26,178.44,172.06,176.64,1792400,0.0,0.0
2020-03-02,177.07,186.53,176.44,186.24,1009900,0.0,0.0
2020-03-03,184.75,187.53,181.55,184.02,1012000,0.0,0.0
2020-03-04,186.86,193.34,186.02,192.78,1143400,0.0,0.0
2020-03-05,187.93,190.76,186.6,188.32,1096800,0.0,0.0
2020-03-06,181.96,187.36,179.52,186.4,893300,0.0,0.0
2020-03-09,187.52,194.74,166.55,172.43,4032000,0.0,0.0
2020-03-10,175.42,180.03,170.08,175.16,2639100,0.0,0.0
2020-03-11,170.08,182.11,166.15,175.7,2973000,0.0,0.0
2020-03-12,165.74,172.04,154.39,161.28,2169100,0.0,0.0
2020-03-13,165.88,170.35,158.59,168.04,1989400,0.0,0.0
2020-03-16,156.08,163.06,145.19,153.08,1643900,0.0,0.0
2020-03-17,156.81,168.98,156.8,161.58,2651700,0.0,0.0
2020-03-18,154.04,154.04,136.2,146.68,1358700,0.0,0.0
2020-03-19,146.51,147.73,136.3,142.42,1416300,0.0,0.0
2020-03-20,139.32,147.46,138.28,142.46,1713000,0.0,0.0
2020-03-23,142.04,145.75,133.79,137.72,1673400,0.0,0.0
2020-03-24,143.22,160.61,143.22,158.53,1832200,0.0,0.0
2020-03-25,157.94,158.34,151.06,152.85,2078000,0.0,0.0
2020-03-26,153.05,158.06,150.75,154.47,2648200,0.0,0.0
2020-03-27,149.25,161.35,147.15,156.07,1292200,0.0,0.0
2020-03-30,158.22,163.59,155.11,162.08,1393900,0.68,0.0
2020-03-31,159.06,161.55,155.24,159.18,1301600,0.0,0.0
2020-04-01,151.94,156.22,144.57,146.37,1149200,0.0,0.0
2020-04-02,143.66,152.18,143.54,148.46,1053600,0.0,0.0
2020-04-03,147.6,149.72,143.51,147.22,1351600,0.0,0.0
2020-04-06,153.83,165.84,152.36,164.34,1296100,0.0,0.0
2020-04-07,168.73,170.84,164.96,167.46,1126700,0.0,0.0
2020-04-08,168.34,181.16,166.81,178.11,1376400,0.0,0.0
2020-04-09,179.06,184.48,177.29,183.7,812800,0.0,0.0
2020-04-13,181.7,183.35,175.7,177.78,802600,0.0,0.0
2020-04-14,180.05,184.72,178.11,184.62,1107200,0.0,0.0
2020-04-15,178.84,182.03,172.59,173.98,1078100,0.0,0.0
2020-04-16,174.72,178.83,172.13,177.3,1009200,0.0,0.0
2020-04-17,180.36,184.24,179.64,183.11,847100,0.0,0.0
2020-04-20,180.71,180.71,175.2,177.02,1486900,0.0,0.0
2020-04-21,171.36,175.16,170.17,171.03,961200,0.0,0.0
2020-04-22,173.25,174.93,170.4,174.18,612900,0.0,0.0
2020-04-23,173.28,173.28,164.58,165.88,1938800,0.0,0.0
2020-04-24,166.14,168.36,164.6,166.08,1441400,0.0,0.0
