,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,24.96,25.09,24.57,24.68,3755600,0.0,0.0
2020-02-25,24.73,24.75,23.28,23.28,4617900,0.0,0.0
2020-02-26,23.41,23.73,22.71,22.73,4551700,0.0,0.0
2020-02-27,22.29,22.79,21.82,21.87,6430700,0.0,0.0
2020-02-28,21.4,21.61,20.64,21.55,9547600,0.0,0.0
2020-03-02,21.68,22.76,21.27,22.76,6513400,0.0,0.0
2020-03-03,22.75,23.16,21.99,22.17,5143800,0.0,0.0
2020-03-04,22.55,23.52,22.41,23.51,5083800,0.0,0.0
2020-03-05,22.77,23.05,22.2,22.63,5387700,0.34,0.0
2020-03-06,22.19,22.56,21.68,22.33,6246100,0.0,0.0
2020-03-09,20.91,20.91,19.79,20.1,7142500,0.0,0.0
2020-03-10,20.81,20.98,19.19,20.51,5058500,0.0,0.0
2020-03-11,19.89,20.0,18.26,18.85,9036400,0.0,0.0
2020-03-12,17.2,17.34,15.28,15.66,9462600,0.0,0.0
2020-03-13,16.83,18.4,15.66,18.4,9280300,0.0,0.0
2020-03-16,15.97,16.85,14.23,14.23,7892300,0.0,0.0
2020-03-17,14.57,15.91,13.96,15.91,6586000,0.0,0.0
2020-03-18,14.56,15.15,13.4,13.64,7446800,0.0,0.0
2020-03-19,13.66,14.07,12.61,13.55,8253600,0.0,0.0
2020-03-20,13.75,13.81,12.25,12.39,10024700,0.0,0.0
2020-03-23,12.17,12.33,10.99,11.31,9656300,0.0,0.0
2020-03-24,12.01,14.19,11.88,14.17,8684400,0.0,0.0
2020-03-25,13.98,16.18,13.7,14.87,7067100,0.0,0.0
2020-03-26,14.97,15.59,14.54,15.34,6600300,0.0,0.0
2020-03-27,14.7,15.08,14.32,14.44,5939300,0.0,0.0
2020-03-30,14.42,14.76,14.06,14.23,6152200,0.0,0.0
2020-03-31,14.02,14.45,13.3,14.23,10328600,0.0,0.0
2020-04-01,13.32,13.7,12.88,13.53,9540600,0.0,0.0
2020-04-02,13.4,13.83,13.01,13.3,7303600,0.0,0.0
2020-04-03,13.12,13.4,12.68,12.88,6138200,0.0,0.0
2020-04-06,13.77,14.55,13.53,14.35,8641200,0.0,0.0
2020-04-07,15.17,15.81,14.46,14.51,7054600,0.0,0.0
2020-04-08,14.83,16.42,14.58,16.33,6720200,0.0,0.0
2020-04-09,16.79,17.85,16.79,17.64,7416500,0.0,0.0
2020-04-13,17.58,17.58,16.62,16.87,4780400,0.0,0.0
2020-04-14,17.13,17.42,16.97,17.07,3967500,0.0,0.0
2020-04-15,16.35,16.59,15.74,16.05,4559600,0.0,0.0
2020-04-16,16.07,16.08,15.44,15.92,3196300,0.0,0.0
2020-04-17,16.52,16.95,16.52,16.87,4786900,0.0,0.0
2020-04-20,16.47,16.64,16.09,16.1,4335300,0.0,0.0
2020-04-21,15.56,16.02,15.5,15.75,4913200,0.0,0.0
2020-04-22,16.09,16.17,15.78,15.97,4561200,0.0,0.0
2020-04-23,16.07,16.39,15.84,15.93,4433800,0.0,0.0
2020-04-24,16.08,16.64,15.91,16.46,3279200,0.0,0.0
2020-04-27,16.66,17.43,16.66,17.34,3557300,0.0,0.0
2020-04-28,17.75,18.17,17.56,17.94,4365100,0.0,0.0
2020-04-29,18.25,19.06,18.18,18.77,4741400,0.0,0.0
2020-04-30,18.45,18.58,17.82,18.36,4169500,0.0,0.0
2020-05-01,16.52,16.55,14.83,15.08,12267500,0.0,0.0
2020-05-04,14.77,15.18,14.4,14.92,7994800,0.0,0.0
2020-05-05,15.12,15.55,14.67,14.71,7780000,0.0,0.0
2020-05-06,14.77,15.36,14.76,15.3,6631200,0.0,0.0
2020-05-07,15.53,16.01,15.43,15.64,6957400,0.0,0.0
2020-05-08,16.07,16.68,15.99,16.66,5763000,0.0,0.0
2020-05-11,16.42,16.44,15.92,16.24,4936300,0.0,0.0
2020-05-12,16.26,16.39,15.28,15.28,4733200,0.0,0.0
2020-05-13,15.15,15.19,14.29,14.31,8312300,0.0,0.0
2020-05-14,14.03,14.6,13.47,14.59,6867500,0.0,0.0
2020-05-15,14.4,14.85,14.12,14.55,5329100,0.0,0.0
2020-05-18,15.29,16.37,15.29,16.09,7345800,0.0,0.0
2020-05-19,15.98,16.25,15.48,15.55,5516100,0.0,0.0
2020-05-20,15.76,16.45,15.76,16.35,5274400,0.0,0.0
2020-05-21,16.25,16.73,16.23,16.33,3835000,0.0,0.0
2020-05-22,16.33,16.61,16.19,16.6,4152400,0.0,0.0
2020-05-26,17.63,17.87,17.51,17.71,8447700,0.0,0.0
