,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-07-30 20:00:00-04:00,nan,nan,nan
2025-03-31 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,1.56,1.67,6.91
2024-10-31 20:00:00-04:00,1.88,1.92,2.33
2024-08-01 20:00:00-04:00,2.01,2.14,6.6
2024-04-25 20:00:00-04:00,2.2,2.06,-6.47
2024-02-01 19:00:00-05:00,2.21,2.48,12.02
2023-10-26 20:00:00-04:00,2.37,2.27,-4.35
2023-07-27 20:00:00-04:00,2.01,1.94,-3.69
2023-04-27 20:00:00-04:00,2.59,2.83,9.43
