,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,1.13,1.18,4.89
2024-10-30 20:00:00-04:00,1.11,1.11,0.01
2024-07-29 20:00:00-04:00,1.05,1.09,3.59
2024-05-01 20:00:00-04:00,0.84,0.9,7.23
2024-02-05 19:00:00-05:00,0.96,0.99,3.61
2023-10-30 20:00:00-04:00,0.89,0.99,11.75
2023-08-01 20:00:00-04:00,0.8,0.98,22.16
2023-05-03 20:00:00-04:00,0.62,0.72,16.47
