,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,82.98,83.53,82.33,83.41,1010600,0.0,0.0
2020-02-24,80.79,82.06,80.64,81.44,1249400,0.0,0.0
2020-02-25,81.97,82.22,79.01,79.46,1421900,0.0,0.0
2020-02-26,80.3,81.1,79.19,79.32,1344600,0.26,0.0
2020-02-27,77.94,79.39,76.23,76.23,1711600,0.0,0.0
2020-02-28,73.52,74.57,71.39,73.1,2786700,0.0,0.0
2020-03-02,73.67,77.9,73.25,77.77,2012100,0.0,0.0
2020-03-03,77.56,79.66,75.36,75.5,1490400,0.0,0.0
2020-03-04,77.15,80.99,76.47,80.64,1921100,0.0,0.0
2020-03-05,77.78,79.46,77.31,77.94,1495700,0.0,0.0
2020-03-06,76.04,76.97,74.52,76.76,1610100,0.0,0.0
2020-03-09,71.53,73.88,69.53,71.77,1944900,0.0,0.0
2020-03-10,69.32,72.59,67.93,72.58,2743100,0.0,0.0
2020-03-11,70.41,71.77,68.17,69.22,1742200,0.0,0.0
2020-03-12,64.73,65.2,57.65,61.26,1955000,0.0,0.0
2020-03-13,64.29,68.25,60.49,68.16,1517600,0.0,0.0
2020-03-16,59.34,63.28,59.34,61.48,1706400,0.0,0.0
2020-03-17,63.05,67.91,60.93,67.88,1879800,0.0,0.0
2020-03-18,62.83,65.39,57.53,61.9,2197100,0.0,0.0
2020-03-19,61.22,61.75,58.04,60.92,1524500,0.0,0.0
2020-03-20,61.05,61.47,56.01,56.6,1884200,0.0,0.0
2020-03-23,55.94,56.96,51.62,53.53,1578400,0.0,0.0
2020-03-24,55.43,58.82,55.06,58.6,1954900,0.0,0.0
2020-03-25,58.06,62.53,56.74,60.35,1722300,0.0,0.0
2020-03-26,61.07,64.81,60.14,64.28,1412500,0.0,0.0
2020-03-27,59.64,63.76,58.71,61.9,1059500,0.0,0.0
2020-03-30,63.3,64.49,61.86,62.6,1323400,0.0,0.0
2020-03-31,61.67,62.72,59.55,61.56,1841100,0.0,0.0
2020-04-01,58.57,61.3,54.58,56.49,1881700,0.0,0.0
2020-04-02,55.93,60.58,55.93,59.92,2030600,0.0,0.0
2020-04-03,59.66,61.82,56.39,57.18,1842700,0.0,0.0
2020-04-06,59.91,62.07,59.19,61.61,1802800,0.0,0.0
2020-04-07,63.62,64.14,61.66,62.56,1361600,0.0,0.0
2020-04-08,61.81,65.93,61.43,65.3,1295600,0.0,0.0
2020-04-09,65.86,66.62,64.97,65.53,1350000,0.0,0.0
2020-04-13,65.09,65.52,63.23,64.45,779000,0.0,0.0
2020-04-14,66.0,67.17,65.5,66.54,1140200,0.0,0.0
2020-04-15,64.77,65.26,62.59,63.44,1175400,0.0,0.0
2020-04-16,63.1,63.59,61.68,62.93,1442500,0.0,0.0
2020-04-17,64.96,66.24,64.6,65.77,1856900,0.0,0.0
2020-04-20,64.59,66.43,64.14,65.46,1122900,0.0,0.0
2020-04-21,63.83,65.13,63.42,64.34,939800,0.0,0.0
2020-04-22,65.89,66.39,64.53,65.38,1067100,0.0,0.0
2020-04-23,65.76,66.71,64.16,64.27,1288900,0.0,0.0
2020-04-24,64.66,65.03,63.45,64.76,1346400,0.0,0.0
2020-04-27,65.29,67.58,64.98,66.89,1143200,0.0,0.0
2020-04-28,68.06,69.81,67.58,69.43,1102800,0.0,0.0
2020-04-29,70.8,71.29,69.26,69.74,1613800,0.0,0.0
2020-04-30,68.8,69.05,67.47,67.95,1213500,0.0,0.0
2020-05-01,66.99,67.28,64.9,65.49,926200,0.0,0.0
2020-05-04,64.94,65.27,64.11,64.79,1106700,0.0,0.0
2020-05-05,60.83,62.15,59.54,61.48,2797600,0.0,0.0
2020-05-06,61.56,62.27,59.59,59.6,1760200,0.0,0.0
2020-05-07,60.55,61.6,59.94,60.06,1570500,0.0,0.0
2020-05-08,61.22,61.84,59.33,59.54,1320000,0.0,0.0
2020-05-11,58.86,59.57,57.15,59.1,1357300,0.0,0.0
2020-05-12,59.37,59.76,55.83,55.83,1199700,0.0,0.0
2020-05-13,55.69,55.9,54.02,55.01,1387400,0.0,0.0
2020-05-14,54.23,55.8,53.52,55.71,1627700,0.0,0.0
2020-05-15,55.38,56.44,54.64,55.0,985200,0.0,0.0
2020-05-18,56.81,59.02,56.56,58.62,1052500,0.0,0.0
2020-05-19,58.25,58.87,57.19,57.25,1113400,0.0,0.0
2020-05-20,58.09,59.42,57.96,58.67,806400,0.0,0.0
2020-05-21,58.33,59.49,58.33,58.57,870300,0.0,0.0
2020-05-22,58.51,58.83,58.12,58.8,735600,0.0,0.0
2020-05-26,60.6,62.25,60.18,61.67,1510400,0.0,0.0
2020-05-27,63.26,65.8,62.82,65.34,2397400,0.26,0.0
2020-05-28,65.72,65.89,64.05,64.68,1306200,0.0,0.0
2020-05-29,63.98,64.35,62.01,62.95,1624600,0.0,0.0
2020-06-01,62.95,63.51,62.62,62.63,824200,0.0,0.0
2020-06-02,63.29,64.85,62.86,64.43,1187700,0.0,0.0
2020-06-03,65.38,66.97,64.9,66.5,989400,0.0,0.0
2020-06-04,65.84,66.78,65.1,66.78,1051000,0.0,0.0
2020-06-05,69.32,70.15,68.14,69.03,1188600,0.0,0.0
2020-06-08,68.67,69.75,68.15,68.61,874400,0.0,0.0
2020-06-09,67.2,67.35,66.04,66.68,1174600,0.0,0.0
2020-06-10,66.43,66.6,64.39,65.01,1184200,0.0,0.0
2020-06-11,62.82,62.82,60.42,60.54,2020800,0.0,0.0
2020-06-12,62.24,62.71,59.18,60.88,1607500,0.0,0.0
2020-06-15,59.03,61.73,58.72,61.22,1443300,0.0,0.0
2020-06-16,64.06,64.83,62.73,63.48,1422300,0.0,0.0
2020-06-17,63.76,64.4,63.28,63.64,952300,0.0,0.0
2020-06-18,62.94,63.44,62.29,63.02,970300,0.0,0.0
2020-06-19,64.26,64.49,61.92,61.95,2111300,0.0,0.0
