,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,94.77,95.08,94.23,94.73,1015100,0.0,0.0
2020-02-24,93.23,93.93,91.63,91.75,1539100,0.0,0.0
2020-02-25,92.18,92.75,89.26,89.64,2389000,0.0,0.0
2020-02-26,89.96,90.98,89.2,89.23,3382500,0.0,0.0
2020-02-27,87.66,88.49,84.79,84.81,3850300,0.0,0.0
2020-02-28,82.95,83.95,80.13,81.68,4238900,0.0,0.0
2020-03-02,81.68,84.7,81.64,84.68,2408900,0.0,0.0
2020-03-03,84.68,86.65,82.36,83.56,2430900,0.0,0.0
2020-03-04,84.67,86.84,83.24,86.6,2420200,0.0,0.0
2020-03-05,84.64,84.95,82.3,83.21,2171600,0.0,0.0
2020-03-06,80.7,82.26,79.65,81.82,2564200,0.0,0.0
2020-03-09,77.16,79.88,75.96,76.6,3776600,0.0,0.0
2020-03-10,78.78,79.64,76.32,79.42,3464100,0.0,0.0
2020-03-11,76.79,76.96,72.64,74.1,2783100,0.0,0.0
2020-03-12,69.17,75.35,68.28,71.79,5272000,0.0,0.0
2020-03-13,74.84,75.27,69.42,71.8,3754400,0.0,0.0
2020-03-16,64.93,65.88,61.39,63.9,4975500,0.0,0.0
2020-03-17,65.25,65.8,55.78,59.93,6169800,0.0,0.0
2020-03-18,56.71,57.41,53.01,55.54,5693200,0.0,0.0
2020-03-19,54.43,61.03,52.31,57.29,4564500,0.0,0.0
2020-03-20,58.61,59.43,52.81,53.15,4407700,0.0,0.0
2020-03-23,52.38,53.27,50.29,51.72,4522900,0.0,0.0
2020-03-24,56.69,64.22,56.35,63.75,5277100,0.0,0.0
2020-03-25,64.44,69.94,60.1,66.69,5180800,0.0,0.0
2020-03-26,67.85,69.73,65.7,69.32,4876400,0.0,0.0
2020-03-27,66.11,66.47,62.28,62.71,4000000,0.0,0.0
2020-03-30,62.34,65.89,62.23,64.67,4274600,0.0,0.0
2020-03-31,64.18,65.83,62.29,62.71,3796100,0.0,0.0
2020-04-01,59.48,62.39,58.8,61.91,3316500,0.0,0.0
2020-04-02,61.6,63.09,59.07,60.44,3399700,0.0,0.0
2020-04-03,60.13,60.48,56.88,57.93,2631400,0.0,0.0
2020-04-06,60.9,65.14,60.83,64.52,3683700,0.0,0.0
2020-04-07,67.71,69.09,64.06,65.3,3908500,0.0,0.0
2020-04-08,66.09,69.24,64.85,68.97,3682000,0.0,0.0
2020-04-09,71.01,75.13,70.47,73.55,4199600,0.0,0.0
2020-04-13,73.01,73.33,68.79,70.52,2014500,0.0,0.0
2020-04-14,71.66,73.59,70.82,73.11,2502800,0.0,0.0
2020-04-15,70.64,71.82,69.99,71.05,1907600,0.0,0.0
2020-04-16,71.0,73.39,70.19,73.31,2376700,0.0,0.0
2020-04-17,76.09,77.76,75.12,77.03,3326300,0.0,0.0
2020-04-20,75.78,76.99,74.68,75.11,1827500,0.0,0.0
2020-04-21,73.29,74.83,73.12,74.31,2768700,0.0,0.0
2020-04-22,75.96,80.05,75.68,79.43,2923000,0.0,0.0
2020-04-23,79.33,79.93,77.38,78.35,2108900,0.0,0.0
2020-04-24,78.5,79.07,77.08,78.6,2131900,0.0,0.0
2020-04-27,79.71,81.18,79.6,80.71,1840100,0.0,0.0
2020-04-28,82.47,82.79,79.81,80.78,2665900,0.0,0.0
2020-04-29,82.85,82.85,78.93,80.04,3261300,0.0,0.0
2020-04-30,78.88,81.25,78.39,79.1,2319500,0.0,0.0
2020-05-01,77.23,77.7,75.73,76.7,2130500,0.0,0.0
2020-05-04,75.46,76.56,74.27,76.04,1892900,0.0,0.0
2020-05-05,77.27,77.68,75.66,76.21,1929800,0.0,0.0
2020-05-06,76.69,77.2,75.85,76.11,1440300,0.0,0.0
2020-05-07,77.33,78.23,76.91,77.42,1874000,0.0,0.0
2020-05-08,78.74,79.23,77.79,78.87,1949200,0.0,0.0
2020-05-11,78.36,79.84,78.08,79.04,1785000,0.0,0.0
2020-05-12,79.7,80.2,76.86,76.87,1926400,0.0,0.0
