,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,241.39,242.08,235.11,238.38,500900,0.0,0.0
2020-02-24,229.99,232.67,227.39,227.39,572700,0.0,0.0
2020-02-25,230.44,231.64,219.57,220.0,544800,0.0,0.0
2020-02-26,222.16,225.05,216.89,217.8,549500,0.0,0.0
2020-02-27,212.11,217.94,206.49,213.92,1021300,0.0,0.0
2020-02-28,206.71,211.82,204.72,210.97,945200,0.0,0.0
2020-03-02,212.66,221.86,210.33,221.71,603000,0.0,0.0
2020-03-03,220.27,227.11,208.33,209.3,949700,0.0,0.0
2020-03-04,211.92,216.08,205.52,216.03,559000,0.0,0.0
2020-03-05,209.5,212.72,200.8,203.75,564900,0.0,0.0
2020-03-06,197.88,204.19,195.92,202.74,647300,0.0,0.0
2020-03-09,188.39,190.94,183.88,185.25,770300,0.0,0.0
2020-03-10,192.22,202.5,189.14,202.19,909900,0.0,0.0
2020-03-11,196.3,199.66,187.69,191.3,516900,0.0,0.0
2020-03-12,177.22,178.97,161.41,161.5,1028500,0.0,0.0
2020-03-13,174.5,184.1,163.44,184.02,659300,0.0,0.0
2020-03-16,155.0,172.17,150.05,166.08,800300,0.0,0.0
2020-03-17,170.19,182.74,167.33,180.66,564400,0.0,0.0
2020-03-18,167.74,186.94,166.33,185.47,803200,0.0,0.0
2020-03-19,181.86,186.22,169.3,185.07,1202000,0.0,0.0
2020-03-20,186.07,189.86,177.08,179.38,1701600,0.0,0.0
2020-03-23,179.85,181.94,163.44,170.72,1176100,0.0,0.0
2020-03-24,180.08,181.8,167.16,180.55,813400,0.0,0.0
2020-03-25,180.02,195.19,175.6,186.22,505200,0.0,0.0
2020-03-26,187.83,197.91,185.96,197.5,505500,0.0,0.0
2020-03-27,192.71,192.71,180.63,184.57,390700,0.0,0.0
2020-03-30,186.21,190.36,180.67,188.35,323900,0.0,0.0
2020-03-31,186.78,189.49,182.1,183.6,521000,0.0,0.0
2020-04-01,177.55,179.13,174.02,176.46,606000,0.0,0.0
2020-04-02,173.86,179.75,170.63,174.24,599600,0.0,0.0
2020-04-03,173.02,179.75,172.0,178.08,598600,0.0,0.0
2020-04-06,184.77,193.6,184.5,191.85,306400,0.0,0.0
2020-04-07,199.69,200.38,191.61,192.36,413600,0.0,0.0
2020-04-08,195.74,198.96,192.22,196.64,252300,0.0,0.0
2020-04-09,198.83,202.49,197.16,201.22,529300,0.0,0.0
2020-04-13,201.02,202.6,195.0,197.91,331700,0.0,0.0
2020-04-14,204.36,210.27,200.14,206.88,358800,0.0,0.0
2020-04-15,202.33,202.97,196.24,196.8,389100,0.0,0.0
2020-04-16,199.71,202.78,196.72,201.6,387500,0.0,0.0
2020-04-17,204.66,208.61,201.41,202.97,382300,0.0,0.0
2020-04-20,201.44,207.39,201.0,202.35,381500,0.0,0.0
2020-04-21,197.88,199.46,192.41,192.85,379200,0.0,0.0
2020-04-22,198.19,200.41,194.16,199.41,498800,0.0,0.0
2020-04-23,200.36,207.86,200.36,200.97,436900,0.0,0.0
2020-04-24,202.33,208.8,200.67,208.61,418500,0.0,0.0
2020-04-27,210.46,223.66,209.91,220.92,560400,0.0,0.0
2020-04-28,235.55,238.22,227.08,228.47,915600,0.0,0.0
2020-04-29,232.49,248.21,231.5,244.97,640800,0.0,0.0
2020-04-30,229.13,236.77,225.0,229.66,578500,0.0,0.0
2020-05-01,225.47,227.0,222.6,225.55,349600,0.0,0.0
2020-05-04,223.13,228.77,220.16,228.77,346900,0.0,0.0
2020-05-05,229.72,235.75,229.72,233.14,349700,0.0,0.0
2020-05-06,232.97,235.53,231.3,232.41,219100,0.0,0.0
2020-05-07,235.0,237.3,231.66,233.86,276200,0.0,0.0
2020-05-08,236.0,243.33,235.27,242.91,270500,0.0,0.0
2020-05-11,237.13,239.91,234.38,235.25,339200,0.0,0.0
