,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.34,1.4,4.63
2024-11-03 19:00:00-05:00,1.46,1.58,8.58
2024-08-05 20:00:00-04:00,1.49,1.56,4.95
2024-05-01 20:00:00-04:00,1.34,1.38,3.3
2024-02-12 19:00:00-05:00,1.32,1.24,-6.01
2023-11-01 20:00:00-04:00,1.36,1.36,0.08
2023-08-07 20:00:00-04:00,1.32,1.41,7.19
2023-05-03 20:00:00-04:00,1.26,1.31,3.89
